
[00:00:00.000 --> 00:00:02.720]  今天的講題叫做「平安之道」
[00:00:02.720 --> 00:00:05.120]  香港某一條街叫做「平安道」
[00:00:05.120 --> 00:00:07.840]  有保安道、有太平道
[00:00:07.840 --> 00:00:10.080]  咦!太平道很近我們
[00:00:10.080 --> 00:00:12.080]  有自由道
[00:00:12.080 --> 00:00:15.680]  「平安之道」
[00:00:15.680 --> 00:00:17.920]  我們回教會很久
[00:00:17.920 --> 00:00:20.160]  聽福音很久、報家音很久
[00:00:20.160 --> 00:00:23.840]  但是「平安之道」是怎樣的意義
[00:00:23.840 --> 00:00:25.120]  怎樣會得到
[00:00:25.120 --> 00:00:27.120]  「平安」的意義有什麼特點呢?
[00:00:27.120 --> 00:00:32.080]  今天我們藉著主要是二章十四節
[00:00:32.080 --> 00:00:33.600]  一句聖經說
[00:00:33.600 --> 00:00:35.760]  「在至高之處榮耀歸於神
[00:00:35.760 --> 00:00:38.240]  在地上平安歸於他所喜悅的人」
[00:00:38.240 --> 00:00:39.760]  這一句聖經
[00:00:39.760 --> 00:00:43.600]  去一起學習和思考
[00:00:43.600 --> 00:00:46.720]  願我們都領受神的平安之道
[00:00:46.720 --> 00:00:48.720]  我們一起祈禱
[00:00:54.480 --> 00:00:56.080]  先上阿爸父
[00:00:56.080 --> 00:01:02.240]  求祢祝福我們每一個在座的人
[00:01:02.240 --> 00:01:04.240]  祢是和平之君
[00:01:04.240 --> 00:01:07.680]  我們要從祢得著真正的平安
[00:01:07.680 --> 00:01:09.680]  是世界給不了我們
[00:01:09.680 --> 00:01:11.920]  這種平安超越環境
[00:01:11.920 --> 00:01:17.280]  這種平安能夠照我們勝過所有的恐懼和憂慮
[00:01:17.280 --> 00:01:18.560]  求祢祝福我們
[00:01:18.560 --> 00:01:21.440]  照我們得著這個平安的道
[00:01:21.440 --> 00:01:23.440]  我們又可以與人分享
[00:01:23.440 --> 00:01:26.400]  讓這個平安尚與我們同在
[00:01:26.400 --> 00:01:28.800]  讓我們祈禱奉耶穌基督的聖名
[00:01:28.800 --> 00:01:30.480]  阿們
[00:01:30.480 --> 00:01:31.360]  弟妹們
[00:01:31.360 --> 00:01:34.640]  保羅經常都說一句祝福的說話
[00:01:34.640 --> 00:01:40.720]  就是「願因為平安尚與你們同在」
[00:01:40.720 --> 00:01:43.280]  「因為」就是Grace
[00:01:43.280 --> 00:01:45.520]  我們有沒有Grace在這裡?
[00:01:45.520 --> 00:01:47.520]  這裡有沒有Grace?
[00:01:47.520 --> 00:01:51.360]  我們沒有就叫Grace
[00:01:51.360 --> 00:01:54.640]  祝福總有三、兩個
[00:01:54.640 --> 00:01:55.840]  「因為」
[00:01:55.840 --> 00:01:58.160]  平安就有Kathar
[00:01:58.160 --> 00:02:00.160]  Kathar太太就叫Irene
[00:02:00.160 --> 00:02:05.680]  Irene希臘文Irene就是平安的意思
[00:02:05.680 --> 00:02:07.680]  希臘文叫Salom
[00:02:07.680 --> 00:02:11.840]  Salom就是平安的意思
[00:02:11.840 --> 00:02:13.360]  在事件裡面說
[00:02:13.360 --> 00:02:18.480]  平安就是經常想我們得到
[00:02:18.480 --> 00:02:23.280]  恩典是什麼?恩典就是Grace
[00:02:23.280 --> 00:02:24.240]  上次說過了
[00:02:24.240 --> 00:02:25.360]  就是禮物
[00:02:25.360 --> 00:02:27.200]  就是我們不配
[00:02:27.200 --> 00:02:31.520]  我們不應該得到神伯伯給我們的禮物
[00:02:31.520 --> 00:02:33.840]  就好像聖誕節收到所有禮物
[00:02:33.840 --> 00:02:35.840]  都叫做恩典
[00:02:35.840 --> 00:02:36.800]  恩典
[00:02:36.800 --> 00:02:38.160]  就是你沒有預
[00:02:38.160 --> 00:02:41.520]  也都不應該得到的東西
[00:02:41.520 --> 00:02:42.880]  額外給你的
[00:02:42.880 --> 00:02:44.400]  伯伯的
[00:02:44.400 --> 00:02:45.600]  平安
[00:02:45.600 --> 00:02:48.080]  或者我們上次說的憐憫就是
[00:02:48.080 --> 00:02:51.120]  我應該蝕了
[00:02:51.120 --> 00:02:52.640]  應該是虧欠了
[00:02:52.640 --> 00:02:54.720]  缺乏了神給我
[00:02:54.720 --> 00:02:57.120]  平安就是滿足
[00:02:57.120 --> 00:02:58.960]  圓滿
[00:02:58.960 --> 00:03:00.400]  整整齊齊
[00:03:00.400 --> 00:03:01.760]  圓圓滿滿
[00:03:01.760 --> 00:03:04.880]  這就是聖經講平安的意義
[00:03:04.880 --> 00:03:07.920]  沒有任何的規缺
[00:03:07.920 --> 00:03:11.200]  但平安就真的很難找
[00:03:11.200 --> 00:03:12.320]  這幾天我就想一下
[00:03:12.320 --> 00:03:14.480]  今年2013年
[00:03:14.480 --> 00:03:16.320]  我們香港人經歷過些什麼呢?
[00:03:16.320 --> 00:03:19.120]  我還記得去年的年初一
[00:03:19.120 --> 00:03:20.240]  不是 年初三
[00:03:20.240 --> 00:03:23.600]  有個人又說為我們香港人求籤
[00:03:23.600 --> 00:03:24.800]  走去沙田
[00:03:24.800 --> 00:03:26.960]  求了些什麼?
[00:03:26.960 --> 00:03:27.440]  下籤
[00:03:27.440 --> 00:03:28.400]  大家記得下籤嗎?
[00:03:28.400 --> 00:03:30.720]  不知道是下還是下下呢?
[00:03:30.720 --> 00:03:32.160]  總之是下籤
[00:03:32.160 --> 00:03:33.120]  那些人又說
[00:03:33.120 --> 00:03:34.800]  今年不是很平安
[00:03:34.800 --> 00:03:35.920]  是嗎?
[00:03:35.920 --> 00:03:39.760]  最近又說那些小朋友打針
[00:03:39.760 --> 00:03:41.760]  有一隻叫做肺什麼?
[00:03:41.760 --> 00:03:43.200]  肺熱核
[00:03:43.200 --> 00:03:46.400]  什麼鏈球菌
[00:03:46.400 --> 00:03:48.560]  肺炎鏈球菌
[00:03:48.560 --> 00:03:49.520]  不是肺熱核
[00:03:49.520 --> 00:03:50.720]  肺炎鏈球菌
[00:03:50.720 --> 00:03:52.480]  那隻叫做多少架?
[00:03:52.480 --> 00:03:53.520]  13架
[00:03:53.520 --> 00:03:55.600]  你知道什麼叫做13架嗎?
[00:03:55.600 --> 00:03:56.320]  其實不太知道
[00:03:56.320 --> 00:03:58.960]  總之很多打針的那些型號
[00:03:58.960 --> 00:04:00.640]  又很害怕
[00:04:00.640 --> 00:04:02.720]  因為真的有幾個小朋友
[00:04:02.720 --> 00:04:04.880]  是因為這個病
[00:04:04.880 --> 00:04:06.640]  兩個至少是吧?
[00:04:06.640 --> 00:04:07.920]  是去世了
[00:04:07.920 --> 00:04:10.080]  有些很嚴重
[00:04:10.080 --> 00:04:11.280]  又害怕
[00:04:11.280 --> 00:04:12.960]  做了些什麼令你害怕?
[00:04:12.960 --> 00:04:14.960]  誰來的?
[00:04:14.960 --> 00:04:16.960]  吃雞
[00:04:16.960 --> 00:04:18.160]  深圳
[00:04:18.160 --> 00:04:21.040]  有兩個H7N9
[00:04:21.040 --> 00:04:24.160]  很多事情令我們不安
[00:04:24.160 --> 00:04:25.120]  你生活
[00:04:25.120 --> 00:04:27.200]  吃東西也不安
[00:04:27.200 --> 00:04:31.440]  早一兩年不是說有些劏房在花園街
[00:04:31.440 --> 00:04:34.000]  有個檔口是火警的
[00:04:34.000 --> 00:04:36.320]  一燒就燒到樓上
[00:04:36.320 --> 00:04:37.600]  那
[00:04:37.600 --> 00:04:39.360]  最近的抽涼
[00:04:39.360 --> 00:04:41.520]  那些人又研究
[00:04:41.520 --> 00:04:43.040]  那些劏房
[00:04:43.040 --> 00:04:44.320]  危不危險?
[00:04:44.320 --> 00:04:46.720]  住劏房是危險的嗎?
[00:04:46.720 --> 00:04:47.680]  危險是吧?
[00:04:47.680 --> 00:04:51.040]  走火警很害怕
[00:04:51.040 --> 00:04:52.400]  所以
[00:04:52.400 --> 00:04:54.800]  很多事情不是吃東西又不平安
[00:04:54.800 --> 00:04:56.720]  打針又不平安
[00:04:56.720 --> 00:04:59.280]  做什麼不平安?
[00:04:59.280 --> 00:05:00.960]  坐車不平安
[00:05:00.960 --> 00:05:03.680]  上個禮拜嘩啦講到
[00:05:03.680 --> 00:05:04.880]  剛剛講完
[00:05:04.880 --> 00:05:06.000]  上個禮拜六
[00:05:06.000 --> 00:05:08.640]  我們被困在觀塘鳥島一個小時
[00:05:08.640 --> 00:05:10.080]  我由屯門回家
[00:05:10.080 --> 00:05:12.400]  從十點鐘回家十二點多
[00:05:12.400 --> 00:05:13.280]  兩個多小時
[00:05:13.280 --> 00:05:15.840]  只是在觀塘鳥島被困一個小時
[00:05:15.840 --> 00:05:17.040]  這樣也不算
[00:05:17.040 --> 00:05:20.240]  禮拜一將軍路線全線花園
[00:05:20.240 --> 00:05:21.920]  我四點多在藍田
[00:05:21.920 --> 00:05:24.000]  我剛剛拿著行李
[00:05:24.000 --> 00:05:27.040]  走到去泳池那裡想坐巴士
[00:05:27.040 --> 00:05:29.520]  整街都是人
[00:05:29.520 --> 00:05:32.720]  然後我們走到觀塘電視站
[00:05:32.720 --> 00:05:33.520]  APM
[00:05:33.520 --> 00:05:35.600]  又是整街都是人
[00:05:35.600 --> 00:05:36.480]  那是怎樣?
[00:05:36.480 --> 00:05:37.440]  我就說
[00:05:37.440 --> 00:05:40.160]  坐下喝個下午茶餐
[00:05:40.160 --> 00:05:43.840]  拿著行李再走到牛頭島地鐵站
[00:05:43.840 --> 00:05:46.320]  那裡走了兩個站
[00:05:46.320 --> 00:05:49.440]  拿著行李一人一袋
[00:05:49.440 --> 00:05:50.880]  因為我搬到爸爸那裡住
[00:05:50.880 --> 00:05:52.080]  在那裡
[00:05:52.080 --> 00:05:54.160]  有一輛車循環線
[00:05:54.160 --> 00:05:56.400]  是唯一那個站能上車
[00:05:56.400 --> 00:05:58.560]  我們就在那裡上車
[00:05:58.560 --> 00:06:00.160]  四點多回家
[00:06:00.160 --> 00:06:02.160]  差不多七點才回不家
[00:06:02.160 --> 00:06:05.600]  三天有兩次回不家
