
[00:00:00.000 --> 00:00:03.580]  好,弟兄姊妹,我們今天會繼續看書的信息
[00:00:03.580 --> 00:00:06.840]  上星期我們看了四十三章的上半部
[00:00:06.840 --> 00:00:08.120]  一到十三節
[00:00:08.120 --> 00:00:11.460]  今天我們會看四十三章的下半部
[00:00:11.460 --> 00:00:13.760]  十四到二十八節
[00:00:13.760 --> 00:00:15.300]  其實這兩個的部分
[00:00:15.300 --> 00:00:20.000]  其實我覺得是一個很有回應、互相呼應的
[00:00:20.000 --> 00:00:26.760]  我很想和大家一起在四十三章裡領受神給我們的信息
[00:00:26.760 --> 00:00:30.980]  我將它的題目定為「我真懂得尊敬神嗎?」
[00:00:30.980 --> 00:00:34.880]  我相信這是我們從神這一班所揀選的指紋
[00:00:34.880 --> 00:00:37.380]  以色列人身上我們來學習
[00:00:37.380 --> 00:00:38.760]  來到被提醒
[00:00:38.760 --> 00:00:41.160]  我們更加要警醒
[00:00:41.160 --> 00:00:46.160]  我們會不會好像墮入了以色列選民那種光景
[00:00:46.160 --> 00:00:50.840]  我會先和大家來看四十三章的十四到二十一節
[00:00:50.840 --> 00:00:52.200]  十四到二十一節
[00:00:52.200 --> 00:00:57.820]  然後其他的經文我想我們會在當中仍然有機會看到和讀到
[00:00:57.820 --> 00:01:02.320]  不過我很想先和大家來看十四到二十一節這段經文
[00:01:02.320 --> 00:01:08.360]  我也想邀請弟兄姊妹一起來中讀這一段聖經
[00:01:08.360 --> 00:01:11.480]  如果看到我們一起來讀出這一段經文
[00:01:11.480 --> 00:01:13.080]  預備起
[00:01:13.080 --> 00:01:15.720]  耶和華,你們的救贖主
[00:01:15.720 --> 00:01:18.440]  以色列的聖者如此說
[00:01:18.440 --> 00:01:20.360]  因你們的緣故
[00:01:20.360 --> 00:01:23.560]  我已經打發人到巴比倫去
[00:01:23.560 --> 00:01:27.400]  並且我要使加勒底人如逃
[00:01:27.400 --> 00:01:30.800]  都坐自己起落的船下來
[00:01:30.800 --> 00:01:33.760]  我是耶和華,你們的聖者
[00:01:33.760 --> 00:01:35.880]  是創造以色列的
[00:01:35.880 --> 00:01:37.960]  是你們的君王
[00:01:37.960 --> 00:01:40.920]  耶和華在滄海中開道
