
[00:00:00.000 --> 00:00:13.000]  無論安坐在家中,還是今天出席崇拜的弟兄姐妹,願主賜大家平安。
[00:00:13.000 --> 00:00:25.000]  上個星期我分享的重點,主要是回應近期武漢肺炎的爆發。
[00:00:25.000 --> 00:00:35.000]  香港人在種種的恐慌之下,或者做出一些非理性的行爲,
[00:00:35.000 --> 00:00:39.000]  其實我們這樣做是爲求自保。
[00:00:39.000 --> 00:00:48.000]  然後我提到真正的平安,是來自我們迴歸上主的應許。
[00:00:48.000 --> 00:00:54.000]  我強調基督教信仰,不是除去畏懼,
[00:00:54.000 --> 00:00:56.000]  不是除去恐懼。
[00:00:56.000 --> 00:01:00.000]  我們更進一步是如何勇敢去面對這些恐懼。
[00:01:00.000 --> 00:01:04.000]  我們是進一步更加勇敢地面對恐懼。
[00:01:04.000 --> 00:01:15.000]  我們抓住神的應許,勇敢做人作爲一個基督徒的態度。
[00:01:15.000 --> 00:01:19.000]  如果仔細分析我上個星期分享的內容,
[00:01:19.000 --> 00:01:27.000]  其實我主要是講在疫情發生之後,我們信仰的態度。
[00:01:27.000 --> 00:01:38.000]  但可能接下來要問的問題,或者大家心裏面都曾經問過,
[00:01:38.000 --> 00:01:46.000]  如果上帝是掌管一切,爲何容許這些疫情發生呢?
[00:01:46.000 --> 00:01:54.000]  每次發生這樣的疫情,受苦的都是這些聲抖小市民。
[00:01:54.000 --> 00:02:04.000]  你何時見過那些高官和有錢人要去排隊買口罩呢?
[00:02:04.000 --> 00:02:10.000]  到底這些瘟疫是天災還是人禍呢?
[00:02:10.000 --> 00:02:18.000]  我自己參考了建道神學院陳維安博士的一篇分享,
[00:02:18.000 --> 00:02:29.000]  他嘗試從聖經裏面整理出有關瘟疫的來源,
[00:02:29.000 --> 00:02:39.000]  我要強調他不一定適用在現在香港和國內的情況,
[00:02:39.000 --> 00:02:47.000]  也不可能解決所有瘟疫的種種來源。
[00:02:47.000 --> 00:02:53.000]  其實瘟疫在人類的歷史裏面大家都不會陌生,
[00:02:53.000 --> 00:03:02.000]  無論是在衛生落後的國家,或者我們很先進的現代化社會,
[00:03:02.000 --> 00:03:12.000]  都沒有特權,在社會學的一種觀點就稱爲人口控制理論,
[00:03:12.000 --> 00:03:16.000]  意思就是人類生活在地球上,
[00:03:16.000 --> 00:03:22.000]  其實我們的人口資源和土地資源是有限的,
[00:03:22.000 --> 00:03:29.000]  每當這些資源分配不平均或者出現一些失衡的情況,
[00:03:29.000 --> 00:03:37.000]  就會產生內部的調節,最常出現的是三種情況,
[00:03:37.000 --> 00:03:45.000]  就是戰爭、饑荒和瘟疫,這三者又互有關聯,
[00:03:45.000 --> 00:03:53.000]  都是一些物資短缺,或者我們爭奪一些資源,
[00:03:53.000 --> 00:04:01.000]  在這三種情況出現之後,就會有大量人口的死亡,
[00:04:01.000 --> 00:04:07.000]  然後就將那種失衡的秩序重新回到正軌,
[00:04:07.000 --> 00:04:15.000]  所以古代的君王每年都要祭天的,去北京旅行,
[00:04:15.000 --> 00:04:21.000]  其中有一個天壇就是當時祭天的一個場所,
[00:04:21.000 --> 00:04:27.000]  皇帝要祈求風調雨順,國泰民安,
[00:04:27.000 --> 00:04:36.000]  或者如果出現天災橫禍,我們認爲這是一種天譴論,
[00:04:36.000 --> 00:04:47.000]  這種天譴論是認爲在自然災造成大量的人類死亡,
[00:04:47.000 --> 00:04:55.000]  是由於人得罪了天,所以就降下這些災禍,
[00:04:55.000 --> 00:05:04.000]  所以不同的文化和宗教,都有這種天譴的觀點,
[00:05:04.000 --> 00:05:13.000]  出現災禍的時候,好像替天行道,替天說話,
