
[00:00:00.000 --> 00:00:05.040]  在上兩個星期我們講到神的慈愛
[00:00:05.040 --> 00:00:06.600]  神的公義
[00:00:06.600 --> 00:00:10.280]  今天就通過詩篇第八篇
[00:00:10.280 --> 00:00:13.880]  我們通過詩人在這個詩篇裏面的表達
[00:00:13.880 --> 00:00:16.360]  一同看看神的榮耀
[00:00:16.360 --> 00:00:18.080]  神的美善
[00:00:18.080 --> 00:00:20.360]  以及神的尊貴
[00:00:20.360 --> 00:00:23.440]  在詩篇一開始的時候
[00:00:23.440 --> 00:00:27.200]  詩人大衛就講到神阿里的名
[00:00:27.200 --> 00:00:29.840]  在全地何其美
[00:00:29.840 --> 00:00:33.640]  神阿里將你的榮耀彰顯於天
[00:00:33.640 --> 00:00:36.800]  在這兩個很簡單的說話裏面
[00:00:36.800 --> 00:00:41.240]  我們看到詩人將神的名字
[00:00:41.240 --> 00:00:43.080]  神的榮耀
[00:00:43.080 --> 00:00:48.440]  延伸到天上與全地
[00:00:48.440 --> 00:00:50.200]  天與地
[00:00:50.200 --> 00:00:55.120]  是人普遍經驗到的世界
[00:00:55.120 --> 00:00:59.280]  在這兩個簡單的說話裏面卻是
[00:00:59.280 --> 00:01:03.920]  可以說是超越了當時人的認知
[00:01:03.920 --> 00:01:09.760]  大家要理解詩篇這一個書寫的日期
[00:01:09.760 --> 00:01:13.920]  是距離今天我們三千年之前的一個時候
[00:01:13.920 --> 00:01:16.920]  在那個時候裏面可以說是說
[00:01:16.920 --> 00:01:19.120]  所有的民族
[00:01:19.120 --> 00:01:21.520]  他們都有他們自己的神
[00:01:21.520 --> 00:01:23.120]  有些是信一個神
[00:01:23.120 --> 00:01:25.920]  有些是信滿天神佛
[00:01:25.920 --> 00:01:31.480]  而大部分當時所信的神都有他們一些地域的限制
[00:01:31.480 --> 00:01:32.480]  意思就是說
[00:01:32.480 --> 00:01:34.680]  他們所信的大部分的神
[00:01:34.680 --> 00:01:36.920]  都是在某一個地區裏面
[00:01:36.920 --> 00:01:39.520]  掌管著那個地區的事情
[00:01:39.520 --> 00:01:45.160]  或者是單是被那個地區裏面的人所認知
[00:01:45.160 --> 00:01:47.640]  但是如果大家有留意詩人在這裏
[00:01:47.640 --> 00:01:49.480]  詩人大衛所指出
[00:01:49.480 --> 00:01:54.120]  他們的神是單一唯一的神
[00:01:54.120 --> 00:01:56.120]  不單止是唯一的神
[00:01:56.120 --> 00:01:57.480]  他的權能
[00:01:57.480 --> 00:01:58.680]  他的榮耀
[00:01:58.680 --> 00:02:00.600]  遍及諸天
[00:02:00.600 --> 00:02:03.360]  遍及全地
[00:02:03.360 --> 00:02:06.160]  為甚麼大衛所信的神是這樣的神呢?
[00:02:06.160 --> 00:02:10.040]  因為聖經的《創世紀》告訴我們
[00:02:10.040 --> 00:02:13.040]  神是用他的話語
