
[00:00:00.000 --> 00:00:12.600]  各位親愛的弟兄姊妹,還有親愛的朋友們,我們的這麼寶貴的客人,我們歡迎你。
[00:00:12.600 --> 00:00:37.600]  也許大家都知道,2016年我們希望愛教會的一項使命是「興起發光,獲得聖色」。
[00:00:37.600 --> 00:00:57.600]  因為在每個月的第一個福祉,這福祉要為我們分享各一方面的信息。
[00:00:57.600 --> 00:01:06.600]  在這整個信息之下,鼓勵我們的弟兄姊妹,能夠真的是把握神的恩典,做一些得勝的,來為神發光。
[00:01:07.600 --> 00:01:24.600]  今年第一個福祉,牧師用《生命紀》第一章8到12節,分享了「興起」的意味念信息。
[00:01:37.600 --> 00:01:55.600]  在經文中,主耶和華是這麼說的:「所以你們要守我,今日吩咐你們一切的誡命,使你們得剛強壯感,得以進去,得你們所要得的那塊地。」
[00:01:55.600 --> 00:02:14.600]  「並使你們的日子,在耶和華向你們列入基式,應許給他們和他們後裔的地上,得以長壽。」
[00:02:14.600 --> 00:02:35.600]  「這是流奶以命的地。」
[00:02:35.600 --> 00:02:49.600]  「你們要進去得地的那塊地,本來不像你們出來的埃及地,因為在埃及的時候你們需要打斗,你們需要用腳交換,像交換派的一樣。」
[00:02:49.600 --> 00:03:06.600]  「但是你們要進去得地為列的那塊地,乃是有山有谷與水之地。」
[00:03:06.600 --> 00:03:27.600]  「是耶和華你神所眷顧的,從最初到年終,耶和華你神的眼目,時常地看入那地。」
[00:03:27.600 --> 00:03:51.600]  「當我第一次分享這個信息的時候,我真的不感覺到,就像那些經文上所說的,完全發生在我們二零一五年的時候,一模一樣的情況。」
[00:03:51.600 --> 00:04:05.600]  「我們既沒有撒手,也沒有用腳踩蚊子去取水。」
[00:04:05.600 --> 00:04:21.600]  「取代的是我們飲用天上所吃下來的雨水。」
[00:04:21.600 --> 00:04:39.600]  「你能夠看到埃及和印取之地的不同嗎?埃及就像一個小菜人一樣。」
[00:04:39.600 --> 00:04:51.600]  「在印取之地,乃是有山有谷與水之潤,牛奶與蜜之地。」
[00:04:51.600 --> 00:04:57.600]  「在埃及,你要打斗,你要用腳踩水輪交換。」
[00:04:57.600 --> 00:05:09.600]  「但是在印取之地,我們喝的水跟吃的食物,都是從天降甘霖而得的。」
[00:05:09.600 --> 00:05:16.600]  「在埃及,你不確定你有幾十年能夠豐收多少。」
[00:05:16.600 --> 00:05:27.600]  「但是在印取之地,卻是蒙古豐收的。」
[00:05:27.600 --> 00:05:40.600]  「神的眼目,卻是時常在印取之地,看護那地。」
[00:05:40.600 --> 00:05:50.600]  我真的是非常的喜歡這個信息,這是我們俞牧師分享的第一個信息。
[00:05:50.600 --> 00:06:05.600]  因為我們翻到這個地方,這個很美的大唐裏面,我們看到這是神給我們的恩頭。
[00:06:05.600 --> 00:06:15.600]  我們有山,有谷。
[00:06:15.600 --> 00:06:23.600]  我們也有水,當外面下雨的時候,我們裡面也在下雨。
[00:06:23.600 --> 00:06:47.600]  我們很清楚的知道這是神給我們的恩惠。神已經是這樣子來預備我們,看護我們,為我們預備這一切。
[00:06:47.600 --> 00:06:55.600]  在二月份,牧師用啟示錄二章一到七節,分享的信息是:「得證者必吃生病素的果子。」
[00:06:55.600 --> 00:07:20.600]  (英文翻譯)
[00:07:20.600 --> 00:07:36.600]  (英文翻譯)
[00:07:36.600 --> 00:07:51.600]  (英文翻譯)
[00:07:51.600 --> 00:07:58.600]  (英文翻譯)
[00:07:58.600 --> 00:08:10.600]  (英文翻譯)
[00:08:10.600 --> 00:08:29.600]  (英文翻譯)
[00:08:29.600 --> 00:08:41.600]  (英文翻譯)
[00:08:41.600 --> 00:08:49.600]  (英文翻譯)
[00:08:49.600 --> 00:09:10.600]  (英文翻譯)
[00:09:10.600 --> 00:09:19.600]  (英文翻譯)
[00:09:19.600 --> 00:09:27.600]  (英文翻譯)
[00:09:27.600 --> 00:09:33.600]  (英文翻譯)
[00:09:33.600 --> 00:09:45.600]  (英文翻譯)
[00:09:45.600 --> 00:09:55.600]  (英文翻譯)
[00:09:55.600 --> 00:10:23.600]  (英文翻譯)
[00:10:23.600 --> 00:10:32.600]  (英文翻譯)
[00:10:32.600 --> 00:10:39.600]  (英文翻譯)
[00:10:39.600 --> 00:10:48.600]  (英文翻譯)
[00:10:48.600 --> 00:10:57.600]  (英文翻譯)
[00:10:57.600 --> 00:11:12.600]  (英文翻譯)
[00:11:12.600 --> 00:11:26.600]  (英文翻譯)
[00:11:26.600 --> 00:11:44.600]  (英文翻譯)
[00:11:44.600 --> 00:11:59.600]  (英文翻譯)
[00:11:59.600 --> 00:12:14.600]  (英文翻譯)
[00:12:14.600 --> 00:12:29.600]  (英文翻譯)
[00:12:29.600 --> 00:12:44.600]  (英文翻譯)
[00:12:44.600 --> 00:12:52.600]  (英文翻譯)
[00:12:52.600 --> 00:13:05.600]  (英文翻譯)
[00:13:05.600 --> 00:13:34.600]  (英文翻譯)
[00:13:34.600 --> 00:13:37.600]  但是我一定裝上我的笑臉。
[00:13:37.600 --> 00:13:40.600]  (英文翻譯)
[00:13:40.600 --> 00:13:43.600]  我裝到我真的是變成一個快樂的人。
[00:13:43.600 --> 00:13:46.600]  (英文翻譯)
[00:13:46.600 --> 00:13:49.600]  假如你帶著一點東西都不好看的話,
[00:13:49.600 --> 00:13:50.600]  (英文翻譯)
[00:13:50.600 --> 00:13:51.600]  我告訴你,
[00:13:51.600 --> 00:13:52.600]  (英文翻譯)
[00:13:52.600 --> 00:13:53.600]  暫時,
[00:13:53.600 --> 00:13:54.600]  (英文翻譯)
[00:13:54.600 --> 00:13:55.600]  把你的,
[00:13:55.600 --> 00:13:58.600]  (英文翻譯)
[00:13:58.600 --> 00:13:59.600]  把你的下巴抬起來,
[00:13:59.600 --> 00:14:00.600]  (英文翻譯)
[00:14:00.600 --> 00:14:05.600]  (英文翻譯)
[00:14:05.600 --> 00:14:06.600]  (英文翻譯)
[00:14:06.600 --> 00:14:09.600]  裝到你真的是變成這樣的人。
[00:14:09.600 --> 00:14:17.600]  (英文翻譯)
[00:14:17.600 --> 00:14:18.600]  就像我一再說的,
[00:14:18.600 --> 00:14:20.600]  我們人的肉體必有一次的死,
[00:14:20.600 --> 00:14:21.600]  也有一次的生。
[00:14:21.600 --> 00:14:25.600]  (英文翻譯)
[00:14:25.600 --> 00:14:27.600]  但是第二次的死,
[00:14:27.600 --> 00:14:30.600]  就永遠是在地獄中了。
[00:14:30.600 --> 00:14:35.600]  (英文翻譯)
[00:14:35.600 --> 00:14:38.600]  真的兒女必不自受第二次的死,
[00:14:38.600 --> 00:14:40.600]  因為我們都有永恆的生命。
[00:14:40.600 --> 00:14:41.600]  (英文翻譯)
[00:14:41.600 --> 00:14:42.600]  你喜歡嗎?
[00:14:42.600 --> 00:14:43.600]  (英文翻譯)
[00:14:43.600 --> 00:14:44.600]  阿妹!
[00:14:44.600 --> 00:14:48.600]  (英文翻譯)
[00:14:48.600 --> 00:14:52.600]  生命當中說我們都要戴冠冕,
[00:14:52.600 --> 00:14:53.600]  生命的冠冕。
[00:14:53.600 --> 00:14:55.600]  (英文翻譯)
[00:14:55.600 --> 00:14:57.600]  我看到很多弟兄姊妹戴著冠冕。
[00:14:57.600 --> 00:15:07.600]  (英文翻譯)
[00:15:07.600 --> 00:15:09.600]  我看到弟兄姊妹戴著冠冕,
[00:15:09.600 --> 00:15:10.600]  生命上面告訴我們說,
