
[00:00:00.000 --> 00:00:04.340]  很開心再有機會來同福堂和您分享的時候
[00:00:04.340 --> 00:00:07.540]  在開始之前我們仰望神
[00:00:07.540 --> 00:00:14.300]  親愛的主,我們感謝祢
[00:00:14.300 --> 00:00:17.720]  因為在這個世代裡面祢揀選了我們
[00:00:17.720 --> 00:00:20.780]  主,無論我們是否知道
[00:00:20.780 --> 00:00:22.940]  我們感覺不到主
[00:00:22.940 --> 00:00:25.680]  祢引領著我們每一個向前行
[00:00:26.420 --> 00:00:30.460]  神啊我求祢,求祢不單止妥帶我們的手
[00:00:30.460 --> 00:00:32.880]  主求祢吸引我們的心
[00:00:32.880 --> 00:00:34.880]  叫我們將心交給祢
[00:00:34.880 --> 00:00:36.880]  再一次為祢所用
[00:00:36.880 --> 00:00:38.880]  神求祢幫助我們
[00:00:38.880 --> 00:00:42.140]  在這個世代裡面應見著明光照耀
[00:00:42.140 --> 00:00:46.100]  只要祢的名可以得到榮耀
[00:00:46.100 --> 00:00:48.100]  祢的心得到滿足
[00:00:48.100 --> 00:00:51.060]  聽我的禱告奉耶穌基督的名教
[00:00:51.060 --> 00:00:53.060]  阿們
[00:00:54.620 --> 00:00:58.220]  每一個人無論他是不是一個基督徒
[00:00:58.220 --> 00:01:02.300]  一生都是過著一個抉擇的人生
[00:01:02.300 --> 00:01:04.300]  什麼意思呢
[00:01:04.300 --> 00:01:08.220]  其實我們人生裡常常都要做大小的決定
[00:01:08.220 --> 00:01:13.580]  小至待會崇拜之後去哪裡吃飯
[00:01:13.580 --> 00:01:17.820]  大至到小時候你可能決定
[00:01:17.820 --> 00:01:19.820]  究竟去哪個學校讀書呢
[00:01:19.820 --> 00:01:22.620]  當年紀再大一點的時候
[00:01:22.620 --> 00:01:24.620]  我面對的問題可能是
[00:01:24.620 --> 00:01:27.660]  我繼續要進修還是學習呢
[00:01:27.660 --> 00:01:31.420]  究竟這個是不是我的終身伴侶
[00:01:31.420 --> 00:01:33.420]  我的結婚對象呢
[00:01:33.420 --> 00:01:35.420]  再遲一點的時候就是
[00:01:35.420 --> 00:01:37.420]  我需不需要小孩
[00:01:37.420 --> 00:01:39.420]  如果要的時候有多少個呢
[00:01:39.420 --> 00:01:43.420]  近期最熱門的題目就是
[00:01:43.420 --> 00:01:45.420]  究竟我需不需要移民呢
[00:01:45.420 --> 00:01:47.420]  去哪裡呢
[00:01:47.420 --> 00:01:49.420]  我們其實
[00:01:49.420 --> 00:01:52.860]  無論我們有說還是沒有說
[00:01:52.860 --> 00:01:56.700]  我們有沒有清楚表達出來也好
[00:01:56.700 --> 00:01:59.180]  其實在當中我們都很想
[00:01:59.180 --> 00:02:01.180]  我們做重要決定的時候
[00:02:01.180 --> 00:02:03.180]  我們的決定是正確的
[00:02:03.180 --> 00:02:06.620]  為什麼呢我們心底裡都知道一件事就是
[00:02:06.620 --> 00:02:10.620]  因為一個重要決定對我們影響很深遠
[00:02:10.620 --> 00:02:13.420]  不單單是我們自己
[00:02:13.420 --> 00:02:16.380]  很可能是影響我們的家人
[00:02:16.380 --> 00:02:17.740]  我們的子女
[00:02:17.740 --> 00:02:19.740]  而且不單單是一時
[00:02:19.740 --> 00:02:21.740]  可能是一生
[00:02:21.740 --> 00:02:23.740]  所以當基督徒做決定的時候
[00:02:23.740 --> 00:02:25.740]  很多時候我們都會想
[00:02:25.740 --> 00:02:27.740]  我們做一個正確的決定
[00:02:27.740 --> 00:02:29.740]  而得到神的祝福
[00:02:29.740 --> 00:02:31.740]  但是怎樣去做一個正確的決定呢
[00:02:31.740 --> 00:02:33.740]  今天我就想藉著
[00:02:33.740 --> 00:02:37.260]  路德記第一章和你們看看這個主題
[00:02:37.260 --> 00:02:40.220]  當我們真正研究路德記第一章的時候
[00:02:40.220 --> 00:02:42.220]  你就發覺一件事就是
[00:02:42.220 --> 00:02:44.220]  路德記第一章裡面有兩個人物
[00:02:44.220 --> 00:02:48.220]  他其實都面對一個
[00:02:48.220 --> 00:02:50.220]  我們最近很熱門的主題就是
[00:02:50.220 --> 00:02:52.220]  我應不應該移民呢
[00:02:52.220 --> 00:02:56.220]  當我們研究這兩個人物的時候
[00:02:56.220 --> 00:02:58.220]  我們就發覺
[00:02:58.220 --> 00:03:02.220]  其實他們的考量和取向都不同
[00:03:02.220 --> 00:03:04.220]  當我們做這麼重要的決定的時候
[00:03:04.220 --> 00:03:06.220]  他們有不同的考量和取向
[00:03:06.220 --> 00:03:08.220]  所以讓我們看看
[00:03:08.220 --> 00:03:12.220]  究竟他們的考量和取向是怎樣的
[00:03:12.220 --> 00:03:14.220]  因為我們接著就會發覺
[00:03:14.220 --> 00:03:16.220]  他們不同的考量和取向
[00:03:16.220 --> 00:03:20.220]  就決定了我們人生的成敗
[00:03:20.220 --> 00:03:22.220]  和神祝福他們與否
[00:03:22.220 --> 00:03:24.220]  第一個人物我們要看的是
[00:03:24.220 --> 00:03:26.220]  以利米勒
[00:03:26.220 --> 00:03:28.220]  我相信沒有很多人知道
[00:03:28.220 --> 00:03:30.220]  以利米勒這個人
[00:03:30.220 --> 00:03:32.220]  因為他只是在聖經出現了兩節
[00:03:32.220 --> 00:03:34.220]  但我們就看一看
[00:03:34.220 --> 00:03:36.220]  很簡單他的生平是怎樣
[00:03:36.220 --> 00:03:38.220]  好不好
[00:03:38.220 --> 00:03:40.220]  我們讀會長一點的
[00:03:40.220 --> 00:03:42.220]  首先會讀《路德記》第一章一至五節
[00:03:42.220 --> 00:03:44.220]  接著第二十節
[00:03:44.220 --> 00:03:46.220]  再到第二十一節
[00:03:46.220 --> 00:03:48.220]  你們聽我讀就可以了
[00:03:48.220 --> 00:03:50.220]  當時之秉政的時候
[00:03:50.220 --> 00:03:52.220]  國中遭遇饑荒
[00:03:52.220 --> 00:03:54.220]  在猶大伯利恆有一個人
[00:03:54.220 --> 00:03:56.220]  帶著他的妻子和兩個兒子
[00:03:56.220 --> 00:03:58.220]  往摩亞地去寄居
[00:03:58.220 --> 00:04:00.220]  這個人就叫做
[00:04:00.220 --> 00:04:02.220]  以利米勒
