
[00:00:00.000 --> 00:00:04.020]  第二講是講到中東
[00:00:04.020 --> 00:00:06.640]  今日我們看報紙
[00:00:06.640 --> 00:00:09.400]  你覺得中東怎樣?
[00:00:09.400 --> 00:00:12.280]  好不好呀?
[00:00:12.280 --> 00:00:18.000]  聖經對中東有沒有特別的懷疑?
[00:00:18.000 --> 00:00:19.360]  有沒有?
[00:00:19.360 --> 00:00:21.680]  好多好多
[00:00:21.680 --> 00:00:23.720]  今日我就想
[00:00:23.720 --> 00:00:26.280]  不止是中東
[00:00:26.280 --> 00:00:28.520]  我必須要明白
[00:00:28.520 --> 00:00:31.960]  那個末世的背景
[00:00:31.960 --> 00:00:34.160]  我會講到美國
[00:00:34.160 --> 00:00:35.760]  我不會講到中國
[00:00:35.760 --> 00:00:41.440]  明天早上我會在國語堂的時候會講到中國
[00:00:41.440 --> 00:00:49.000]  就是我會從啟示錄各方面來思想
[00:00:49.000 --> 00:00:51.640]  我們做一個祈禱
[00:00:51.640 --> 00:00:55.880]  只求你安靜我們在你面前
[00:00:55.880 --> 00:01:00.440]  靠你讓我們有受教的心
[00:01:00.440 --> 00:01:04.000]  靠你潔淨這個小字
[00:01:04.000 --> 00:01:09.240]  讓我們在你面前的思想能夠吐你的血
[00:01:09.240 --> 00:01:14.680]  都能夠明白你自己就要再回來
[00:01:14.680 --> 00:01:16.840]  跟耶穌登上你的名號
[00:01:16.840 --> 00:01:20.320]  阿們
[00:01:20.320 --> 00:01:25.640]  我們要明白牛頓不只是一個學家
[00:01:25.640 --> 00:01:28.080]  他很真實
[00:01:28.080 --> 00:01:34.280]  很完全相信聖經的寓言
[00:01:34.280 --> 00:01:36.280]  大家讀一讀
[00:01:54.400 --> 00:01:58.360]  另外他講到我的工作和神的偉大創造相比
[00:01:58.360 --> 00:02:05.280]  我只不過是好像海邊撿到一些小食紙的那些十元仔
[00:02:05.280 --> 00:02:09.800]  我知道在大陸只是講到下面那一段
[00:02:09.800 --> 00:02:15.120]  不會講到我的工作和上帝的偉大創造相比
[00:02:15.120 --> 00:02:16.600]  是不是?
[00:02:16.600 --> 00:02:19.000]  在大陸如果你們在大陸就知道
[00:02:19.000 --> 00:02:20.560]  只是看到後面那邊
[00:02:20.560 --> 00:02:23.960]  沒有講到上面那裡
[00:02:23.960 --> 00:02:25.760]  大家再讀一讀
[00:02:53.960 --> 00:03:05.520]  如果我們認定牛頓是一個科學家
[00:03:05.520 --> 00:03:09.600]  我們更加要認定他是一個神學家
[00:03:09.600 --> 00:03:13.960]  他所有的科學著作只是百分之十
[00:03:13.960 --> 00:03:17.000]  百分之八十六有關聖經
[00:03:17.000 --> 00:03:20.320]  大家再讀一讀
[00:03:23.960 --> 00:03:50.960]  (念經)
[00:03:50.960 --> 00:03:54.160]  他是二百多年前
[00:03:54.160 --> 00:03:56.840]  他用了很多時間
[00:03:56.840 --> 00:04:00.400]  用了五十多年的時間研究聖經
[00:04:00.400 --> 00:04:04.240]  他那個時代他為了想了解聖經
[00:04:04.240 --> 00:04:12.640]  他特意去學一個已經亡國二千三百年的一個民族的文化
[00:04:12.640 --> 00:04:15.040]  是白雷文
[00:04:15.040 --> 00:04:16.640]  他就研究
[00:04:16.640 --> 00:04:17.960]  為了要研究聖經
[00:04:17.960 --> 00:04:23.960]  他去學猶太人的文化、文字
[00:04:23.960 --> 00:04:30.760]  他相信耶路撒冷被外邦人佔領的日子有一天要滿
[00:04:30.760 --> 00:04:42.760]  他是相信神對以色列的英許是真真實實
[00:04:42.760 --> 00:04:43.760]  大家讀一讀
[00:04:43.760 --> 00:05:11.160]  (念經)
