
[00:00:00.000 --> 00:00:04.000]  前兩星期行經灣仔
[00:00:04.000 --> 00:00:08.000]  碰到朋友急急步行
[00:00:08.000 --> 00:00:09.000]  問他去哪
[00:00:09.000 --> 00:00:12.000]  他說趕去稅務大樓交稅
[00:00:12.000 --> 00:00:15.000]  突然想到交稅
[00:00:15.000 --> 00:00:17.000]  交了
[00:00:17.000 --> 00:00:18.000]  現在是報稅時候
[00:00:18.000 --> 00:00:19.000]  為什麼要交稅
[00:00:19.000 --> 00:00:21.000]  他說因為是移民
[00:00:21.000 --> 00:00:23.000]  移民清稅
[00:00:23.000 --> 00:00:26.000]  原來有一個朋友移民
[00:00:26.000 --> 00:00:30.000]  再想起上個月我去機場送機
[00:00:30.000 --> 00:00:31.000]  送機的時候
[00:00:31.000 --> 00:00:36.000]  留意到一大條龍牙排隊
[00:00:36.000 --> 00:00:41.000]  排隊會留意到行李特別多特別大件
[00:00:41.000 --> 00:00:45.000]  一看就知道可能是舉家移民
[00:00:45.000 --> 00:00:47.000]  因為拿很大很大的行李
[00:00:47.000 --> 00:00:48.000]  如果你旅行
[00:00:48.000 --> 00:00:50.000]  你不會拿這麼多行李拖著
[00:00:50.000 --> 00:00:51.000]  很不方便
[00:00:51.000 --> 00:00:54.000]  開始慢慢真的感受到
[00:00:54.000 --> 00:00:55.000]  很多人移民
[00:00:55.000 --> 00:00:56.000]  當然了
[00:00:56.000 --> 00:00:57.000]  其實我們在教會裏面
[00:00:57.000 --> 00:00:59.000]  我們一直都收到不同的消息
[00:00:59.000 --> 00:01:01.000]  有不同的領子妹
[00:01:01.000 --> 00:01:02.000]  在不同的時間
[00:01:02.000 --> 00:01:03.000]  我們就移民
[00:01:03.000 --> 00:01:06.000]  這個移民的數字有多少呢
[00:01:06.000 --> 00:01:10.000]  可能真是近年的香港的移民潮
[00:01:10.000 --> 00:01:12.000]  可能大家都有聽新聞
[00:01:12.000 --> 00:01:13.000]  最近稅務局
[00:01:13.000 --> 00:01:16.000]  他說收那些報稅表
[00:01:16.000 --> 00:01:17.000]  減少了多少
[00:01:17.000 --> 00:01:19.000]  三十萬
[00:01:19.000 --> 00:01:21.000]  過去一年裏面
[00:01:21.000 --> 00:01:25.000]  收到二百四十七萬份
[00:01:25.000 --> 00:01:27.000]  減少了三十萬份
[00:01:27.000 --> 00:01:29.000]  另外一些統計
[00:01:29.000 --> 00:01:31.000]  譬如在過去兩年裏面
[00:01:31.000 --> 00:01:33.000]  機場出又入
[00:01:33.000 --> 00:01:36.000]  計算出來
[00:01:36.000 --> 00:01:40.000]  淨流出的人數是三十二點三萬
[00:01:40.000 --> 00:01:43.000]  另外統計處計
[00:01:43.000 --> 00:01:46.000]  究竟多少人移民離開香港
[00:01:46.000 --> 00:01:48.000]  就是二十四點二萬
[00:01:48.000 --> 00:01:50.000]  而過去兩年裏面
[00:01:50.000 --> 00:01:52.000]  香港的勞動人口
[00:01:52.000 --> 00:01:54.000]  現在是三百七十六萬點五
[00:01:54.000 --> 00:01:58.000]  較兩年前是少了十三萬
[00:01:58.000 --> 00:01:59.000]  你會看到
[00:01:59.000 --> 00:02:02.000]  香港很大批人離開了移民
[00:02:02.000 --> 00:02:04.000]  你可以說是移民潮
[00:02:04.000 --> 00:02:06.000]  你也可能聽到一些人說
[00:02:06.000 --> 00:02:08.000]  這個大逃亡
[00:02:08.000 --> 00:02:10.000]  無論你自己是怎樣的看法
[00:02:10.000 --> 00:02:11.000]  怎樣的體會
[00:02:11.000 --> 00:02:14.000]  當然都是看到很多
[00:02:14.000 --> 00:02:17.000]  無部分的香港人離開了香港
[00:02:17.000 --> 00:02:20.000]  當然今天我跟大家分享
[00:02:20.000 --> 00:02:21.000]  這段經文
[00:02:21.000 --> 00:02:23.000]  剛才主席林興執時跟他讀了
[00:02:23.000 --> 00:02:25.000]  《耶利米書》第二十九章
[00:02:25.000 --> 00:02:27.000]  一到十四節
[00:02:27.000 --> 00:02:31.000]  這是耶利米寫信給當時
[00:02:31.000 --> 00:02:35.000]  被擄了巴比倫的一些猶大人
[00:02:35.000 --> 00:02:37.000]  我先講一些背景
[00:02:37.000 --> 00:02:40.000]  我自己在這段時間的分享
[00:02:40.000 --> 00:02:41.000]  大家記得
[00:02:41.000 --> 00:02:43.000]  早陣子我分享四個皇帝
[00:02:43.000 --> 00:02:45.000]  一個南國的皇帝
[00:02:45.000 --> 00:02:47.000]  幾個皇帝都好的皇帝
[00:02:47.000 --> 00:02:50.000]  亦要受到亞述
[00:02:50.000 --> 00:02:54.000]  或者其他鄰近的國家的爭戰
[00:02:54.000 --> 00:02:57.000]  基本上都叫做化險為夷
[00:02:57.000 --> 00:03:01.000]  就這樣過去了
