
[00:00:00.000 --> 00:00:03.240]  無論你的靈性是枯乾
[00:00:03.240 --> 00:00:05.600]  是飢餓還是赤身怒體
[00:00:05.600 --> 00:00:07.520]  或者有沒有毛病也好
[00:00:07.520 --> 00:00:11.400]  神今天鼓勵你要加油
[00:00:11.400 --> 00:00:13.280]  加油 努力 加油
[00:00:13.280 --> 00:00:17.640]  這些很啦啦隊的口號
[00:00:17.640 --> 00:00:21.080]  神其實很多時候爲你而加油和打氣
[00:00:21.080 --> 00:00:23.960]  當你在跑 跑 跑 跑的時候
[00:00:23.960 --> 00:00:27.640]  跑到又沒有水 又缺氧 又累
[00:00:27.640 --> 00:00:29.320]  在終點站
[00:00:29.320 --> 00:00:31.320]  其實神在爲你打氣
[00:00:31.320 --> 00:00:33.560]  你不要忘記了你的終點站
[00:00:33.560 --> 00:00:35.400]  可能你現在很困苦
[00:00:35.400 --> 00:00:38.440]  跑得很辛苦
[00:00:38.440 --> 00:00:41.000]  過去在這個屬靈加油站裏面
[00:00:41.000 --> 00:00:44.120]  我們都學了好幾樣事情
[00:00:44.120 --> 00:00:45.760]  第一樣是什麼
[00:00:45.760 --> 00:00:47.400]  如果你記得的 我們學的第一樣是
[00:00:47.400 --> 00:00:49.400]  在神面前要安靜
[00:00:49.400 --> 00:00:52.720]  要安靜 要祈禱
[00:00:52.720 --> 00:00:54.160]  上個星期我們又學
[00:00:54.160 --> 00:00:57.400]  要在神面前讀祂的話語
[00:00:57.400 --> 00:01:00.000]  以至我們的生命是可以被轉化
[00:01:00.000 --> 00:01:03.400]  被提升的 不斷 是吧
[00:01:03.400 --> 00:01:05.800]  耶穌他也曾經說過一句話
[00:01:05.800 --> 00:01:09.000]  祂說祂來是要服侍人
[00:01:09.000 --> 00:01:11.560]  不是要受人的服侍
[00:01:11.560 --> 00:01:13.760]  看到神祂自己很多時候
[00:01:13.760 --> 00:01:16.360]  給我們力量和加油我們的時候
[00:01:16.360 --> 00:01:19.240]  我們就有力量去服侍他人
[00:01:19.240 --> 00:01:20.720]  我們經常都要受人服侍
[00:01:20.720 --> 00:01:24.040]  其中一個原因就是因爲我們沒有力
[00:01:24.040 --> 00:01:26.960]  我們來就是要受人的服侍很多時候
[00:01:26.960 --> 00:01:30.760]  但是耶穌說我們耶穌來是要服侍人
[00:01:30.760 --> 00:01:33.360]  我們都有這個心智需要
[00:01:33.360 --> 00:01:36.160]  今天我們就學習怎麼去
[00:01:36.160 --> 00:01:39.960]  在這個從幫助有需要的人當中
[00:01:39.960 --> 00:01:42.800]  我們在當中其實是得着力量
[00:01:42.800 --> 00:01:44.840]  和得着這個加油
[00:01:44.840 --> 00:01:47.280]  今年有很多的迎會
[00:01:47.280 --> 00:01:50.840]  我數數我今年都去了好幾個迎會
[00:01:50.840 --> 00:01:53.960]  每一個迎會都有意義
[00:01:53.960 --> 00:01:55.280]  今年特別多
[00:01:55.280 --> 00:01:58.160]  譬如在座當中都有一起去
[00:01:58.160 --> 00:02:00.640]  祈禱會 我們都有去祈禱會
[00:02:00.640 --> 00:02:02.640]  我們一起去學習怎麼祈禱
[00:02:02.640 --> 00:02:05.120]  在神面前用不同的形式祈禱
[00:02:05.120 --> 00:02:07.720]  個人的祈禱 兩個人一起去祈禱
[00:02:07.720 --> 00:02:09.520]  三個人一個小組去祈禱
