
[00:00:00.000 --> 00:00:01.800]  在我們一同思考上帝的話語的時候
[00:00:01.800 --> 00:00:04.880]  都先讓我們同心地祈禱
[00:00:04.880 --> 00:00:06.680]  聖善的恩主 我們感謝祢
[00:00:06.680 --> 00:00:09.880]  祢讓我們縱然在不同的地方裡面
[00:00:09.880 --> 00:00:12.320]  也讓我們能夠有那份
[00:00:12.320 --> 00:00:15.440]  學母親近你的那份心
[00:00:15.440 --> 00:00:17.760]  來到祢的壇前
[00:00:17.760 --> 00:00:20.180]  一同獻上我們的歌頌
[00:00:20.180 --> 00:00:21.640]  我們的讚美
[00:00:21.640 --> 00:00:23.440]  並且讓我們能夠
[00:00:23.440 --> 00:00:25.520]  得聽主祢自己的話語
[00:00:25.520 --> 00:00:27.400]  為此我們獻上感恩
[00:00:27.400 --> 00:00:32.040]  天父 當我們這一刻一同思想祢的話的時候
[00:00:32.040 --> 00:00:35.280]  我們求祢的靈親自的臨在我們當中
[00:00:35.280 --> 00:00:37.040]  引導我們 幫助我們
[00:00:37.040 --> 00:00:39.680]  讓我們能夠曉得祢自己的心意
[00:00:39.680 --> 00:00:42.720]  在聖靈的幫助裡面進入真理之中
[00:00:42.720 --> 00:00:45.160]  我們這樣同心仰望
[00:00:45.160 --> 00:00:47.960]  直立救主耶穌基督 聖名而及
[00:00:47.960 --> 00:00:48.960]  阿們
[00:00:48.960 --> 00:00:56.840]  今天和大家分享的題目叫做「悔改相信」
[00:00:56.840 --> 00:00:59.000]  對於我們很多基督徒來說
[00:00:59.000 --> 00:01:01.840]  我們的經驗未必是這樣
[00:01:01.840 --> 00:01:03.560]  因為很多時候 包括你和我
[00:01:03.560 --> 00:01:07.480]  可能都是我們相信了耶穌基督的福音
[00:01:07.480 --> 00:01:11.880]  然後我們追求一個悔改的生命
[00:01:11.880 --> 00:01:16.320]  去活出一個我們叫基督徒的生活樣式
[00:01:16.320 --> 00:01:17.600]  所以對於我們來說
[00:01:17.600 --> 00:01:21.240]  是先相信 然後去悔改
[00:01:21.240 --> 00:01:24.640]  但是今天在我們所看的
[00:01:24.640 --> 00:01:28.200]  《馬可福音》這個福音書裡面的說話當中
[00:01:28.200 --> 00:01:32.200]  耶穌所說的卻是「悔改」然後「相信」
[00:01:32.200 --> 00:01:34.720]  而不是「相信」然後「悔改」
[00:01:34.720 --> 00:01:36.160]  為什麼會是這樣的呢?
[00:01:36.160 --> 00:01:38.360]  原因在哪裡呢?
[00:01:38.360 --> 00:01:40.440]  當然剛才這樣說的時候
[00:01:40.440 --> 00:01:41.920]  大家會留意到
[00:01:41.920 --> 00:01:43.920]  這一句話 耶穌所說
[00:01:43.920 --> 00:01:45.760]  而馬可將它記錄在
[00:01:45.760 --> 00:01:48.640]  《馬可福音》第一章第五節那裡
[00:01:48.640 --> 00:01:50.200]  那裡說 耶穌說
[00:01:50.200 --> 00:01:52.520]  「日期滿了 上帝的國近了」
[00:01:52.520 --> 00:01:56.840]  「你們要悔改 信福音」
[00:01:56.840 --> 00:02:01.280]  沒錯 這是耶穌開始在加里利宣道的時候
[00:02:01.280 --> 00:02:04.240]  所發出的口號
[00:02:04.240 --> 00:02:05.960]  不過這個訊息
[00:02:05.960 --> 00:02:10.480]  其實也不是耶穌自己獨創的口號
[00:02:10.480 --> 00:02:13.480]  因為如果大家對這個福音有認識的話
[00:02:13.480 --> 00:02:14.840]  你會知道
[00:02:14.840 --> 00:02:17.240]  其實頭幾句的說話
[00:02:17.240 --> 00:02:19.360]  「日期滿了 上帝的國近了」
[00:02:19.360 --> 00:02:22.200]  「你們要悔改」
[00:02:22.200 --> 00:02:25.880]  這個部分其實是司祭約翰
[00:02:25.880 --> 00:02:29.520]  一直在猶太地傳道的時候
[00:02:29.520 --> 00:02:31.960]  所宣講的訊息
[00:02:31.960 --> 00:02:34.640]  而耶穌去到繼續
[00:02:34.640 --> 00:02:37.560]  司祭約翰傳福音的工作
[00:02:37.560 --> 00:02:39.840]  在加里利開始傳道的時候
[00:02:39.840 --> 00:02:42.920]  只是在司祭約翰的訊息之上
[00:02:42.920 --> 00:02:44.520]  加了一句說話
[00:02:44.520 --> 00:02:50.360]  就是「信福音」
[00:02:50.360 --> 00:02:52.600]  在這個過程裡面
[00:02:52.600 --> 00:02:56.680]  當然如果我們認識司祭約翰的話
[00:02:56.680 --> 00:02:58.000]  我們會知道
[00:02:58.000 --> 00:03:00.720]  「你們要悔改 因為天國近了」
[00:03:00.720 --> 00:03:04.440]  在《馬克福音》第三章第二節是這樣描述
[00:03:04.440 --> 00:03:07.560]  而《馬克福音》一章第四節的說法就是
[00:03:07.560 --> 00:03:11.000]  司祭約翰在宣講悔改的洗禮
[00:03:11.000 --> 00:03:12.640]  要洗聚德石
[00:03:12.640 --> 00:03:14.040]  換句話說
[00:03:14.040 --> 00:03:16.320]  當司祭約翰出來宣道的時候
[00:03:16.320 --> 00:03:18.920]  他所強調的就是上帝要來臨
