
[00:00:00.000 --> 00:00:07.000]  首先就要講一個我廣東話是第六種語言,所以不太好
[00:00:07.000 --> 00:00:13.000]  現在是退步了很多,因為現在多些用國語普通話
[00:00:13.000 --> 00:00:16.000]  我們當中幾多是國內來的?
[00:00:16.000 --> 00:00:18.000]  國內來
[00:00:18.000 --> 00:00:21.000]  OK,好多,OK,good
[00:00:21.000 --> 00:00:28.000]  有哪些是一般來講不太會聽廣東話的,有沒有?
[00:00:28.000 --> 00:00:32.000]  有沒有一些不太會聽廣東話的?
[00:00:32.000 --> 00:00:36.000]  沒有,都是很好,都是可以聽得懂廣東話
[00:00:36.000 --> 00:00:44.000]  好,今天那個題目就是基督教信仰和科學有沒有衝突?
[00:00:44.000 --> 00:00:51.000]  我首先再介紹一下我自己的背景,但是我今晚才會比較詳細介紹
[00:00:51.000 --> 00:01:07.000]  好,不行,為甚麼?
[00:01:07.000 --> 00:01:23.000]  這個是我的家,我是中國出生,三歲離開中國去印尼,十七歲我是印尼坐牢
[00:01:23.000 --> 00:01:29.000]  你們有沒有嚇到呢?你們究竟請一個十七歲坐牢的人來跟你分享
[00:01:29.000 --> 00:01:38.000]  今晚我先比較詳細講我競爭,打官司兩年,結果就法官給我兩個選擇
[00:01:38.000 --> 00:01:43.000]  你既然不是印尼公民,我們將你趕走
[00:01:43.000 --> 00:01:59.000]  居足出境,1965,我拿這張藍紙竟然可以從印尼趕到香港,香港趕到東京
[00:01:59.000 --> 00:02:06.000]  東京趕到加拿大,由加拿大正門大門進去,不是偷渡
[00:02:06.000 --> 00:02:15.000]  後來我在大學二年級信耶穌,大家讀一讀,耶穌說
[00:02:15.000 --> 00:02:36.000]  世面他們,因為他們所作的,他們不曉得,我是神那麼奇妙,我不需要坐二十年牢,我坐兩十年牢,打官司兩年
[00:02:36.000 --> 00:02:41.000]  我不需要任何國家的護照,有人來香港,香港是東京,東京有大門進到加拿大
[00:02:41.000 --> 00:02:48.000]  我沒有因此信耶穌,大學二年級的時候,我參加一個小小的報道會
[00:02:48.000 --> 00:02:54.000]  讀了這段聖經籍,我就一直流淚,看到神怎樣憐憫我
[00:02:54.000 --> 00:03:00.000]  不需要坐二十年牢,兩十年牢,打官司兩年
[00:03:00.000 --> 00:03:05.000]  竟然不需要任何國家的護照可以進到加拿大
[00:03:05.000 --> 00:03:13.000]  所以由那時候開始,我就前三前二熱烈接受我父母的神,成為我個人救主
[00:03:13.000 --> 00:03:19.000]  我受洗之前,牧師給我這段聖經,大家讀一讀
[00:03:19.000 --> 00:03:35.000]  因為尊重我的,我必重看他,不藐視我的,他必被輕視
[00:03:35.000 --> 00:03:43.000]  感謝神,我信主之前,我信主之後,受洗之前,有這段聖經籍勉勵我
[00:03:43.000 --> 00:03:51.000]  1974年,我要讀完博士之前,我就開始找工作
[00:03:51.000 --> 00:03:59.000]  你想一想,1974年,中國海外的形象好不好?好不好啊?
[00:03:59.000 --> 00:04:06.000]  當時我想申請進到加拿大國防部做飛彈的研究
[00:04:06.000 --> 00:04:09.000]  我問你,機會大不大?
[00:04:09.000 --> 00:04:15.000]  尤其是17歲的人來坐牢
