
[00:00:00.000 --> 00:00:02.000]  在正道之前我們同心理會祈禱
[00:00:02.000 --> 00:00:04.600]  成為獨生兒子耶穌基督
[00:00:04.600 --> 00:00:06.800]  求祢私恩可憐的罪人
[00:00:06.800 --> 00:00:09.400]  願意在主祢面前試辣
[00:00:09.400 --> 00:00:11.600]  去宣講主的恩怨
[00:00:11.600 --> 00:00:13.800]  求主耶穌基督的保血
[00:00:13.800 --> 00:00:16.600]  再一次潔淨這個不配的人的罪
[00:00:16.600 --> 00:00:20.000]  願意孩子能夠成為神話語的出口
[00:00:20.000 --> 00:00:23.400]  能夠將主的恩怨解明
[00:00:23.400 --> 00:00:26.800]  願意真理聖靈開啟我們心竅
[00:00:26.800 --> 00:00:29.200]  帶領我們進入真理
[00:00:29.200 --> 00:00:31.600]  祈禱 仰望 教託
[00:00:31.600 --> 00:00:34.400]  是奉教救主基督耶穌聖名
[00:00:34.400 --> 00:00:35.400]  對
[00:00:35.400 --> 00:00:39.400]  上主日大年初一
[00:00:39.400 --> 00:00:40.600]  在講道裡面
[00:00:40.600 --> 00:00:43.800]  羅牧師去率先問大家
[00:00:43.800 --> 00:00:46.200]  今年有什麼立志
[00:00:46.200 --> 00:00:49.800]  沒見大家有踴躍回應
[00:00:49.800 --> 00:00:53.800]  可能大家來臉含蓄
[00:00:53.800 --> 00:00:56.200]  也可能還沒想到
[00:00:56.200 --> 00:01:01.000]  亦都這樣講可能怕面對失望
[00:01:01.000 --> 00:01:02.200]  有人講
[00:01:02.200 --> 00:01:05.200]  沒有期望就沒有失望
[00:01:05.200 --> 00:01:07.000]  這個是都市傳說
[00:01:07.000 --> 00:01:09.600]  講到養成的習慣
[00:01:09.600 --> 00:01:12.200]  你立志了一件事
[00:01:12.200 --> 00:01:14.400]  只需要也一日
[00:01:14.400 --> 00:01:17.000]  就可以完成達標
[00:01:17.000 --> 00:01:19.000]  但是
[00:01:19.000 --> 00:01:20.600]  現實的實驗裡面
[00:01:20.600 --> 00:01:24.200]  你會發現遠遠不止是這樣
[00:01:24.200 --> 00:01:26.200]  2022年已經過去了
[00:01:26.200 --> 00:01:28.800]  2023年來到
[00:01:28.800 --> 00:01:33.600]  我們今天是去一月
[00:01:33.600 --> 00:01:35.400]  最後一個主日
[00:01:35.400 --> 00:01:37.200]  我們仍然講是新年
[00:01:37.200 --> 00:01:40.600]  無論是舊曆和新曆
[00:01:40.600 --> 00:01:44.400]  可能你都曾經定下一些目標的
[00:01:44.400 --> 00:01:46.600]  譬如
[00:01:46.600 --> 00:01:49.400]  要多點做運動
[00:01:49.400 --> 00:01:51.800]  要多點看書
[00:01:51.800 --> 00:01:55.000]  減肥瘦身
[00:01:55.000 --> 00:01:57.400]  或者要儲蓄
[00:01:57.400 --> 00:02:03.600]  少看一些社交網絡
[00:02:03.600 --> 00:02:07.200]  能不能堅持呢
[00:02:07.200 --> 00:02:09.400]  有人說要養成的習慣
[00:02:09.400 --> 00:02:11.200]  要21天
[00:02:11.200 --> 00:02:15.400]  不過21天說短不短
[00:02:15.400 --> 00:02:17.400]  說長不長
[00:02:17.400 --> 00:02:19.200]  有時候忙起來又怎樣
[00:02:19.200 --> 00:02:21.200]  又停滯了兩三天
[00:02:21.200 --> 00:02:23.000]  又重新來過
[00:02:23.000 --> 00:02:25.000]  好像21天永遠都追不上
[00:02:25.000 --> 00:02:28.000]  又停滯又停滯
[00:02:28.000 --> 00:02:31.800]  弄來弄去都做不到21天
[00:02:31.800 --> 00:02:34.000]  根據報章來報導
[00:02:34.000 --> 00:02:35.400]  就養成的習慣
[00:02:35.400 --> 00:02:41.200]  生理學家曾經邀請志願者臨床來測驗
[00:02:41.200 --> 00:02:43.600]  參與研究
[00:02:43.600 --> 00:02:49.800]  好的習慣有時候真的不是一下子就完成
[00:02:49.800 --> 00:02:52.000]  當然不同的參與者
[00:02:52.000 --> 00:02:55.600]  和所需要的時間都一樣的
[00:02:55.600 --> 00:02:56.800]  有一位參與者
[00:02:56.800 --> 00:03:02.200]  18天就能夠將他的立志委意願自動化
[00:03:02.200 --> 00:03:07.000]  不需要督促自己已經養成這個習慣
[00:03:07.000 --> 00:03:08.200]  有一些人
[00:03:08.200 --> 00:03:09.200]  就是參與者
[00:03:09.200 --> 00:03:12.600]  他84天都未能夠成功
[00:03:12.600 --> 00:03:14.800]  就是持續做這件事做了84天
[00:03:14.800 --> 00:03:15.800]  很立志去做
[00:03:15.800 --> 00:03:18.800]  很恆常去做
[00:03:18.800 --> 00:03:20.400]  但是都做不到
[00:03:20.400 --> 00:03:24.000]  他根據推斷的計算
[00:03:24.000 --> 00:03:32.400]  他可能需要254天才能夠做到自動化
[00:03:32.400 --> 00:03:34.400]  行為本身的難度
[00:03:34.400 --> 00:03:38.200]  都影響我們習慣形成的時間
[00:03:38.200 --> 00:03:39.600]  研究本命
[00:03:39.600 --> 00:03:44.800]  或者去講早餐之後散步
[00:03:44.800 --> 00:03:47.400]  就是十分鐘
[00:03:47.400 --> 00:03:54.000]  還有早餐之前做50下養餓起坐
[00:03:54.000 --> 00:03:58.800]  那哪樣更加容易成為習慣呢
[00:03:58.800 --> 00:04:03.600]  當然是早餐之後走十分鐘起碼吃飽了
[00:04:03.600 --> 00:04:05.200]  還有十分鐘的散步
[00:04:05.200 --> 00:04:10.400]  怎樣都比50下養餓起坐容易
[00:04:10.400 --> 00:04:17.400]  有些行為本身更加容易自動化
[00:04:17.400 --> 00:04:22.600]  而另一些更加需要我們更加努力才能夠完成
[00:04:22.600 --> 00:04:26.800]  有人說失敗乃成功之母
[00:04:26.800 --> 00:04:32.800]  那到底要失敗多少次才會成功呢
[00:04:32.800 --> 00:04:38.400]  還是找到失敗的原因認真改善才是王道呢
[00:04:38.400 --> 00:04:41.400]  今天主席剛才幫我們讀的經文
[00:04:41.400 --> 00:04:44.000]  他說在新的日期
[00:04:44.000 --> 00:04:50.000]  大樓市旺第二年九月二十四日
[00:04:50.000 --> 00:04:54.400]  他來呼籲當時的讀者
[00:04:54.400 --> 00:04:55.600]  都是今天的我們
[00:04:55.600 --> 00:04:59.400]  要懷著盼望來堅持
[00:04:59.400 --> 00:05:01.600]  這是我們今天講到的第一個重點
[00:05:01.600 --> 00:05:05.600]  是懷著盼望來堅持
[00:05:05.600 --> 00:05:09.400]  先知他過去一張的時間
[00:05:09.400 --> 00:05:14.200]  在大樓市旺第二年六月初日來宣告
[00:05:14.200 --> 00:05:20.600]  來呼籲當時的讀者要起來重建聖殿
[00:05:20.600 --> 00:05:23.000]  來質詢他們
[00:05:23.000 --> 00:05:26.600]  說你自己住在有天花板的房屋
[00:05:26.600 --> 00:05:29.800]  而聖殿仍然荒涼
[00:05:29.800 --> 00:05:37.400]  然後到上一段我講到的時間是七月二十一日
[00:05:37.400 --> 00:05:40.000]  但是他們在六月二十四日
[00:05:40.000 --> 00:05:45.200]  已經開始來進行重建的工作
[00:05:45.200 --> 00:05:51.000]  而我們今天選到的經文是九月二十四日
[00:05:51.000 --> 00:05:57.800]  由呼籲到現在三個月
[00:05:57.800 --> 00:06:03.200]  但由開工到現在大概兩個月的時間
[00:06:03.200 --> 00:06:07.800]  百姓終於回應神的激動
[00:06:07.800 --> 00:06:11.200]  不再坐困仇聖的起心肝
[00:06:11.200 --> 00:06:18.600]  來完成這個簡單的任務
[00:06:18.600 --> 00:06:20.600]  滿意為是小菜一碟
[00:06:20.600 --> 00:06:22.400]  a piece of cake
[00:06:22.400 --> 00:06:27.600]  重建聖殿工作再次受到嚴峻的考驗
[00:06:27.600 --> 00:06:30.000]  因為過往的失敗
[00:06:30.000 --> 00:06:32.600]  現實的困難
[00:06:32.600 --> 00:06:35.800]  那份無助和無力的感覺
[00:06:35.800 --> 00:06:38.800]  在百姓當中不斷蔓延
[00:06:38.800 --> 00:06:43.600]  熱情畢竟不能夠當飯吃
[00:06:43.600 --> 00:06:47.600]  也無法轉換為能量
[00:06:47.600 --> 00:06:49.600]  熱情但我肚子餓不行
[00:06:49.600 --> 00:06:52.800]  我有熱誠但是不飽
[00:06:52.800 --> 00:06:54.600]  打開米缸
[00:06:54.600 --> 00:07:01.600]  都不知道能否捱到農作物收成
[00:07:01.600 --> 00:07:06.600]  神是否真的會祝福我們的農作物和生畜呢
[00:07:06.600 --> 00:07:09.600]  在這個空窗期即有播種
[00:07:09.600 --> 00:07:11.600]  之前是收割
[00:07:11.600 --> 00:07:14.600]  去完之後就是七月是收割的時間
[00:07:14.600 --> 00:07:15.600]  收割是臉修
[00:07:15.600 --> 00:07:20.600]  因為之前他們不回應神的呼召
[00:07:20.600 --> 00:07:22.600]  以致神不祝福他們
[00:07:22.600 --> 00:07:28.600]  我做的農作物是臉修
[00:07:28.600 --> 00:07:31.600]  已經存貨不足
[00:07:31.600 --> 00:07:34.600]  現在播種
