
[00:00:00.000 --> 00:00:02.000]  我今天想和大家分享一個題目
[00:00:02.000 --> 00:00:05.000]  叫做「察現神的引導」
[00:00:05.000 --> 00:00:07.000]  我們教睦同工
[00:00:07.000 --> 00:00:09.000]  或者我以前在神學院的同學
[00:00:09.000 --> 00:00:11.000]  我們偶爾也會有聚集
[00:00:11.000 --> 00:00:13.000]  聚集的時候
[00:00:13.000 --> 00:00:15.000]  有時候會分享一下近況
[00:00:15.000 --> 00:00:17.000]  在離不開其中一個話題
[00:00:17.000 --> 00:00:19.000]  也會分享一下自己在幕會裏面的一些情況
[00:00:19.000 --> 00:00:21.000]  我記得有一次
[00:00:21.000 --> 00:00:23.000]  有位教睦同工
[00:00:23.000 --> 00:00:25.000]  他在教會裏面
[00:00:25.000 --> 00:00:26.000]  有一個這樣的
[00:00:26.000 --> 00:00:28.000]  遇見一個婦女
[00:00:28.000 --> 00:00:30.000]  他就這樣問
[00:00:30.000 --> 00:00:32.000]  因為他們已經結了婚
[00:00:32.000 --> 00:00:34.000]  當初
[00:00:34.000 --> 00:00:36.000]  後來他們結了婚
[00:00:36.000 --> 00:00:38.000]  當初我們兩夫妻走在一起的時候
[00:00:38.000 --> 00:00:40.000]  我們有神的心意
[00:00:40.000 --> 00:00:42.000]  有神的帶領讓我們走在一起
[00:00:42.000 --> 00:00:44.000]  所以一起結婚
[00:00:44.000 --> 00:00:46.000]  但為什麼後來我們離婚
[00:00:46.000 --> 00:00:48.000]  收場?不是喜歡神的心意嗎?
[00:00:48.000 --> 00:00:50.000]  為什麼會有收場?
[00:00:50.000 --> 00:00:52.000]  會不會是離開了呢?分開了呢?
[00:00:52.000 --> 00:00:55.000]  我不知道你怎樣回應他
[00:00:55.000 --> 00:00:57.000]  我又不說對方怎樣回應
[00:00:57.000 --> 00:00:59.000]  不過我在想
[00:00:59.000 --> 00:01:03.000]  當我收到這個case的時候
[00:01:03.000 --> 00:01:05.000]  我就在想
[00:01:05.000 --> 00:01:07.000]  有兩方面我需要去澄清一下
[00:01:07.000 --> 00:01:09.000]  了解一下
[00:01:09.000 --> 00:01:11.000]  因為在裏面有些很混亂的語句
[00:01:11.000 --> 00:01:13.000]  第一個很混亂的語句
[00:01:13.000 --> 00:01:15.000]  就是要澄清
[00:01:15.000 --> 00:01:17.000]  什麼是神的心意
[00:01:17.000 --> 00:01:19.000]  什麼是神的旨意
[00:01:19.000 --> 00:01:21.000]  這兩個詞語有沒有分別呢?
[00:01:21.000 --> 00:01:23.000]  又說是神的心意
[00:01:23.000 --> 00:01:25.000]  又說是神的旨意
[00:01:25.000 --> 00:01:27.000]  所以一定要澄清一下
[00:01:27.000 --> 00:01:29.000]  了解一下
[00:01:29.000 --> 00:01:31.000]  是什麼
[00:01:31.000 --> 00:01:33.000]  神的心意
[00:01:33.000 --> 00:01:35.000]  就是神的心願
[00:01:35.000 --> 00:01:37.000]  神想要什麼
[00:01:37.000 --> 00:01:39.000]  就是你想要什麼
[00:01:39.000 --> 00:01:41.000]  就是你的心願
