
[00:00:00.000 --> 00:00:05.120]  當今被稱爲世界火藥庫的其中一個地方
[00:00:05.120 --> 00:00:06.960]  就是巴勒斯坦
[00:00:06.960 --> 00:00:11.700]  最近在那裏發生很嚴重的衝突
[00:00:11.700 --> 00:00:14.840]  連續11天的轟炸
[00:00:14.840 --> 00:00:18.440]  造成了超過240人死亡
[00:00:18.440 --> 00:00:22.920]  終於在10天前停火
[00:00:22.920 --> 00:00:29.620]  但也造成數以千計的人失去家園
[00:00:29.620 --> 00:00:31.080]  流離失所
[00:00:31.080 --> 00:00:33.480]  在這幅圖
[00:00:33.480 --> 00:00:38.000]  我們可以看到以巴衝突的其中一個很重要因素
[00:00:38.000 --> 00:00:39.600]  就是領土之爭
[00:00:39.600 --> 00:00:44.080]  這幅圖是1946年的時候
[00:00:44.080 --> 00:00:49.420]  當時綠色的這大片就是巴勒斯坦人居住的地方
[00:00:49.420 --> 00:00:52.060]  在第二次世界大戰之後
[00:00:52.060 --> 00:00:54.400]  聯合國
[00:00:54.400 --> 00:00:56.440]  一衆西方國家
[00:00:56.440 --> 00:01:01.300]  很想幫以色列重新建立一個國家
[00:01:01.300 --> 00:01:03.420]  幫他們分地
[00:01:03.420 --> 00:01:08.100]  計劃的方案差不多是一人一半
[00:01:08.100 --> 00:01:10.140]  以色列和巴勒斯坦人
[00:01:10.140 --> 00:01:14.400]  但這個方案兩邊都不太接受
[00:01:14.400 --> 00:01:17.940]  結果不能夠成事
[00:01:17.940 --> 00:01:22.900]  結果在經過幾次的中東戰爭之後
[00:01:22.900 --> 00:01:26.540]  去到2010年的時候狀態是這樣的
[00:01:26.540 --> 00:01:29.740]  這些一點點的就是巴勒斯坦
[00:01:29.740 --> 00:01:31.380]  巴勒斯坦人居住的地方
[00:01:31.380 --> 00:01:33.820]  其他大片的都是以色列
[00:01:33.820 --> 00:01:35.660]  很明顯
[00:01:35.660 --> 00:01:38.540]  以巴衝突是一場不對等的
[00:01:38.540 --> 00:01:41.980]  實力懸殊的一場戰爭
[00:01:41.980 --> 00:01:46.900]  加上以色列有很強大的軍事力量
[00:01:46.900 --> 00:01:49.820]  背後也有美國來撐腰
[00:01:49.820 --> 00:01:52.540]  這就是今天的狀況
[00:01:52.540 --> 00:01:57.340]  那耶穌時代的巴勒斯坦又是怎樣呢?
[00:01:57.340 --> 00:02:00.260]  其實當時的局勢都是不穩定的
[00:02:00.260 --> 00:02:08.020]  當時是管理猶太和撒瑪利亞省的巡撫比拉多
[00:02:08.020 --> 00:02:13.540]  這個比拉多正正是後來將耶穌釘十字架的那一位
[00:02:13.540 --> 00:02:19.340]  這個比拉多其實與以色列人屢次發生衝突
[00:02:19.340 --> 00:02:22.700]  事過有一次比拉多將
[00:02:22.700 --> 00:02:30.940]  受有羅馬皇帝肖像的一幅軍旗掛在聖殿裏
[00:02:30.940 --> 00:02:35.700]  引起以色列人激烈的反應
[00:02:35.700 --> 00:02:41.740]  他也試過挪用聖殿裏的銀庫的錢
[00:02:41.740 --> 00:02:45.900]  來建造一條引水道
[00:02:45.900 --> 00:02:48.980]  將水引入耶路撒冷
[00:02:48.980 --> 00:02:53.020]  當時也引起以色列人激烈的示威抗議
[00:02:53.020 --> 00:02:54.700]  結果流血收場
[00:02:54.700 --> 00:02:58.980]  比拉多的軍隊殺了很多平民百姓
[00:02:58.980 --> 00:03:02.140]  而這件事也有學者認爲
[00:03:02.140 --> 00:03:06.700]  這件事就是《路加夫音》十三章一節所講的
[00:03:06.700 --> 00:03:12.460]  比拉多殺害在聖殿裏崇拜的加里尼人
[00:03:12.460 --> 00:03:16.140]  當時有人向耶穌提起這件事
[00:03:16.140 --> 00:03:19.300]  耶穌在講解這件事時
[00:03:19.300 --> 00:03:23.660]  藉着這件事教導以色列人
[00:03:23.660 --> 00:03:25.100]  如果這樣去看
[00:03:25.100 --> 00:03:28.500]  當時耶穌是一個KOL
[00:03:28.500 --> 00:03:34.100]  他也會在講道時談論時政
[00:03:34.100 --> 00:03:35.860]  有了這個背景
[00:03:35.860 --> 00:03:39.940]  我們就更加明白當時的門徒
[00:03:39.940 --> 00:03:44.060]  或者當時跟隨耶穌的人
[00:03:44.060 --> 00:03:48.020]  都是處於一個動盪不安的時代
[00:03:48.020 --> 00:03:49.780]  跟今天的情況有點相似
[00:03:49.780 --> 00:03:52.300]  所以我今天也想借着這段經文
[00:03:52.300 --> 00:03:55.060]  來看看我們在這個動盪不安的日子
[00:03:55.060 --> 00:03:57.340]  我們如何去信靠實
[00:03:57.340 --> 00:04:02.460]  首先我想跟大家重溫一下《馬太夫音》的結構
[00:04:02.460 --> 00:04:04.860]  《馬太夫音》有一個特色
