
[00:00:00.000 --> 00:00:05.000]  剛才主席也有提到今天是中國人的農曆新年的年初四
[00:00:05.000 --> 00:00:10.000]  主席剛才已經提到今天是大連農初四
[00:00:10.000 --> 00:00:13.000]  所以在這裡願意臣來祝福在座每一位
[00:00:13.000 --> 00:00:16.000]  祝福教會讓你們主恩常在
[00:00:16.000 --> 00:00:20.000]  在這裡祝福大家讓主恩常在
[00:00:20.000 --> 00:00:25.000]  今早和大家看一段經文是約書雅記第三章
[00:00:25.000 --> 00:00:26.000]  剛才弟兄和我們讀出
[00:00:26.000 --> 00:00:30.000]  今天和大家看一段經文是約書雅記第三章
[00:00:30.000 --> 00:00:31.000]  弟兄剛才已經讀出來了
[00:00:31.000 --> 00:00:37.000]  是講到約書雅帶領以色列人來到去過約旦河的故事
[00:00:37.000 --> 00:00:41.000]  就是講約書雅帶領以色列人過約旦河的故事
[00:00:41.000 --> 00:00:43.000]  在未進入第三章之前
[00:00:43.000 --> 00:00:47.000]  讓我來到去簡單的交代一下背景
[00:00:47.000 --> 00:00:49.000]  在沒有來到第三章之前
[00:00:49.000 --> 00:00:51.000]  讓我先簡單介紹一下背景
[00:00:51.000 --> 00:00:56.000]  自從神直進摩西拯救以色列人離開埃及這個圍爐之地
[00:00:56.000 --> 00:01:02.000]  就是說自從神去到摩西帶領以色列人離開埃及這個圍爐之地
[00:01:02.000 --> 00:01:06.000]  摩西就一直帶領以色列人在曠野裡面來到去生活
[00:01:06.000 --> 00:01:08.000]  一共有四十年之多
[00:01:08.000 --> 00:01:13.000]  摩西帶領以色列人在曠野生活有四十年之久
[00:01:13.000 --> 00:01:15.000]  現在摩西死了
[00:01:15.000 --> 00:01:17.000]  現在摩西已經過世了
[00:01:17.000 --> 00:01:22.000]  神就興起摩西的助手約書雅來到去帶領以色列人
[00:01:22.000 --> 00:01:28.000]  神現在興起摩西的助手約書雅帶領以色列人
[00:01:28.000 --> 00:01:37.000]  讓約書雅來到去帶領以色列人過約旦河進入神為他們所預備的迦南美地
[00:01:37.000 --> 00:01:42.000]  約書雅帶領以色列人過約旦河進入迦南美地
[00:01:42.000 --> 00:01:47.000]  過河對以色列人來說是一個重大的事情
[00:01:47.000 --> 00:01:50.000]  過河對以色列人來說是一個重大的事情
[00:01:50.000 --> 00:01:52.000]  因為會帶來很多的改變
[00:01:52.000 --> 00:01:54.000]  因為會帶來很多的改變
[00:01:54.000 --> 00:01:56.000]  也代表離開了一個
[00:01:56.000 --> 00:02:01.000]  縱使不是很理想但是已經習慣了很久的生活的地方
[00:02:01.000 --> 00:02:06.000]  離開一個即使不是太理想但是生活已經很久的地方
[00:02:06.000 --> 00:02:09.000]  同時也代表著進入一個新的旅程
[00:02:09.000 --> 00:02:12.000]  同時也代表著進入一個新的旅程
[00:02:12.000 --> 00:02:14.000]  展開一個新的開始
[00:02:14.000 --> 00:02:15.000]  展開一個新的開始
[00:02:15.000 --> 00:02:17.000]  在新的地方過新的生活
[00:02:17.000 --> 00:02:20.000]  在新的地方過新的生活
[00:02:20.000 --> 00:02:24.000]  相信將會帶來的經歷是一定不會少
[00:02:24.000 --> 00:02:27.000]  當然帶來的經歷一定不會少
[00:02:27.000 --> 00:02:31.000]  其中最明顯的改變就是在食物方面的改變
[00:02:31.000 --> 00:02:34.000]  其中最明顯的改變就是食物的改變
[00:02:34.000 --> 00:02:37.000]  過河之前他們每天都喫什麼
[00:02:37.000 --> 00:02:40.000]  過河之前他們每天都喫什麼
[00:02:40.000 --> 00:02:43.000]  麻辣 天天都喫麻辣 餐餐都喫麻辣
[00:02:43.000 --> 00:02:46.000]  天天都喫麻辣 餐餐都喫麻辣
[00:02:46.000 --> 00:02:50.000]  但同時過河也代表著一些深層的改變
[00:02:50.000 --> 00:02:53.000]  過河也代表著一些深層的改變
[00:02:53.000 --> 00:02:57.000]  象徵著脫去過去習以為常的生活方式
[00:02:57.000 --> 00:03:01.000]  脫離過去習以為常的生活方式
[00:03:01.000 --> 00:03:04.000]  需要克服內心恐懼的一些心態
[00:03:04.000 --> 00:03:07.000]  需要克服內心恐懼的一些心態
[00:03:07.000 --> 00:03:12.000]  因為畢竟過到河的另外一邊住滿了很多族裔的人
[00:03:12.000 --> 00:03:14.000]  他們又高又大
[00:03:14.000 --> 00:03:20.000]  在河的對岸又住著很多民族 又高又大
[00:03:20.000 --> 00:03:25.000]  因此神就吩咐約書亞尼特去帶領儀式的人
[00:03:25.000 --> 00:03:27.000]  過河的時候要剛強壯膽
[00:03:27.000 --> 00:03:30.000]  因此神就吩咐約書亞尼特去帶領儀式的人
[00:03:30.000 --> 00:03:33.000]  過河的時候要剛強壯膽
