
[00:00:00.000 --> 00:00:05.000]  前一陣子讀到一本最近在基督教出版界非常暢銷的一本書
[00:00:05.000 --> 00:00:06.400]  書名很有意思
[00:00:06.400 --> 00:00:08.900]  就叫做《Christian Atheist》
[00:00:08.900 --> 00:00:11.200]  基督徒無神論者
[00:00:11.200 --> 00:00:12.200]  很奇怪
[00:00:12.200 --> 00:00:15.800]  基督徒跟無神論者這兩個詞是互相矛盾的
[00:00:15.800 --> 00:00:17.800]  怎麼會放在一起呢
[00:00:17.800 --> 00:00:20.600]  其實這本書的作者的意思是
[00:00:20.600 --> 00:00:22.200]  今天有很多的基督徒
[00:00:22.200 --> 00:00:25.000]  雖然自己宣稱是基督徒
[00:00:25.000 --> 00:00:26.800]  但在每天的生活當中
[00:00:26.800 --> 00:00:30.400]  活得好像是個無神論者一樣
[00:00:30.400 --> 00:00:32.400]  很多時候我們的口裏面
[00:00:32.400 --> 00:00:33.800]  稱我們是基督徒
[00:00:33.800 --> 00:00:35.200]  稱耶穌是主
[00:00:35.200 --> 00:00:39.600]  祂坐在寶座上掌管宇宙萬有
[00:00:39.600 --> 00:00:42.400]  可是每當在困難
[00:00:42.400 --> 00:00:44.800]  在苦難臨到的時候
[00:00:44.800 --> 00:00:48.800]  我們的心中仍然充滿了憂慮與恐懼
[00:00:48.800 --> 00:00:53.200]  就好像在我們生命當中沒有神一樣
[00:00:53.200 --> 00:00:54.600]  你知道當我讀那本書的時候
[00:00:54.600 --> 00:00:57.800]  好幾次我的心被震撼
[00:00:57.800 --> 00:01:01.400]  因爲我發現我們經常就不知不覺地
[00:01:01.400 --> 00:01:04.400]  活在這樣一種光景當中
[00:01:04.400 --> 00:01:08.800]  其實也不是我們不相信神的存在
[00:01:08.800 --> 00:01:11.600]  不相信神的真實跟全能
[00:01:11.600 --> 00:01:13.200]  但在實際的生活當中
[00:01:13.200 --> 00:01:19.400]  我們就常常沒有活出這種信仰生活的實質
[00:01:19.400 --> 00:01:24.000]  這是爲什麼上禮拜我們講到羅馬書第十二章第一節的時候
[00:01:24.000 --> 00:01:26.800]  保羅說我勸你們
[00:01:26.800 --> 00:01:29.000]  以神的慈悲勸你們
