
[00:00:00.000 --> 00:00:07.000]  我們繼續看上行詩第132篇
[00:00:07.000 --> 00:00:10.000]  上行詩一共有15首
[00:00:10.000 --> 00:00:15.000]  由詩篇120篇到134篇
[00:00:15.000 --> 00:00:18.000]  在這15篇的詩篇當中
[00:00:18.000 --> 00:00:21.000]  132篇是最長的
[00:00:21.000 --> 00:00:24.000]  一共有18節
[00:00:24.000 --> 00:00:27.000]  其他的上行詩有幾篇
[00:00:27.000 --> 00:00:30.000]  都是只有3節聖經
[00:00:30.000 --> 00:00:34.000]  例如上星期的131篇
[00:00:34.000 --> 00:00:37.000]  和下星期的2篇詩篇
[00:00:37.000 --> 00:00:40.000]  都是只有3節經文
[00:00:40.000 --> 00:00:44.000]  這篇詩在現中版給了一個標題
[00:00:44.000 --> 00:00:47.000]  叫做「重讚聖殿」
[00:00:47.000 --> 00:00:49.000]  不過我們要記得
[00:00:49.000 --> 00:00:52.000]  所有聖經裡面的標題
[00:00:52.000 --> 00:00:55.000]  是後人加上去的
[00:00:55.000 --> 00:00:58.000]  不算是聖經
[00:00:58.000 --> 00:01:02.000]  不要以為標題都是上主的默示
[00:01:02.000 --> 00:01:03.000]  聖經是上主的默示
[00:01:03.000 --> 00:01:05.000]  標題就未必是
[00:01:05.000 --> 00:01:08.000]  有些標題對我們是有幫助的
[00:01:08.000 --> 00:01:13.000]  讓我們很容易記得一段經文的大致內容
[00:01:13.000 --> 00:01:17.000]  但今天這個標題對我們就沒什麼幫助
[00:01:17.000 --> 00:01:21.000]  因為全篇的詩篇提到錫安
[00:01:21.000 --> 00:01:26.000]  提到君王是比提聖殿多
[00:01:26.000 --> 00:01:29.000]  雖然聖殿是坐落在錫安
[00:01:29.000 --> 00:01:31.000]  但嚴格來說
[00:01:31.000 --> 00:01:34.000]  其實全篇詩都沒有提到聖殿
[00:01:34.000 --> 00:01:39.000]  只有在第8節提到聖墨
[00:01:39.000 --> 00:01:44.000]  在聖殿未曾建造之前的帳幕
[00:01:44.000 --> 00:01:47.000]  所以我們今天的主題是角度
[00:01:47.000 --> 00:01:50.000]  不是觀點與角度的角度
[00:01:50.000 --> 00:01:52.000]  而是國家的國
[00:01:52.000 --> 00:01:55.000]  我們很熟悉的主禱文最後一句話
[00:01:55.000 --> 00:01:57.000]  因為國道權兵榮耀
[00:01:57.000 --> 00:02:00.000]  全是你的直到永遠
[00:02:00.000 --> 00:02:02.000]  那裡所提到的角度
[00:02:02.000 --> 00:02:05.000]  就是我所講的主題
[00:02:05.000 --> 00:02:07.000]  國語比較好一點
[00:02:07.000 --> 00:02:09.000]  果都不是嚼都
[00:02:09.000 --> 00:02:11.000]  清楚一點
[00:02:11.000 --> 00:02:13.000]  角度這個字眼
[00:02:13.000 --> 00:02:16.000]  在今天的詩篇最後一節經文出現
[00:02:16.000 --> 00:02:17.000]  18節那裡說
[00:02:17.000 --> 00:02:19.000]  他的角度要昌盛
[00:02:19.000 --> 00:02:22.000]  不過這只是意義
[00:02:22.000 --> 00:02:25.000]  接近原文的新譯本
[00:02:25.000 --> 00:02:27.000]  那裡不是譯角度
[00:02:27.000 --> 00:02:29.000]  將它譯成
[00:02:29.000 --> 00:02:32.000]  他的冠冕必在他頭上發光
[00:02:32.000 --> 00:02:35.000]  他的冠冕必在他頭上發光
[00:02:35.000 --> 00:02:37.000]  這個翻譯讓我們看到
[00:02:37.000 --> 00:02:41.000]  原文是用一些圖像
[00:02:41.000 --> 00:02:43.000]  用冠冕發光
[00:02:43.000 --> 00:02:45.000]  來表達一些意念
[00:02:45.000 --> 00:02:49.000]  這篇詩的結構
[00:02:49.000 --> 00:02:52.000]  其實可以分成兩個大段
[00:02:52.000 --> 00:02:55.000]  每一個大段裡有兩個小段落
[00:02:55.000 --> 00:02:58.000]  一共可以分成四段
[00:02:58.000 --> 00:03:02.000]  而這四段經文是互相輝映的
[00:03:02.000 --> 00:03:05.000]  第一個大段是一至九節
[00:03:05.000 --> 00:03:08.000]  剛剛好中間分開就可以了
[00:03:08.000 --> 00:03:10.000]  第二個大段是十節到十八節
[00:03:10.000 --> 00:03:13.000]  在第一節到第九節的經文裡
[00:03:13.000 --> 00:03:15.000]  我們可以看到
[00:03:15.000 --> 00:03:19.000]  第一節到第五節是說大衛的誓言
[00:03:19.000 --> 00:03:24.000]  第六節到第九節是誓言實現了
[00:03:24.000 --> 00:03:27.000]  而在十節到十八節的經文裡
[00:03:27.000 --> 00:03:32.000]  十節到十二節是上主對大衛的誓言
[00:03:32.000 --> 00:03:35.000]  而在十三節到十八節
[00:03:35.000 --> 00:03:38.000]  可以說是預告上主的誓言
[00:03:38.000 --> 00:03:41.000]  是一定會實現的
[00:03:41.000 --> 00:03:48.000]  詩人一路上山到聖殿的所在地
[00:03:48.000 --> 00:03:51.000]  當他看到聖殿的時候
[00:03:51.000 --> 00:03:55.000]  就使他聯想到跟聖殿有關的事
[00:03:55.000 --> 00:03:58.000]  因而想到上帝的角度
[00:03:58.000 --> 00:04:01.000]  讓我們一起思想這篇詩的內容
[00:04:01.000 --> 00:04:06.000]  第一節到第五節是說大衛向上主發誓
[00:04:06.000 --> 00:04:10.000]  要為上帝找一個居所
[00:04:10.000 --> 00:04:13.000]  在雪梨很多人都想找居所
[00:04:13.000 --> 00:04:16.000]  居所就是這個意思
[00:04:16.000 --> 00:04:19.000]  上帝住的地方就是聖殿
[00:04:19.000 --> 00:04:24.000]  然後第六節就提到他們找到藥櫃
[00:04:24.000 --> 00:04:28.000]  要了解聖殿和藥櫃的關係
[00:04:28.000 --> 00:04:31.000]  和為什麼大衛要找藥櫃
[00:04:31.000 --> 00:04:35.000]  我們一定要了解一些歷史背景
[00:04:35.000 --> 00:04:38.000]  在聖經裡出拉及記
[00:04:38.000 --> 00:04:41.000]  我們看到上主將以色列人
[00:04:41.000 --> 00:04:43.000]  由埃及救了出來
[00:04:43.000 --> 00:04:45.000]  使他們離開埃及
[00:04:45.000 --> 00:04:47.000]  當他們離開埃及之後
[00:04:47.000 --> 00:04:51.000]  上帝帶領他們去到西乃山
[00:04:51.000 --> 00:04:54.000]  在那裡上主就向摩西顯現
[00:04:54.000 --> 00:04:57.000]  並且指示他們
[00:04:57.000 --> 00:05:01.000]  要怎樣來敬拜上帝
[00:05:01.000 --> 00:05:04.000]  從出拉及記二十五章開始
[00:05:04.000 --> 00:05:07.000]  我們就看到上主吩咐摩西
[00:05:07.000 --> 00:05:12.000]  要建造一個敬拜上主的帳幕
[00:05:12.000 --> 00:05:16.000]  那裡就是第八節提到的聖幕
[00:05:16.000 --> 00:05:19.000]  聖幕裡面就有一些家具
[00:05:19.000 --> 00:05:24.000]  裡面其中最重要的可以說是藥櫃
[00:05:24.000 --> 00:05:28.000]  因為藥櫃上面的詩恩座
[00:05:28.000 --> 00:05:31.000]  是象徵上主的同在
[00:05:31.000 --> 00:05:34.000]  或者我給大家看一幅圖片
[00:05:34.000 --> 00:05:38.000]  藥櫃大約是這個樣子
[00:05:38.000 --> 00:05:42.000]  它是一個立體長方形的盒子
[00:05:42.000 --> 00:05:45.000]  是用木製造的
[00:05:45.000 --> 00:05:47.000]  木外面是包金
[00:05:47.000 --> 00:05:50.000]  我不知道以前的科技是怎樣
[00:05:50.000 --> 00:05:54.000]  可能是將金片包上去
[00:05:54.000 --> 00:05:59.000]  藥櫃裡面就裝了兩件很重要的東西
[00:05:59.000 --> 00:06:05.000]  第一就是有兩塊刻了十戒的石板
[00:06:05.000 --> 00:06:10.000]  石板上面還刻了上帝給以色列人遵守的律法
[00:06:10.000 --> 00:06:16.000]  上帝和以色列人建立關係是通過納藥
[00:06:16.000 --> 00:06:19.000]  第二樣東西就是在藥櫃裡面
[00:06:19.000 --> 00:06:25.000]  還有一個裝滿了瑪拿的金冠
[00:06:25.000 --> 00:06:31.000]  就是要以色列人記住上帝慈愛的公認
[00:06:31.000 --> 00:06:36.000]  還有人的生存不是僅僅靠食物
[00:06:36.000 --> 00:06:39.000]  而是靠上主所說的每一句話
[00:06:39.000 --> 00:06:42.000]  藥櫃雖然是重要
[00:06:42.000 --> 00:06:46.000]  但是象徵上主的同在
[00:06:46.000 --> 00:06:48.000]  就不是藥櫃
[00:06:48.000 --> 00:06:52.000]  而是藥櫃上面的蓋
