
[00:00:00.000 --> 00:00:05.000]  在此祝大家2023年前景光明一片
[00:00:05.000 --> 00:00:07.000]  好不好?
[00:00:07.000 --> 00:00:10.000]  雖然我們不知道周圍的環境會怎樣
[00:00:10.000 --> 00:00:15.000]  經濟各方面我們都預料有很多的問題
[00:00:15.000 --> 00:00:20.000]  但我們知道最重要的就是神給我們行走人生的道路
[00:00:20.000 --> 00:00:22.000]  跟隨主
[00:00:22.000 --> 00:00:24.000]  我們能夠有真正的光明
[00:00:24.000 --> 00:00:28.000]  更加希望大家身心靈力量增添
[00:00:28.000 --> 00:00:32.000]  我們在今年第一天的主日
[00:00:32.000 --> 00:00:36.000]  我們一起思想盧家芳第一章
[00:00:36.000 --> 00:00:39.000]  這是一個新的開始
[00:00:39.000 --> 00:00:44.000]  今天的題目是「光明的宣告與實現」
[00:00:44.000 --> 00:00:46.000]  「光明的宣告與實現」
[00:00:46.000 --> 00:00:49.000]  這一章可以說是一個光明的宣告
[00:00:49.000 --> 00:00:52.000]  透過好幾個當中的記載
[00:00:52.000 --> 00:00:58.000]  來告訴當時的一些人物
[00:00:58.000 --> 00:01:00.000]  我們今天要看的
[00:01:00.000 --> 00:01:03.000]  讓我們都能夠同樣地接受這個宣告
[00:01:03.000 --> 00:01:07.000]  但同樣的寶貴就是神不單止宣告也實現
[00:01:07.000 --> 00:01:10.000]  在上個星期我們是聖誕的主日
[00:01:10.000 --> 00:01:13.000]  我們看過了盧家芳的第二章
[00:01:13.000 --> 00:01:15.000]  如果大家還記得
[00:01:15.000 --> 00:01:17.000]  這就是在《基本方書》當中
[00:01:17.000 --> 00:01:24.000]  盧家去記載耶穌降生在馬槽的一個事件
[00:01:24.000 --> 00:01:27.000]  一個歷史的記載
[00:01:27.000 --> 00:01:28.000]  為什麼呢?
[00:01:28.000 --> 00:01:29.000]  因為盧家的特點
[00:01:29.000 --> 00:01:33.000]  就是他按著事情發生的次序記載
[00:01:33.000 --> 00:01:35.000]  而盧家是一位醫生
[00:01:35.000 --> 00:01:37.000]  所以很多時候用一些醫學的名字
[00:01:37.000 --> 00:01:44.000]  用一些關乎醫學的常理
[00:01:44.000 --> 00:01:47.000]  同時也是記載耶穌超越這些
[00:01:47.000 --> 00:01:49.000]  來獻出祂的神蹟
[00:01:49.000 --> 00:01:54.000]  神是那位掌管大自然的神
[00:01:54.000 --> 00:01:57.000]  不單止是大自然的上帝
