
[00:00:00.000 --> 00:00:04.320]  我們坐在這裡的人,未必每個人都有機會聽過我以前
[00:00:04.320 --> 00:00:07.680]  我很多在不同的場合裡面都有講過
[00:00:07.680 --> 00:00:09.200]  如何去明白福音書
[00:00:09.200 --> 00:00:10.160]  我不知道
[00:00:10.160 --> 00:00:11.760]  我想這裡一半一半
[00:00:11.760 --> 00:00:14.080]  一半人聽過我講,一半人未聽過
[00:00:14.080 --> 00:00:16.080]  所以我想就算聽過我那班
[00:00:16.080 --> 00:00:18.160]  都應該可以去複雜一點
[00:00:18.160 --> 00:00:20.320]  就是去溫習一點
[00:00:20.320 --> 00:00:23.040]  所以我們回五分鐘去溫習一下
[00:00:23.040 --> 00:00:26.320]  接著我們先進入耶穌基督的教報
[00:00:26.320 --> 00:00:27.680]  OK
[00:00:27.680 --> 00:00:30.480]  當我們要去看馬太福音的時候
[00:00:30.480 --> 00:00:34.080]  我們要問我們應該怎樣去看馬太福音
[00:00:34.080 --> 00:00:36.800]  如果你要知道怎樣去看馬太福音的時候
[00:00:36.800 --> 00:00:38.800]  你一定要知道一件事
[00:00:38.800 --> 00:00:42.800]  馬太福音的文學題材是什麼
[00:00:42.800 --> 00:00:45.520]  什麼是文學題材
[00:00:45.520 --> 00:00:47.360]  我有給你四個選擇
[00:00:47.360 --> 00:00:48.240]  四個可能性
[00:00:48.240 --> 00:00:49.280]  第一
[00:00:49.280 --> 00:00:53.600]  有人說福音書四福音是神話故事
[00:00:53.600 --> 00:00:54.880]  因為裡面太多神蹟了
[00:00:54.880 --> 00:00:56.080]  不可能發生的
[00:00:56.080 --> 00:00:57.600]  今天沒有辦法重複的神蹟
[00:00:57.600 --> 00:01:00.640]  於是他們只是猶太人的神話故事
[00:01:00.640 --> 00:01:03.200]  當然這個是不信主的人所說的
[00:01:03.200 --> 00:01:04.000]  不是的
[00:01:04.000 --> 00:01:04.720]  第二
[00:01:04.720 --> 00:01:08.480]  有人說福音書是道德的教導
[00:01:08.480 --> 00:01:11.920]  沒錯福音書裡面有很多耶穌講的道德教導
[00:01:11.920 --> 00:01:16.800]  在馬太福音裡面有耶穌在登山部分上做的道德教導
[00:01:16.800 --> 00:01:21.600]  但是你說所有福音書都只是道德教導
[00:01:21.600 --> 00:01:26.640]  那你就真的不是很完全的回答
[00:01:26.640 --> 00:01:27.440]  第三
[00:01:27.440 --> 00:01:30.000]  有人說福音書是人生哲理
[00:01:30.000 --> 00:01:31.040]  現在很流行的
[00:01:31.040 --> 00:01:35.120]  人們近幾年就是耶穌教你怎樣做領袖
[00:01:35.120 --> 00:01:36.880]  將耶穌變成領袖學
