
[00:00:00.000 --> 00:00:02.000]  各位朋友午安
[00:00:02.000 --> 00:00:05.000]  在講到此之前我們再一次低頭禱告
[00:00:05.000 --> 00:00:07.000]  參加主日騷我們感謝你
[00:00:07.000 --> 00:00:09.000]  讓我們今天早上和回來教會
[00:00:09.000 --> 00:00:11.000]  我們還是參與敬拜
[00:00:11.000 --> 00:00:14.000]  獻情我們最好的給你
[00:00:14.000 --> 00:00:17.000]  上帝我們都在這個將臨期的時間
[00:00:17.000 --> 00:00:21.000]  都求主你去給我們那份平安的心
[00:00:21.000 --> 00:00:24.000]  讓你的聖經你的話語
[00:00:24.000 --> 00:00:26.000]  去給我們有盼望
[00:00:26.000 --> 00:00:29.000]  幫助我們今天早上在敬拜當中
[00:00:29.000 --> 00:00:31.000]  好的預備我們自己
[00:00:31.000 --> 00:00:34.000]  準備平安夜聖誕的來臨
[00:00:34.000 --> 00:00:36.000]  奉耶穌基督的名字禱告
[00:00:36.000 --> 00:00:37.000]  下門
[00:00:37.000 --> 00:00:41.000]  今天的題目就是將臨你期望什麼
[00:00:41.000 --> 00:00:44.000]  新的一年很快就來到了
[00:00:44.000 --> 00:00:46.000]  看看我們年尾
[00:00:46.000 --> 00:00:49.000]  或者今天應該是今天
[00:00:49.000 --> 00:00:50.000]  是冬至
[00:00:50.000 --> 00:00:53.000]  我們一年的將盡當中
[00:00:53.000 --> 00:00:56.000]  我們在新的一年有什麼的盼望
[00:00:56.000 --> 00:00:57.000]  大家做了冬沒有
[00:00:57.000 --> 00:00:59.000]  有些就好像
[00:00:59.000 --> 00:01:01.000]  是不是今晚才吃飯
[00:01:01.000 --> 00:01:03.000]  應該很多時候我們都會
[00:01:03.000 --> 00:01:06.000]  很早就做這個冬吃這個飯
[00:01:06.000 --> 00:01:07.000]  我小時候
[00:01:07.000 --> 00:01:12.000]  做冬我媽媽就會一早就去街市買菜
[00:01:12.000 --> 00:01:14.000]  準備很多的飯菜
[00:01:14.000 --> 00:01:15.000]  一日的爐碌
[00:01:15.000 --> 00:01:17.000]  這個新爐
[00:01:17.000 --> 00:01:20.000]  都為了晚上可以一家人
[00:01:20.000 --> 00:01:22.000]  可以在家裡吃這一餐
[00:01:22.000 --> 00:01:23.000]  一餐的大餐
[00:01:23.000 --> 00:01:25.000]  好好味的
[00:01:25.000 --> 00:01:26.000]  我自己記憶當中
[00:01:26.000 --> 00:01:28.000]  每年我自己都很期待
[00:01:28.000 --> 00:01:30.000]  這一餐的大餐
[00:01:30.000 --> 00:01:31.000]  過了冬之後
[00:01:31.000 --> 00:01:35.000]  接著就是聖誕平安夜
[00:01:35.000 --> 00:01:37.000]  同樣都是很期待的
[00:01:37.000 --> 00:01:38.000]  上學
[00:01:38.000 --> 00:01:39.000]  我不知道現在是不是
[00:01:39.000 --> 00:01:42.000]  上學的時候就是考試了
[00:01:42.000 --> 00:01:44.000]  終於考試放假了
[00:01:44.000 --> 00:01:47.000]  上班就做了一年
[00:01:47.000 --> 00:01:49.000]  有年尾的商量
[00:01:49.000 --> 00:01:51.000]  或者昨晚我才知道
[00:01:51.000 --> 00:01:54.000]  原來今年請三天假
[00:01:54.000 --> 00:01:56.000]  有九天的大假
[00:01:56.000 --> 00:01:57.000]  很厲害
[00:01:57.000 --> 00:01:58.000]  很開心
[00:01:58.000 --> 00:01:59.000]  很期待
[00:01:59.000 --> 00:02:03.000]  一個可以放鬆輕鬆的時間
[00:02:03.000 --> 00:02:06.000]  聖誕之前四個星期
[00:02:06.000 --> 00:02:08.000]  在教會年曆當中
[00:02:08.000 --> 00:02:10.000]  是一個很重要的節期
[00:02:10.000 --> 00:02:12.000]  叫做章林期
[00:02:12.000 --> 00:02:15.000]  大家知不知道章林期是什麼意思
[00:02:15.000 --> 00:02:17.000]  剛才其實一直唱詩歌的時候
[00:02:17.000 --> 00:02:18.000]  如果你留意
[00:02:18.000 --> 00:02:21.000]  在螢幕上面
[00:02:21.000 --> 00:02:24.000]  你都看到有四支蠟燭點著
[00:02:24.000 --> 00:02:27.000]  章林期有四個星期
[00:02:27.000 --> 00:02:29.000]  到了第五支蠟燭
[00:02:29.000 --> 00:02:31.000]  什麼時候點起呢
[00:02:31.000 --> 00:02:34.000]  就是當主耶穌出生的時候
[00:02:34.000 --> 00:02:35.000]  就會點起
[00:02:35.000 --> 00:02:38.000]  在古時的夜晚
[00:02:38.000 --> 00:02:40.000]  沒有燈
[00:02:40.000 --> 00:02:42.000]  就會很昏暗
[00:02:42.000 --> 00:02:45.000]  加上天寒地凍
[00:02:45.000 --> 00:02:47.000]  那個氛圍
[00:02:47.000 --> 00:02:51.000]  到處都覺得很冷清
