
[00:00:00.000 --> 00:00:04.900]  在我們今天講的這個題目 我很想大家看到
[00:00:04.900 --> 00:00:09.300]  其實我們很需要一起學習 不要忘記
[00:00:09.300 --> 00:00:12.500]  其實教會的使命是甚麼呢 教會的使命
[00:00:12.500 --> 00:00:15.700]  就不是講福堂的使命而以
[00:00:15.700 --> 00:00:18.300]  教會的使命是普世聖
[00:00:18.300 --> 00:00:22.500]  我們都是根據聖經 是來自耶穌基督
[00:00:22.500 --> 00:00:27.300]  那就先和大家去看看一些圖片
[00:00:27.300 --> 00:00:33.500]  首先一看見這張圖片 你會認得到是甚麼來的
[00:00:33.500 --> 00:00:39.500]  是FedEx 聯邦快遞
[00:00:39.500 --> 00:00:46.000]  他們的一個所謂企業的使命宣言就是這四個字
[00:00:46.000 --> 00:00:51.700]  使命必達 使命必達 一定是可以達致的
[00:00:51.700 --> 00:00:53.300]  他們的使命是甚麼呢
[00:00:53.300 --> 00:00:57.000]  就是要提供及時和可靠的快遞服務
[00:00:57.000 --> 00:01:02.000]  他們的紫色的標誌就是代表著承諾
[00:01:02.000 --> 00:01:04.200]  意思就是不論付出任何代價
[00:01:04.200 --> 00:01:07.600]  都要確保客戶對公司的服務 稱心滿意
[00:01:07.600 --> 00:01:12.800]  紫色的承諾使命必達 要克服一切的困難
[00:01:12.800 --> 00:01:16.000]  這個使命就不只是那個總裁
[00:01:16.000 --> 00:01:18.000]  不只是那個董事局
[00:01:18.000 --> 00:01:22.200]  是整個機構 他們的企業每一個員工
[00:01:22.200 --> 00:01:25.500]  無論是管理層 中層 或者是前線
[00:01:25.500 --> 00:01:29.500]  每一個員工都有這個體健 去擁抱這個使命
[00:01:29.500 --> 00:01:32.500]  這個使命才能夠實踐的 是不是
[00:01:32.500 --> 00:01:35.500]  所以他們在他們的廣告裏面
[00:01:35.500 --> 00:01:38.500]  就是講到救護車司機看到前面大塞車
[00:01:38.500 --> 00:01:40.500]  為了救人的緣故
[00:01:40.500 --> 00:01:44.500]  那個救護車的司機立即將那個病人抱起
[00:01:44.500 --> 00:01:49.500]  跑去醫院 免得這個病人耽誤了時間來診治
[00:01:49.500 --> 00:01:53.500]  我們今天頂姐妹有沒有這一份的體健呢
[00:01:53.500 --> 00:01:57.500]  教會的使命不是廣福堂的使命
[00:01:57.500 --> 00:02:00.500]  不是某某堂會的使命 是全世界
[00:02:00.500 --> 00:02:05.500]  地上的教會應該就是 寄回主耶穌臨升天之前
[00:02:05.500 --> 00:02:08.500]  交付給那班的門徒
[00:02:08.500 --> 00:02:10.500]  究竟是一個什麼使命呢
[00:02:10.500 --> 00:02:14.500]  我們國內都有一個 近年興起的
[00:02:14.500 --> 00:02:17.500]  這個是什麼 順豐
[00:02:17.500 --> 00:02:19.500]  你今天網購
[00:02:19.500 --> 00:02:23.500]  順豐明天將那個貨品送到你門口
[00:02:23.500 --> 00:02:25.500]  那個服務快到不知得了
[00:02:25.500 --> 00:02:27.500]  所以我們今天看見
[00:02:27.500 --> 00:02:31.500]  每一個的 如果是這個世界
[00:02:31.500 --> 00:02:34.500]  這個的企業 他們都有這種的文化
[00:02:34.500 --> 00:02:38.500]  就是他們知道願意去擁抱一件事情
[00:02:38.500 --> 00:02:40.500]  他們很實幹
[00:02:40.500 --> 00:02:43.500]  我們今天教會更加不要忘記
