
[00:00:00.000 --> 00:00:03.000]  靈性天與地
[00:00:03.000 --> 00:00:06.000]  是否挺好的一個名字
[00:00:06.000 --> 00:00:08.000]  大家不知道說甚麼
[00:00:08.000 --> 00:00:10.000]  所以你們要聽下去
[00:00:10.000 --> 00:00:12.000]  有些時代感 天與地
[00:00:12.000 --> 00:00:18.000]  有些基督教的氣氛 靈性
[00:00:18.000 --> 00:00:20.000]  怎樣合得來呢
[00:00:20.000 --> 00:00:22.000]  大家聽下去
[00:00:22.000 --> 00:00:24.000]  我引用的經文
[00:00:24.000 --> 00:00:29.000]  是二弗所書四章八至十三節
[00:00:29.000 --> 00:00:33.000]  大家讀一次經文
[00:00:33.000 --> 00:00:35.000]  八至十三節
[00:00:35.000 --> 00:00:37.000]  所以經上說
[00:00:37.000 --> 00:00:39.000]  他升上高天的時候
[00:00:39.000 --> 00:00:41.000]  努略了囚敵
[00:00:41.000 --> 00:00:44.000]  將各樣的恩賜賜人
[00:00:44.000 --> 00:00:46.000]  既說升上
[00:00:46.000 --> 00:00:49.000]  豈不是先降在地下嗎
[00:00:49.000 --> 00:00:50.000]  那降下的
[00:00:50.000 --> 00:00:53.000]  就先降在地上嗎
[00:00:53.000 --> 00:00:59.000]  既說升上豈不是先降在地下嗎
[00:00:59.000 --> 00:01:00.000]  那降下的
[00:01:00.000 --> 00:01:02.000]  就是遠升諸天之上
[00:01:02.000 --> 00:01:04.000]  要充滿萬有的
[00:01:04.000 --> 00:01:05.000]  他所賜的
[00:01:05.000 --> 00:01:06.000]  有仕徒
[00:01:06.000 --> 00:01:07.000]  有先知
[00:01:07.000 --> 00:01:09.000]  有傳福音的
[00:01:09.000 --> 00:01:11.000]  有牧師和教師
[00:01:11.000 --> 00:01:13.000]  為要成全聖徒
[00:01:13.000 --> 00:01:14.000]  各盡其職
[00:01:14.000 --> 00:01:16.000]  建立基督的身體
[00:01:16.000 --> 00:01:18.000]  直等到我們眾人
[00:01:18.000 --> 00:01:21.000]  在真道上同歸於一
[00:01:21.000 --> 00:01:23.000]  認識神的兒子
[00:01:23.000 --> 00:01:25.000]  得以長大成人
[00:01:25.000 --> 00:01:28.000]  滿有基督長成的新娘
[00:01:28.000 --> 00:01:31.000]  二不所書相信很多人都讀過了
[00:01:31.000 --> 00:01:35.000]  因為尤其是有些基督徒
[00:01:35.000 --> 00:01:38.000]  選擇來看聖經
[00:01:38.000 --> 00:01:40.000]  二不所書都會被選中
[00:01:40.000 --> 00:01:42.000]  因為夠短
