
[00:00:00.000 --> 00:00:02.000]  同李嘉仁提前小編講一聲
[00:00:02.000 --> 00:00:04.000]  不可改動的福音
[00:00:04.000 --> 00:00:07.500]  我上次提到保羅除了開場之外
[00:00:07.500 --> 00:00:10.000]  很快就已經是轉入了這個
[00:00:10.000 --> 00:00:12.000]  是直路裏面要講解
[00:00:12.000 --> 00:00:13.500]  究竟這個整個加拿大教會
[00:00:13.500 --> 00:00:17.000]  為何這麼快離棄了這個原先的福音
[00:00:17.000 --> 00:00:19.500]  在這裏繼續保羅要講他個人的見證
[00:00:19.500 --> 00:00:20.500]  為何要講這個見證
[00:00:20.500 --> 00:00:22.000]  這個見證的原因
[00:00:22.000 --> 00:00:24.500]  是想告訴這個加拿大信徒知道一件事
[00:00:24.500 --> 00:00:26.500]  他本身就是出自猶太教
[00:00:26.500 --> 00:00:28.500]  他對猶太教的認識
[00:00:28.500 --> 00:00:30.000]  遠遠比他們現在
[00:00:30.000 --> 00:00:33.500]  是一班猶太教的基督徒來傳的
[00:00:33.500 --> 00:00:35.000]  另一個福音告訴他
[00:00:35.000 --> 00:00:36.500]  你除了信耶穌之外是不夠的
[00:00:36.500 --> 00:00:37.500]  你還要守國禮
[00:00:37.500 --> 00:00:41.000]  你還要守這個猶太教的各種禮儀
[00:00:41.000 --> 00:00:44.000]  保羅說我是深明猶太教
[00:00:44.000 --> 00:00:47.500]  我在猶太教裏面不是写著信的信徒
[00:00:47.500 --> 00:00:50.000]  我是曾經大發熱心的那位
[00:00:50.000 --> 00:00:51.500]  他怎樣形容自己呢
[00:00:51.500 --> 00:00:54.500]  他說我是極力的迫不殘害
[00:00:54.500 --> 00:00:57.000]  我更加在猶太教裏面是長進的
[00:00:57.000 --> 00:00:58.500]  是熱心的那位
[00:00:58.500 --> 00:01:00.500]  他的意思是想講的
[00:01:00.500 --> 00:01:02.500]  跟加拿大的信徒告訴他
[00:01:02.500 --> 00:01:05.500]  今天另一個福音講的猶太教的東西
[00:01:05.500 --> 00:01:07.000]  是他曾經熱心過的
[00:01:07.000 --> 00:01:08.000]  大發熱心過的
[00:01:08.000 --> 00:01:09.000]  明白過的
[00:01:09.000 --> 00:01:10.000]  清楚過的
[00:01:10.000 --> 00:01:12.500]  在他們來說不是一件陌生的事情
[00:01:12.500 --> 00:01:15.000]  他是最有資格去評論的
[00:01:15.000 --> 00:01:19.000]  另一個福音是錯誤的那位
[00:01:19.000 --> 00:01:23.500]  他說唯有上帝將他拯救和分別出來
[00:01:23.500 --> 00:01:27.000]  以至他能夠整個生命突然的改變
[00:01:27.000 --> 00:01:28.500]  所以在保羅來說
[00:01:28.500 --> 00:01:29.500]  他會這樣理解
[00:01:29.500 --> 00:01:32.500]  他會覺得在加拿大書六章十五節
[00:01:32.500 --> 00:01:35.500]  受割禮和不受割禮的都無關緊要
