
[00:00:00.000 --> 00:00:02.000]  好,我們一起有個祈禱
[00:00:02.000 --> 00:00:05.800]  天父多謝你
[00:00:05.800 --> 00:00:10.680]  因為今天你藉著約瑟這個故事的下半場
[00:00:10.680 --> 00:00:15.640]  你教我們怎樣從搖樹當中進入到神風承的生命裏面
[00:00:15.640 --> 00:00:18.880]  主人,我有求聖靈你這一刻與我們同在
[00:00:18.880 --> 00:00:20.080]  你幫助我們
[00:00:20.080 --> 00:00:22.280]  如果當中裏面,今天裏面你要經歷
[00:00:22.280 --> 00:00:24.680]  你要讓我們的經歷搖樹的時候
[00:00:24.680 --> 00:00:27.480]  神啊,容讓我的心做好預備
[00:00:27.480 --> 00:00:33.080]  亦都容讓你成為我們心靈裏面的盼望和帶領當中
[00:00:33.080 --> 00:00:35.080]  主啊,多謝你,讚美你
[00:00:35.080 --> 00:00:38.680]  聽我們祈禱,奉靠主耶穌得聖名至祈求
[00:00:38.680 --> 00:00:39.680]  Amen
[00:00:39.680 --> 00:00:45.280]  這段經文是整個約瑟的故事的高潮
[00:00:45.280 --> 00:00:48.080]  之前所有的經歷都是鋪路
[00:00:48.080 --> 00:00:50.080]  令到我們在當中裏面
[00:00:50.080 --> 00:00:52.680]  面對到,即是經歷到
[00:00:52.680 --> 00:00:57.080]  即是在神帶領裏面的高峰的地方
[00:00:57.080 --> 00:01:02.080]  要看到這個經文,我們要先了解下它的背景
[00:01:02.080 --> 00:01:08.480]  很快就將以下40章到44章,很快地講一次
[00:01:08.480 --> 00:01:10.080]  我們可以看一下
[00:01:10.080 --> 00:01:13.480]  自從上次講到約瑟下了監之後
[00:01:13.480 --> 00:01:17.080]  在監獄裏面,他同樣地遇到
[00:01:17.080 --> 00:01:22.080]  被法老所關到的酒精和善長
[00:01:22.080 --> 00:01:25.680]  軍長安排約瑟去侍候他們
[00:01:25.680 --> 00:01:30.080]  善長和酒精各發了一個夢
[00:01:30.080 --> 00:01:32.080]  約瑟說他們解夢
[00:01:32.080 --> 00:01:34.880]  約瑟為酒精解夢之後
[00:01:34.880 --> 00:01:39.280]  特別叫酒精在他一切順利的時候要紀念他
