
[00:00:00.000 --> 00:00:01.000]  今天很特別
[00:00:01.000 --> 00:00:04.520]  第一次戴著口罩講道
[00:00:04.520 --> 00:00:08.700]  第二次對著手提電話
[00:00:08.700 --> 00:00:10.940]  現在應該正在做轉播
[00:00:10.940 --> 00:00:12.740]  我們相信有些弟兄姊妹
[00:00:12.740 --> 00:00:14.420]  都透過Facebook
[00:00:14.420 --> 00:00:16.700]  正在看我們一起崇拜
[00:00:16.700 --> 00:00:19.780]  也很欣賞大家在這個時候
[00:00:19.780 --> 00:00:21.500]  我們一起回到教會
[00:00:21.500 --> 00:00:24.440]  我也覺得回來之前
[00:00:24.440 --> 00:00:26.240]  心裡面也有一些壓力
[00:00:26.240 --> 00:00:28.440]  那些壓力不知道從哪裡來
[00:00:28.440 --> 00:00:31.540]  會不會我們有些預防措施做得不夠呢?
[00:00:31.540 --> 00:00:34.820]  或者回來的途中會不會有什麼風險呢?
[00:00:34.820 --> 00:00:36.080]  但是
[00:00:36.080 --> 00:00:38.680]  我再祈禱的時候
[00:00:38.680 --> 00:00:40.460]  我們應該反過來想
[00:00:40.460 --> 00:00:42.780]  能夠回到教會去敬拜上帝
[00:00:42.780 --> 00:00:44.340]  是神給我們的恩典
[00:00:44.340 --> 00:00:47.300]  能夠回到教會一同重新聚集
[00:00:47.300 --> 00:00:49.780]  是上帝給我們的照明
[00:00:49.780 --> 00:00:52.220]  所以當我們一起來敬拜主的時候
[00:00:52.220 --> 00:00:54.260]  我們應該帶著一個憲制的心
[00:00:54.260 --> 00:00:57.100]  也希望透過今天的信息
[00:00:57.100 --> 00:00:58.420]  能夠給予我們力量
[00:00:58.420 --> 00:01:01.460]  因為今天在這個環境之下
[00:01:01.460 --> 00:01:05.020]  可能我們心裡面需要更多的屬靈力量來幫助我們
[00:01:05.020 --> 00:01:08.260]  在年初四我寫了我們的祝福心聲
[00:01:08.260 --> 00:01:11.260]  這次安排了祝福心聲在第七頁
[00:01:11.260 --> 00:01:12.100]  而不是在第八頁
[00:01:12.100 --> 00:01:14.180]  因為第八頁有一個預防措施給大家看
[00:01:14.180 --> 00:01:15.780]  我的題目是
[00:01:15.780 --> 00:01:18.700]  肺炎豈能奪走我的平安
