
[00:00:00.000 --> 00:00:03.640]  每個基督徒一定知道瑤書的功課
[00:00:03.640 --> 00:00:09.120]  但今次我們一起提醒在聖話裏一同學習
[00:00:09.120 --> 00:00:12.120]  我們一起禱告
[00:00:12.120 --> 00:00:15.480]  肩負我們今天學習瑤書
[00:00:15.480 --> 00:00:17.480]  求你聖靈幫助我們
[00:00:17.480 --> 00:00:20.920]  藉著你自己的話令我們更加明白
[00:00:20.920 --> 00:00:23.480]  瑤書的功課不可少
[00:00:23.480 --> 00:00:24.280]  幫助我們
[00:00:24.280 --> 00:00:25.880]  祈禱奉主耶穌基督的名
[00:00:25.880 --> 00:00:27.880]  阿門
[00:00:27.880 --> 00:00:32.280]  有一本基督徒的雜誌叫做Christian Century
[00:00:32.280 --> 00:00:37.920]  裏面有一位作者叫做Richard Law
[00:00:37.920 --> 00:00:39.400]  他寫了一篇文章
[00:00:39.400 --> 00:00:42.400]  他講到裏面有一個女士
[00:00:42.400 --> 00:00:45.400]  這個女士發問一個問題
[00:00:45.400 --> 00:00:54.080]  她說有人叫我原諒殺了我自己四個兒子的一個人
[00:00:54.080 --> 00:00:56.400]  這個人的故事是怎樣發生的呢
[00:00:56.400 --> 00:00:59.400]  其實這個女士都很悲慘
[00:00:59.400 --> 00:01:02.400]  有一次有一群青年人他們濫藥
[00:01:02.400 --> 00:01:07.400]  在毒品的影響下走到這個女士的家裏
[00:01:07.400 --> 00:01:10.400]  她是一個原裝的住宅
[00:01:10.400 --> 00:01:15.000]  這幾個年青人將她四個兒子殺死了
[00:01:15.000 --> 00:01:18.800]  然後開槍擊中了這個女士
[00:01:18.800 --> 00:01:21.400]  她當場昏迷
[00:01:21.400 --> 00:01:26.400]  後來這群年青人其中一位通知這個女士
[00:01:26.400 --> 00:01:30.400]  她說我已經成為了一位基督徒
[00:01:30.400 --> 00:01:33.400]  請你可否饒恕我
[00:01:33.400 --> 00:01:36.400]  這個女士一收到這些消息
[00:01:36.400 --> 00:01:39.400]  不知是信件還是口信
[00:01:39.400 --> 00:01:42.400]  她覺得非常難為
