
[00:00:00.000 --> 00:00:01.280]  各位聽衆早安
[00:00:01.280 --> 00:00:05.740]  今天跟大家來到思想的題目
[00:00:05.740 --> 00:00:07.440]  叫做耶穌哭了
[00:00:07.440 --> 00:00:10.340]  根據我自己
[00:00:10.340 --> 00:00:13.600]  幾十年的人生的觀察
[00:00:13.600 --> 00:00:15.740]  我發現了一件事實
[00:00:15.740 --> 00:00:17.860]  就是這個世界上
[00:00:17.860 --> 00:00:20.800]  女人哭是多於男人哭的
[00:00:20.800 --> 00:00:22.280]  不知道大家接不接受
[00:00:22.280 --> 00:00:23.480]  這是我的觀察
[00:00:23.480 --> 00:00:27.160]  如果當一個男人哭的時候
[00:00:27.160 --> 00:00:30.520]  通常那件事可能是一件很嚴重的事情
[00:00:30.520 --> 00:00:32.900]  所以他們纔會哭
[00:00:32.900 --> 00:00:36.020]  今天我們看聖經裏面講到
[00:00:36.020 --> 00:00:37.640]  耶穌哭了
[00:00:37.640 --> 00:00:39.260]  耶穌是一個男人
[00:00:39.260 --> 00:00:42.300]  又是聖經裏面一個很重要的人物
[00:00:42.300 --> 00:00:44.880]  祂在世上的時間不是很長
[00:00:44.880 --> 00:00:47.540]  但是祂哭了
[00:00:47.540 --> 00:00:50.760]  所以我們覺得這件事情是非常重要的
[00:00:50.760 --> 00:00:52.300]  首先問問大家
[00:00:52.300 --> 00:00:55.140]  大家知不知道耶穌哭了多少次
[00:00:57.980 --> 00:00:58.980]  不知道
[00:00:58.980 --> 00:01:03.240]  耶穌在聖經裏面記載祂哭過三次
[00:01:03.240 --> 00:01:05.400]  但實際上
[00:01:05.400 --> 00:01:08.440]  我相信耶穌最少有四次哭
[00:01:08.440 --> 00:01:11.120]  第一次耶穌哭
[00:01:11.120 --> 00:01:13.460]  就在聖經裏面記載
[00:01:13.460 --> 00:01:16.040]  爲耶路撒冷哀哭
[00:01:16.040 --> 00:01:19.120]  第二次就是今天所講的經文
[00:01:19.120 --> 00:01:21.940]  拉撒路復活這件事上去哭
[00:01:21.940 --> 00:01:24.780]  第三次就是希伯來書記載
[00:01:24.780 --> 00:01:27.940]  祂大聲討告哀哭
[00:01:27.940 --> 00:01:30.000]  這段時間應該是
[00:01:30.000 --> 00:01:32.240]  黑西瑪利雲的時間
[00:01:32.240 --> 00:01:35.040]  而另外一次沒有記載的
[00:01:35.040 --> 00:01:36.200]  大家知不知道是哪一次
[00:01:36.200 --> 00:01:40.060]  就是耶穌出生的時候
