
[00:00:00.000 --> 00:00:03.100]  今天是猜拳相周的第一個主日
[00:00:03.100 --> 00:00:05.880]  主日當中的主題是我們思想的
[00:00:05.880 --> 00:00:08.140]  就是以色列民當中
[00:00:08.140 --> 00:00:11.480]  如何成爲萬邦的祝福
[00:00:11.480 --> 00:00:15.720]  我們藉着我們一直以來所宣講的《以創下書》裏面
[00:00:15.720 --> 00:00:17.880]  做一箇中心的背景
[00:00:17.880 --> 00:00:18.880]  思想當中當時
[00:00:18.880 --> 00:00:22.240]  藉着先知《以創下書》所說的
[00:00:22.240 --> 00:00:25.120]  究竟神對以色列民拯救的計劃
[00:00:25.120 --> 00:00:28.680]  和我們現在教會是怎麼想的呢?
[00:00:28.680 --> 00:00:35.720]  或者神藉着當時以色列民當中的互動
[00:00:35.720 --> 00:00:37.920]  是怎麼拯救他們
[00:00:37.920 --> 00:00:39.560]  怎麼呼召他們
[00:00:39.560 --> 00:00:41.160]  目的是什麼呢?
[00:00:41.160 --> 00:00:43.240]  其實《聖經》裏面說到
[00:00:43.240 --> 00:00:45.160]  我們明白很多時候
[00:00:45.160 --> 00:00:51.840]  我們所說的作爲外邦人的光是怎麼思想的
[00:00:51.840 --> 00:00:54.480]  外邦人《聖經》裏面有說
[00:00:54.480 --> 00:00:56.040]  萬民《聖經》裏面有說
[00:00:56.040 --> 00:00:57.680]  萬國都有說
[00:00:57.680 --> 00:00:59.280]  也有說地極人
[00:00:59.280 --> 00:01:03.560]  這些字眼在《以創下書》裏面也出了很多次
[00:01:03.560 --> 00:01:04.920]  究竟這些人
[00:01:04.920 --> 00:01:07.480]  我們怎麼用我們現在說的字眼
[00:01:07.480 --> 00:01:10.320]  未得之民去看呢?
[00:01:10.320 --> 00:01:14.000]  我們知道外邦人從猶太教當中說
[00:01:14.000 --> 00:01:15.920]  不是猶太教的人就是什麼?
[00:01:15.920 --> 00:01:16.720]  外邦人
[00:01:16.720 --> 00:01:18.240]  就是這個意思
[00:01:18.240 --> 00:01:20.760]  萬國、萬族、萬民
[00:01:20.760 --> 00:01:24.800]  就是在地上不同的羣體
[00:01:24.800 --> 00:01:25.800]  地極的人
[00:01:25.800 --> 00:01:30.000]  一般來說就是以福音遠離的地區的人
[00:01:30.000 --> 00:01:30.560]  如果這樣想
[00:01:30.560 --> 00:01:33.000]  當時我們可以明白到
[00:01:33.000 --> 00:01:34.480]  在這些外邦人
[00:01:34.480 --> 00:01:36.560]  萬族、萬民、萬國裏面
[00:01:36.560 --> 00:01:38.160]  地極人裏面
[00:01:38.160 --> 00:01:40.800]  有很多的未得之民在裏面
[00:01:40.800 --> 00:01:42.680]  起碼很清晰的
[00:01:42.680 --> 00:01:47.880]  他們未有得救的福音盼望
[00:01:47.880 --> 00:01:50.080]  所以我們看《以創下書》四十五章
[00:01:50.080 --> 00:01:50.920]  看兩節經文
[00:01:50.920 --> 00:01:51.960]  四十五章二十二節
[00:01:51.960 --> 00:01:53.960]  和五十二章十節
[00:01:53.960 --> 00:01:55.680]  這裏四十五章二節所說的
[00:01:55.680 --> 00:01:58.480]  地極的人都當仰望我
[00:01:58.480 --> 00:02:00.000]  就必得救
[00:02:00.000 --> 00:02:01.880]  因爲我是神
[00:02:01.880 --> 00:02:04.440]  再沒有別神
[00:02:04.440 --> 00:02:06.360]  二十二章二十二節
[00:02:06.360 --> 00:02:11.280]  耶和華在萬國眼前露出的聖祕
[00:02:11.280 --> 00:02:15.440]  地極的人再看見我們神的救恩了
[00:02:15.440 --> 00:02:18.960]  前面第一節經文所說的話
[00:02:18.960 --> 00:02:22.360]  地極的人仰望耶和華神
[00:02:22.360 --> 00:02:24.360]  就會得救
[00:02:24.360 --> 00:02:27.160]  因爲神是唯一的神
[00:02:27.160 --> 00:02:29.440]  別無其他的真神
[00:02:29.440 --> 00:02:30.880]  如果下一節講
[00:02:30.880 --> 00:02:33.440]  又說露出聖祕當時
[00:02:33.440 --> 00:02:37.240]  地極的人看到就知道神的救恩
[00:02:37.240 --> 00:02:38.240]  你可以說
[00:02:38.240 --> 00:02:41.680]  一個是主動地極的人仰望
[00:02:41.680 --> 00:02:44.120]  第二個又說主動
[00:02:44.120 --> 00:02:47.840]  又說聖祕就是能力的拯救
[00:02:47.840 --> 00:02:51.480]  地極的人看到就看到神的救恩
[00:02:51.480 --> 00:02:54.840]  如果這麼想我看《魅德之文》是怎麼思想的
[00:02:54.840 --> 00:02:56.120]  《魅德之文》
[00:02:56.120 --> 00:02:58.200]  就可以說是福音未到的羣體
[00:02:58.200 --> 00:02:59.600]  因爲未認識神
[00:02:59.600 --> 00:03:00.600]  福音未到的羣體
[00:03:00.600 --> 00:03:03.080]  或者福音已到的羣體
[00:03:03.080 --> 00:03:06.440]  當地的信徒的人數太少
[00:03:06.440 --> 00:03:07.920]  他們不可以成爲一個
[00:03:07.920 --> 00:03:12.400]  本土化的直堂運動延伸的福音
[00:03:12.400 --> 00:03:16.040]  所以他們沒有達到一個宣教的突破點
[00:03:16.040 --> 00:03:19.360]  所以我稱之爲《魅德之文》
[00:03:19.360 --> 00:03:22.480]  跟未信主的人是有很不同的分別
[00:03:22.480 --> 00:03:23.560]  未信主的人
[00:03:23.560 --> 00:03:27.120]  一般我們說的就是福音已到的地方
[00:03:27.120 --> 00:03:30.840]  但是那些人就不願意接受耶穌基督爲救主
[00:03:30.840 --> 00:03:34.960]  所以他們被稱之爲未信主的人
[00:03:34.960 --> 00:03:36.080]  不是不肯信
[00:03:36.080 --> 00:03:38.000]  但是未信
[00:03:38.000 --> 00:03:39.120]  就是說有一天
[00:03:39.120 --> 00:03:41.000]  他們可以接受
[00:03:41.000 --> 00:03:45.800]  是信主的人
[00:03:45.800 --> 00:03:47.800]  如果我看《異創下書》當中的時候
[00:03:47.800 --> 00:03:49.440]  整篇《異創下先知書》
[00:03:49.440 --> 00:03:51.280]  我們可以分爲兩部分
[00:03:51.280 --> 00:03:52.240]  第一部分是
[00:03:52.240 --> 00:03:53.560]  一章是三十九章
[00:03:53.560 --> 00:03:57.080]  所說的是警告審判的預言
