
[00:00:00.000 --> 00:00:05.800]  學者的研究發現,人類某些身體器官
[00:00:05.800 --> 00:00:11.000]  如果因為年代變化而慢慢用不著的時候
[00:00:11.000 --> 00:00:15.000]  那些器官都會慢慢萎縮、退化
[00:00:15.000 --> 00:00:19.000]  而智慧牙就是其中之一
[00:00:19.000 --> 00:00:22.000]  古人類都有智慧牙
[00:00:22.000 --> 00:00:25.000]  牠們的食物比較堅硬
[00:00:25.000 --> 00:00:30.000]  所以需要多些牙齒來咀嚼
[00:00:30.000 --> 00:00:35.000]  牠們的鱷骨都會大一點,要容納牙齒
[00:00:35.000 --> 00:00:38.000]  但現代人因為懂得切碎食物
[00:00:38.000 --> 00:00:41.000]  又懂得煮食,可以煮軟食物才吃
[00:00:41.000 --> 00:00:48.000]  所以鱷骨都慢慢變小了
[00:00:48.000 --> 00:00:53.000]  所以我們出智慧牙的時候會特別辛苦
[00:00:55.000 --> 00:00:58.000]  這些學者亦都說
[00:00:58.000 --> 00:01:00.000]  我想問一個問題
[00:01:00.000 --> 00:01:06.000]  在座有沒有哪位出過智慧牙,但從來都沒有出過
[00:01:06.000 --> 00:01:07.000]  除了那些不計
[00:01:07.000 --> 00:01:10.000]  應該有,但有沒有出過智慧牙?
[00:01:10.000 --> 00:01:12.000]  我沒有智慧牙
[00:01:12.000 --> 00:01:14.000]  都有,舉高一點
[00:01:14.000 --> 00:01:16.000]  都不少
[00:01:16.000 --> 00:01:18.000]  那些學者說
[00:01:18.000 --> 00:01:25.000]  現代人已經有百分之二十至二十五沒有智慧牙
[00:01:25.000 --> 00:01:28.000]  這很可能是一個進化的結果
[00:01:28.000 --> 00:01:31.000]  因為現在不需要那麼多牙齒來咀嚼
[00:01:31.000 --> 00:01:34.000]  你想想,智慧牙出了又要剝掉都沒有用
[00:01:34.000 --> 00:01:40.000]  所以慢慢人們都會不再出智慧牙
[00:01:40.000 --> 00:01:46.000]  我們這些沒有智慧牙的可能是進化得快了一點的新人類
[00:01:46.000 --> 00:01:48.000]  可能你會說
[00:01:48.000 --> 00:01:50.000]  為什麼又說進化?
[00:01:50.000 --> 00:01:53.000]  基督徒都說進化論的嗎?
[00:01:53.000 --> 00:02:01.000]  其實聖經裏的創造論和進化論是可以互相補足的
[00:02:01.000 --> 00:02:03.000]  今天就不夠時間說
[00:02:03.000 --> 00:02:05.000]  日後有機會再說
[00:02:05.000 --> 00:02:08.000]  智慧牙的問題其實也令我想到
[00:02:08.000 --> 00:02:11.000]  作為基督徒,如果有些事情我們應該做
[00:02:11.000 --> 00:02:18.000]  而又沒有去做的時候,我們會慢慢失去這個功能
[00:02:18.000 --> 00:02:22.000]  2019年剛剛開始是兩個星期
[00:02:22.000 --> 00:02:29.000]  我和大家一起藉著剛才讀的經文來檢視一下
[00:02:29.000 --> 00:02:33.000]  到底有沒有一些事情我們應該做,但一直都沒有做到
[00:02:33.000 --> 00:02:40.000]  這段經文是神藉著耶利米先知來對以色列人說的
[00:02:40.000 --> 00:02:43.000]  耶利米可以說是一個吃力不討好的先知
[00:02:43.000 --> 00:02:46.000]  他媽媽不喜歡他,他爸爸也不喜歡他
[00:02:46.000 --> 00:02:48.000]  全國上下的人都不喜歡他
[00:02:48.000 --> 00:02:54.000]  君王不喜歡他,就是因為他經常說一些不中聽的話
[00:02:54.000 --> 00:02:56.000]  忠言逆耳
[00:02:56.000 --> 00:03:02.000]  那些百姓不喜歡他,就是因為耶利米經常罵他們
[00:03:02.000 --> 00:03:07.000]  罵他們行惡,特別是罵他們拜偶像
[00:03:07.000 --> 00:03:10.000]  祭司也敵視耶利米
[00:03:10.000 --> 00:03:15.000]  因為耶利米說他們的獻祭是神喜悅的
[00:03:15.000 --> 00:03:21.000]  並且預言將來的聖殿會被拆毀
[00:03:21.000 --> 00:03:25.000]  你想一下,無疑是要打爛別人的飯碗
[00:03:25.000 --> 00:03:28.000]  那些祭司又怎會喜歡他呢?
[00:03:28.000 --> 00:03:35.000]  所謂斷人衣食,猶如殺人父母
[00:03:35.000 --> 00:03:41.000]  至於這段經文針對的對象是先知
[00:03:41.000 --> 00:03:45.000]  耶利米也是先知,大家是分屬行家
[00:03:45.000 --> 00:03:49.000]  為什麼耶利米會這麼不懂事呢?
[00:03:49.000 --> 00:03:54.000]  為什麼要得罪先知呢?到底這些先知有什麼問題呢?
[00:03:54.000 --> 00:03:57.000]  剛才主席跟我們讀的那段經文
[00:03:57.000 --> 00:04:00.000]  一開始在第九節說
[00:04:00.000 --> 00:04:04.000]  「論道那些先知」
[00:04:04.000 --> 00:04:09.000]  即是說由第九節一直到二十三節尾
[00:04:09.000 --> 00:04:15.000]  這麼大的段落,針對的對象都是當時的先知
[00:04:15.000 --> 00:04:19.000]  現在我們先看第九至二十二節
[00:04:19.000 --> 00:04:23.000]  這個段落可以分為三個部分
[00:04:23.000 --> 00:04:26.000]  第一部分是第九至十二節
[00:04:26.000 --> 00:04:30.000]  其中我想跟大家讀第十節
[00:04:30.000 --> 00:04:34.000]  「因為這地滿了行淫的人
[00:04:34.000 --> 00:04:37.000]  因受咒咒地咒悲哀
[00:04:37.000 --> 00:04:40.000]  曠野的草場都枯乾了
[00:04:40.000 --> 00:04:43.000]  他們走的路是邪惡的
[00:04:43.000 --> 00:04:45.000]  他們的權力毋庸了
[00:04:45.000 --> 00:04:48.000]  先知和祭司都不敬虔
[00:04:48.000 --> 00:04:53.000]  甚至在我殿裡我也看見他們的邪惡
[00:04:53.000 --> 00:04:56.000]  這是耶和華的宣告」
[00:04:56.000 --> 00:05:00.000]  這一段我用了聖經新譯本
[00:05:00.000 --> 00:05:06.000]  我覺得這個版本的翻譯更貼近原文
[00:05:06.000 --> 00:05:09.000]  先知原本是神的代言人
[00:05:09.000 --> 00:05:12.000]  代表神向人宣講訊息
[00:05:12.000 --> 00:05:16.000]  他的訊息不單是預言將來要發生的事
[00:05:16.000 --> 00:05:21.000]  主要是講到人應該怎樣行在正路上
[00:05:21.000 --> 00:05:25.000]  人怎樣行才能討神的喜悅
[00:05:25.000 --> 00:05:28.000]  這才是先知主要所講的訊息
[00:05:28.000 --> 00:05:30.000]  但這段經文說到
[00:05:30.000 --> 00:05:32.000]  「遍地的人都行淫
[00:05:32.000 --> 00:05:35.000]  他們因為自己所行的惡
[00:05:35.000 --> 00:05:38.000]  就會受到神的咒咒
[00:05:38.000 --> 00:05:42.000]  地上的人之所以會搞成這樣
[00:05:42.000 --> 00:05:43.000]  其實歸根究底
[00:05:43.000 --> 00:05:46.000]  都是因為那些先知祭司其身不正
[00:05:46.000 --> 00:05:48.000]  他們不敬虔
[00:05:48.000 --> 00:05:51.000]  甚至在聖殿裡作惡
