
[00:00:00.000 --> 00:00:02.580]  祝你新年快樂
[00:00:02.580 --> 00:00:05.120]  感恩節快樂
[00:00:05.120 --> 00:00:10.080]  讓我們再次低頭祈禱
[00:00:10.080 --> 00:00:15.600]  綽綽宇宙萬物的神
[00:00:15.600 --> 00:00:16.900]  我們的主
[00:00:16.900 --> 00:00:21.600]  多謝祢給我們在這個感恩節主日的早晨
[00:00:21.600 --> 00:00:25.220]  有機會有這個自由來敬拜祭祀祢
[00:00:25.220 --> 00:00:29.120]  願主耶穌基督的寶血來結晶來遮蓋
[00:00:29.120 --> 00:00:31.820]  也告抹祢卑微不配子女的口
[00:00:31.820 --> 00:00:35.880]  也讓祢的靈在我們當中來運行
[00:00:35.880 --> 00:00:37.880]  來向我們說話
[00:00:37.880 --> 00:00:40.220]  讓我們真的能夠同感一靈
[00:00:40.220 --> 00:00:44.600]  也能夠去享受從祢而來的福分
[00:00:44.600 --> 00:00:47.500]  將以下的時間恭敬的仰望
[00:00:47.500 --> 00:00:48.500]  祈禱奉主
[00:00:48.500 --> 00:00:50.500]  祢會得勝的名求
[00:00:50.500 --> 00:00:58.100]  剛才這一段的經文可能大家都不陌生
[00:00:58.100 --> 00:01:04.820]  如果你有機會在小時候回兒童主義學
[00:01:04.820 --> 00:01:07.600]  可能你也聽過這個故事很多次
[00:01:07.600 --> 00:01:09.600]  十個的童女
[00:01:09.600 --> 00:01:12.780]  這十個的童女裏面
[00:01:12.780 --> 00:01:16.060]  她說有聰明的
[00:01:16.060 --> 00:01:18.060]  有蠢的
[00:01:18.060 --> 00:01:20.060]  有愚蠢的
[00:01:20.060 --> 00:01:22.060]  其實很多時候我們人
[00:01:22.060 --> 00:01:24.060]  以為自己聰明
[00:01:24.060 --> 00:01:26.060]  但是其實
[00:01:26.060 --> 00:01:28.060]  是怎樣
[00:01:28.060 --> 00:01:30.060]  其實是很愚蠢的
[00:01:30.060 --> 00:01:32.060]  我說人其實
[00:01:32.060 --> 00:01:34.060]  雖然我們沒錯
[00:01:34.060 --> 00:01:36.060]  人為萬物之力
[00:01:36.060 --> 00:01:38.060]  但是很多時候
[00:01:38.060 --> 00:01:43.060]  我們是愚蠢過很多事情的
[00:01:43.060 --> 00:01:46.060]  我們那種自私自利
