
[00:00:00.000 --> 00:00:02.000]  而我們來到教會
[00:00:02.000 --> 00:00:05.000]  可能大家經常來到教會
[00:00:05.000 --> 00:00:07.000]  或者目睹朋友來到教會
[00:00:07.000 --> 00:00:09.000]  都會經常聽到牧師
[00:00:09.000 --> 00:00:11.000]  或者教會的弟兄姊妹
[00:00:11.000 --> 00:00:14.000]  都會跟你講一些關於禱告的事情
[00:00:14.000 --> 00:00:16.000]  說你多禱告啊
[00:00:16.000 --> 00:00:18.000]  多禱告神就聽你禱告
[00:00:18.000 --> 00:00:20.000]  有軟弱了多禱告啊
[00:00:20.000 --> 00:00:23.000]  牧師經常會勸勉你去禱告
[00:00:23.000 --> 00:00:25.000]  你有沒有想過
[00:00:25.000 --> 00:00:27.000]  什麼樣的人
[00:00:27.000 --> 00:00:31.000]  在你心目中什麼樣的人的禱告
[00:00:31.000 --> 00:00:34.000]  最能蒙神垂聽呢
[00:00:34.000 --> 00:00:37.000]  有沒有想過
[00:00:37.000 --> 00:00:40.000]  有沒有想過這個問題
[00:00:40.000 --> 00:00:41.000]  什麼樣的人的禱告
[00:00:41.000 --> 00:00:45.000]  最蒙神垂聽呢
[00:00:45.000 --> 00:00:47.000]  我去過很多教會
[00:00:47.000 --> 00:00:48.000]  但是你會發現
[00:00:48.000 --> 00:00:50.000]  每一次去到教會的時候
[00:00:50.000 --> 00:00:52.000]  都有很多 聚會完了
[00:00:52.000 --> 00:00:55.000]  都有很多的信徒
[00:00:55.000 --> 00:00:57.000]  或者是目睹朋友有困難
[00:00:57.000 --> 00:00:59.000]  就會去找牧師
[00:00:59.000 --> 00:01:01.000]  問他們為什麼你們
[00:01:01.000 --> 00:01:03.000]  也可以當牧師很忙的時候
[00:01:03.000 --> 00:01:05.000]  牧師說你們也自己會禱告
[00:01:05.000 --> 00:01:07.000]  神也垂聽啊
[00:01:07.000 --> 00:01:08.000]  他們常常都會有一個
[00:01:08.000 --> 00:01:10.000]  幾乎一致的答案
[00:01:10.000 --> 00:01:12.000]  都會說牧師你離神近
[00:01:12.000 --> 00:01:15.000]  你的禱告比我們的禱告有效
[00:01:15.000 --> 00:01:20.000]  有沒有類似的想法和經歷
[00:01:20.000 --> 00:01:22.000]  認為牧師長老的禱告
[00:01:22.000 --> 00:01:24.000]  一定比我的禱告
[00:01:24.000 --> 00:01:29.000]  會更有效果
[00:01:29.000 --> 00:01:31.000]  一定會比我自己的禱告
[00:01:31.000 --> 00:01:33.000]  更蒙神垂聽
[00:01:33.000 --> 00:01:37.000]  有沒有這樣的想法呢
[00:01:37.000 --> 00:01:38.000]  你看這段經文
[00:01:38.000 --> 00:01:41.000]  就告訴了我們這樣一個例子
[00:01:41.000 --> 00:01:43.000]  耶穌說了一個比喻
[00:01:43.000 --> 00:01:45.000]  這個比喻很可能
[00:01:45.000 --> 00:01:47.000]  也是一個真實的情況
[00:01:47.000 --> 00:01:49.000]  有兩個人上殿裡去禱告了
[00:01:49.000 --> 00:01:50.000]  一個是什麼
[00:01:50.000 --> 00:01:52.000]  法利塞人
[00:01:52.000 --> 00:01:54.000]  一個是什麼 瑞麗
[00:01:54.000 --> 00:01:56.000]  法利塞人是什麼
[00:01:56.000 --> 00:02:02.000]  類似於我們今天的牧師長老
[00:02:02.000 --> 00:02:04.000]  他們在猶太人當中
[00:02:04.000 --> 00:02:06.000]  扮演的角色就是什麼
[00:02:06.000 --> 00:02:08.000]  就是帶領百姓
[00:02:08.000 --> 00:02:10.000]  好好的學神的話
[00:02:10.000 --> 00:02:13.000]  解釋神的話
[00:02:13.000 --> 00:02:15.000]  然後傳達給百姓
[00:02:15.000 --> 00:02:17.000]  並且經常用神的話
[00:02:17.000 --> 00:02:19.000]  來指引猶太人生活當中
[00:02:19.000 --> 00:02:21.000]  到底要怎麼樣去行
[00:02:21.000 --> 00:02:23.000]  他把神的話寫得很細
[00:02:23.000 --> 00:02:24.000]  講解得很細
[00:02:24.000 --> 00:02:26.000]  給猶太人聽
[00:02:26.000 --> 00:02:27.000]  日常生活當中
[00:02:27.000 --> 00:02:31.000]  怎樣具體地去遵行和遵守
[00:02:31.000 --> 00:02:32.000]  法利塞人呢
[00:02:32.000 --> 00:02:33.000]  因此你會發現
[00:02:33.000 --> 00:02:36.000]  法利塞人一往街上站
[00:02:36.000 --> 00:02:38.000]  別人都會說拉餅
[00:02:38.000 --> 00:02:40.000]  都尊稱他們為夫子
[00:02:40.000 --> 00:02:42.000]  對他們非常尊敬的
[00:02:42.000 --> 00:02:45.000]  就像我們今天教會裡的牧師長老一樣
[00:02:45.000 --> 00:02:52.000]  對他們都非常的尊敬
[00:02:52.000 --> 00:02:54.000]  這樣的人
[00:02:54.000 --> 00:02:56.000]  你看法利塞人呢
[00:02:56.000 --> 00:02:59.000]  他禱告說什麼
[00:02:59.000 --> 00:03:02.000]  說神啊我感謝你
[00:03:02.000 --> 00:03:07.000]  我不像別人勒索不義奸淫
[00:03:07.000 --> 00:03:09.000]  也不像這個稅吏
[00:03:09.000 --> 00:03:11.000]  我一個禮拜進食兩次
[00:03:11.000 --> 00:03:16.000]  凡我所得的都捐上十分之一
[00:03:16.000 --> 00:03:20.000]  我想這個法利塞人
[00:03:20.000 --> 00:03:21.000]  這個宗教領袖
[00:03:21.000 --> 00:03:26.000]  他禱告的內容一定是他做到的
[00:03:26.000 --> 00:03:30.000]  要不然他不敢這樣禱告
[00:03:30.000 --> 00:03:34.000]  問一下這樣做好不好
[00:03:34.000 --> 00:03:38.000]  能這樣持守去做的人好不好
