
[00:00:00.000 --> 00:00:05.000]  好,大姐妹,讓我們先聽上帝的話,然後同心禱告。
[00:00:05.000 --> 00:00:08.000]  弟兄姐妹,讓我們聽神道之前先禱告。
[00:00:08.000 --> 00:00:17.000]  慈悲父神,多謝你讓我們再次回來,在你的說話面前一同細心研讀。
[00:00:17.000 --> 00:00:21.000]  感謝主你讓我們能夠一無所缺。
[00:00:21.000 --> 00:00:26.000]  我們這位在天上的父神,讓我們在今天,特別是這個父親節的日子,
[00:00:26.000 --> 00:00:31.000]  讓我們紀念的,就是這位永恆不變,愛我們的天父。
[00:00:31.000 --> 00:00:39.000]  讓我們能夠繼續在你的面前學習如何感恩度日,而不是一個徒然貪索的生命。
[00:00:39.000 --> 00:00:49.000]  頑固今天很多時候,我們在主你的當中,我們只可去苛求,但願主你讓我們同樣學習如何去承擔。
[00:00:49.000 --> 00:00:58.000]  主求你讓我們今天,一同在你的說話裡面,都能夠塑造出一份願意毀身,在上帝祝福的當中,
[00:00:58.000 --> 00:01:05.000]  承托主你交託的使命,去將上帝你一切的恩典,祝福,
[00:01:05.000 --> 00:01:10.000]  藉著我們可以向更多人去展現和流向。
[00:01:10.000 --> 00:01:16.000]  多謝你,我們的祈求,盼望,完全在交託主你的當中。
[00:01:16.000 --> 00:01:24.000]  親愛的天父,感謝你讓我們今天,再次能夠一同來到,打開聖經來到墨藏主理的道裡。
[00:01:24.000 --> 00:01:35.000]  在今天我們被認定是父親節的日子,就讓我們再次全年的毀身,認定我們這位永恆不變的天父,
[00:01:35.000 --> 00:01:41.000]  成為我們生命的主,成為我們生命的一個帶領者。
[00:01:41.000 --> 00:01:47.000]  讓我們知道我們的生命生活,完全是在你的祝福的當中來到,活著。
[00:01:47.000 --> 00:01:55.000]  所以讓我們不要成為一個極小的祈求的人,要求主你賦予東西的人,
[00:01:55.000 --> 00:02:00.000]  打過來讓我們學習怎麼樣成為一位滿有感恩的基督徒。
[00:02:00.000 --> 00:02:08.000]  在主理裡面,我們都能夠每一個承擔主理所交託,把主理的恩典延展出,
[00:02:08.000 --> 00:02:14.000]  更多還沒有認識主理的人,還有是在我們主理裡面的弟兄姊妹,
[00:02:14.000 --> 00:02:17.000]  讓我們一起享受主理的祝福。
[00:02:17.000 --> 00:02:21.000]  我們禱告,奉主耶穌的名求,阿們。
[00:02:21.000 --> 00:02:27.000]  今天很多教會都被稱之為中產教會。
[00:02:27.000 --> 00:02:31.000]  今天的很多教會都被稱之為中產教會。
[00:02:31.000 --> 00:02:33.000]  什麼叫中產教會呢?
[00:02:33.000 --> 00:02:34.000]  什麼是中產教會呢?
[00:02:34.000 --> 00:02:42.000]  中產教會是指一般由中產為主組成的信仰群體。
[00:02:42.000 --> 00:02:47.000]  中產教會是指一般由中產人所組成的一種教會團體。
[00:02:47.000 --> 00:02:53.000]  能夠被稱之為中產,他們通常都有一個很專業的職業。
[00:02:53.000 --> 00:02:57.000]  被稱為中產的人,一般都是有一個專業的。
[00:02:57.000 --> 00:03:06.000]  比如他們可能是醫生、護士、律師、工程師、電腦工程師,
[00:03:06.000 --> 00:03:10.000]  總之你想得出的專業人士,都被稱之為中產。
[00:03:10.000 --> 00:03:17.000]  像一些醫生、律師、護士、工程師這些專業人士。
[00:03:17.000 --> 00:03:20.000]  他們通常收入都不俗的。
[00:03:20.000 --> 00:03:22.000]  他們的通常收入都不錯。
[00:03:22.000 --> 00:03:26.000]  換句話來說,他們自己生活都很無憂。
[00:03:26.000 --> 00:03:28.000]  他們的生活也無憂。
[00:03:28.000 --> 00:03:34.000]  所以我們今天說,這些中產的基督徒,他們過得很苦,
[00:03:34.000 --> 00:03:38.000]  其實是對上帝一個很不敬的態度。
[00:03:38.000 --> 00:03:43.000]  如果說這些中產的基督徒,他們很苦的話,
[00:03:43.000 --> 00:03:45.000]  對上帝是一個不敬的態度。
[00:03:45.000 --> 00:03:49.000]  因為他們能夠成為中產,也是上帝給他們的恩典。
[00:03:49.000 --> 00:03:53.000]  因為他們能成為中產階級,也是上帝給他們的恩典。
[00:03:53.000 --> 00:03:58.000]  特別是上帝給我們有智慧,甚至可以成為一個專業人士。
[00:03:58.000 --> 00:04:01.000]  是不是上帝給我們智慧,能成為一個專業人士?
[00:04:01.000 --> 00:04:04.000]  這是今天普羅世界的教會的狀況。
