
[00:00:00.000 --> 00:00:03.200]  今年一月二十四日,二零二四年一月四日
[00:00:03.200 --> 00:00:08.440]  美國科學期刊《原子科學家公報》
[00:00:08.440 --> 00:00:12.840]  The Bulletin of the Atomic Scientists宣佈了一件事
[00:00:12.840 --> 00:00:13.720]  宣佈什麼呢?
[00:00:13.720 --> 00:00:18.280]  就是象徵人類邁向滅亡的末日鐘
[00:00:18.280 --> 00:00:19.880]  或者叫做末日時鐘
[00:00:19.880 --> 00:00:21.160]  就是叫做什麼呢?
[00:00:21.160 --> 00:00:22.640]  Doom…
[00:00:22.640 --> 00:00:24.200]  咦?沒有末日時鐘嗎?
[00:00:24.200 --> 00:00:29.800]  Doomsday Clock,OK?
[00:00:29.800 --> 00:00:31.560]  就是Doomsday Clock
[00:00:31.560 --> 00:00:32.760]  嘩,大家看看
[00:00:32.760 --> 00:00:40.000]  就是說現在已經到達十一點五十八分三十秒
[00:00:40.000 --> 00:00:42.000]  就是說離開指示
[00:00:42.000 --> 00:00:46.520]  我的指示就是凌晨十二點鐘還有多久呢?
[00:00:46.520 --> 00:00:48.480]  九十秒,OK?
[00:00:48.480 --> 00:00:50.680]  就是倒數時間到十二點
[00:00:50.680 --> 00:00:52.920]  還有九十秒時間
[00:00:52.920 --> 00:00:55.080]  這個Doomsday Clock是怎麼來的呢?
[00:00:55.080 --> 00:00:56.520]  其實大家都知道
[00:00:56.520 --> 00:00:58.440]  一九四五年世界大戰結束
[00:00:58.440 --> 00:00:59.520]  七月的時候
[00:00:59.520 --> 00:01:00.440]  為什麼會結束呢?
[00:01:00.440 --> 00:01:02.400]  因為七月就下了原子彈
[00:01:02.400 --> 00:01:03.480]  兩個啦,是不是?
[00:01:03.480 --> 00:01:05.320]  講到長期這樣
[00:01:05.320 --> 00:01:10.120]  於是世界第二次大戰就結束
[00:01:10.120 --> 00:01:14.000]  這個發明就是原子彈的原子彈之父
[00:01:14.000 --> 00:01:16.840]  就是這個Robert Oppenheimer
[00:01:16.840 --> 00:01:19.000]  他說這個原子彈是一個殺傷力嗎?
[00:01:19.000 --> 00:01:20.360]  那時候而已
[00:01:20.360 --> 00:01:21.320]  太厲害了
[00:01:21.320 --> 00:01:23.600]  如果世界每個人都去扔原子彈的話
[00:01:23.600 --> 00:01:25.840]  這個世界很快就毀滅了
[00:01:25.840 --> 00:01:28.080]  所以這個Robert Oppenheimer
[00:01:28.080 --> 00:01:31.880]  就和美國的原子科學家公佈
[00:01:31.880 --> 00:01:34.680]  就成立了一個叫做末日時鐘
[00:01:34.680 --> 00:01:38.120]  就是Doomsday Clock,OK?
[00:01:38.120 --> 00:01:42.400]  這個時鐘的目的就是告訴我們
[00:01:42.400 --> 00:01:46.400]  人類離開這個世界滅亡有多近
[00:01:46.400 --> 00:01:49.160]  因為這個原子彈的發明
[00:01:49.160 --> 00:01:51.680]  現在是氫彈,不用說了,是不是?
[00:01:51.680 --> 00:01:54.280]  這個鐘就告訴我們
[00:01:54.280 --> 00:01:56.440]  原來我們可以評估一下
[00:01:56.440 --> 00:01:59.600]  根據現時世界各樣的發展來說
[00:01:59.600 --> 00:02:01.920]  人類文明走向滅亡
[00:02:01.920 --> 00:02:04.400]  何時會來臨呢?
[00:02:04.400 --> 00:02:06.480]  如果走到午夜12點的時候
[00:02:06.480 --> 00:02:08.760]  就是說時間就到了
[00:02:08.760 --> 00:02:12.960]  當日1947年的時候
[00:02:12.960 --> 00:02:16.680]  當他們去設立這個Doomsday Clock的時候
[00:02:16.680 --> 00:02:17.760]  那時候是哪個時候?
[00:02:17.760 --> 00:02:19.400]  大家知不知道?
[00:02:19.400 --> 00:02:22.160]  是11點53分
[00:02:22.160 --> 00:02:25.160]  離開12點還有7分鐘
[00:02:25.160 --> 00:02:27.040]  由1947年到現在
[00:02:27.040 --> 00:02:28.960]  剛剛今年開始1月23日
[00:02:28.960 --> 00:02:34.440]  現在我們要撥到11點58分30秒
[00:02:34.440 --> 00:02:37.600]  即是離開12點鐘還有90秒
[00:02:37.600 --> 00:02:38.960]  他怎樣定我們不知道
[00:02:38.960 --> 00:02:40.480]  不是,知道
[00:02:40.480 --> 00:02:42.600]  有危險的因素
[00:02:42.600 --> 00:02:43.560]  本來我打了出來
[00:02:43.560 --> 00:02:45.280]  不過有三個危險的因素
[00:02:45.280 --> 00:02:47.960]  基於三樣東西就做出這樣的決定
[00:02:47.960 --> 00:02:48.920]  第一個是什麼?
[00:02:48.920 --> 00:02:50.280]  第一個就是核子武器
[00:02:50.280 --> 00:02:52.520]  剛才說過現在還有氫彈
