
[00:00:00.000 --> 00:00:03.660]  歡迎大家來到《烈師橫方堂》的主日崇拜
[00:00:03.660 --> 00:00:06.900]  今天我們講的題目是《無能的大能者》
[00:00:06.900 --> 00:00:08.560]  不過今天是講第一集
[00:00:08.560 --> 00:00:12.880]  經文是來自《士師記》第三章十二到第三十節
[00:00:12.880 --> 00:00:16.840]  《士師記》是一卷經過非常精心設計的文學作品
[00:00:16.840 --> 00:00:21.800]  裡面充滿了很多有深意的寫作安排和結構
[00:00:21.800 --> 00:00:25.720]  例如全本《士師記》基本上可以分為三個大部分
[00:00:25.720 --> 00:00:27.680]  第一個部分是引論
[00:00:27.680 --> 00:00:31.920]  第二個部分是中心的內容 第三個部分當然是結論
[00:00:31.920 --> 00:00:35.880]  引論是有兩個的 結論也是有兩個的
[00:00:35.880 --> 00:00:38.160]  都是提到以色列人他們的失敗
[00:00:38.160 --> 00:00:42.180]  在引論的部分第一章第一節到第三章的第六節
[00:00:42.180 --> 00:00:45.320]  是先提到他們政治軍事上的失敗
[00:00:45.320 --> 00:00:49.080]  然後就是講到他們宗教上 屬靈上的失敗
[00:00:49.080 --> 00:00:53.280]  而在結論的部分 我們又發現剛剛情況又倒過來
[00:00:53.280 --> 00:00:55.760]  首先講的是宗教屬靈層面上
[00:00:55.760 --> 00:01:00.080]  去解釋以色列人12個支派他們屬靈之間的問題
[00:01:00.080 --> 00:01:02.560]  然後在最後的部分
[00:01:02.560 --> 00:01:06.440]  就倒過來講政治和軍事上
[00:01:06.440 --> 00:01:10.120]  解釋以色列12個支派他們的問題
[00:01:10.120 --> 00:01:14.440]  在引論的部分 以色列人他們呼求 他們哭泣 他們憲制
[00:01:14.440 --> 00:01:18.720]  在結論的部分 他們一樣呼求 他們哭泣 他們一樣憲制
[00:01:18.720 --> 00:01:20.960]  而在中間最核心的部分
[00:01:20.960 --> 00:01:25.200]  就有12個士師 6個大的 6個小的
[00:01:25.200 --> 00:01:28.760]  當然大不是指尺寸大 不是指身形大
[00:01:28.760 --> 00:01:32.320]  而不是指重要一點 或者6個小一點的重要
[00:01:32.320 --> 00:01:34.960]  而大的意思就是篇幅長一點
[00:01:34.960 --> 00:01:37.480]  而小的意思就是篇幅小一點
[00:01:37.480 --> 00:01:42.120]  所以6個大的士師 再加6個小的士師
[00:01:42.120 --> 00:01:46.200]  而這6個士師好像是代表著12個支派
[00:01:46.200 --> 00:01:48.640]  當然我們不肯定是不是每一個的士師
[00:01:48.640 --> 00:01:50.440]  都代表著一個不同的支派
[00:01:50.440 --> 00:01:53.640]  不過大概有一個基本上應該不是的
[00:01:53.640 --> 00:01:57.360]  但至少大概有幾個肯定是的
[00:01:57.360 --> 00:02:00.920]  但這應該是象徵著這12個士師
[00:02:00.920 --> 00:02:05.600]  是代表著一個整體的以色列人
[00:02:05.600 --> 00:02:08.640]  在每一個士師的出場之前
[00:02:08.640 --> 00:02:12.320]  都有一定一句很相似的說話
[00:02:12.320 --> 00:02:17.320]  就是以色列人行耶和華眼中看為惡的事
[00:02:17.320 --> 00:02:20.160]  不過這句說話其實只出現了兩次
[00:02:20.160 --> 00:02:24.920]  第一次就是第一個士師 俄陀列出場的時候出現過
[00:02:24.920 --> 00:02:26.440]  而第二次是什麼時候出現呢?
[00:02:26.440 --> 00:02:31.120]  就是第四個大士師 基奠出場之前就出現的
[00:02:31.120 --> 00:02:34.480]  剛好就將6個大士師斬開了一半
[00:02:34.480 --> 00:02:35.880]  因為6個大士師
[00:02:35.880 --> 00:02:40.120]  現在第四個的時候就出現第二次
[00:02:40.120 --> 00:02:43.000]  而其餘的大士師出場之前
[00:02:43.000 --> 00:02:45.480]  這句說話就多加了一個字
[00:02:45.480 --> 00:02:48.440]  就是「又」這個字 又或者是「再一次」這個字
[00:02:48.440 --> 00:02:53.520]  所以你會見到在以色列人行耶和華眼中看為惡的事
[00:02:53.520 --> 00:02:58.760]  就變成「又行耶和華眼中看為惡的事」
[00:02:58.760 --> 00:03:02.360]  而第一組的大士師是最好的組合士師
[00:03:02.360 --> 00:03:05.080]  而第二組的士師是越來越差的
[00:03:05.080 --> 00:03:07.800]  為了表達這個屬靈上每放血下
[00:03:07.800 --> 00:03:10.000]  走到下坡的情況
[00:03:10.000 --> 00:03:12.480]  就在6個大士師的中間
[00:03:12.480 --> 00:03:16.360]  又夾雜了小的士師
[00:03:16.360 --> 00:03:19.520]  看到每一次小士師出場
[00:03:19.520 --> 00:03:23.120]  都總是有一句相同格式的說話
[00:03:23.120 --> 00:03:25.200]  就是在某一個人之後
[00:03:25.200 --> 00:03:26.840]  例如在以弗之後
[00:03:26.840 --> 00:03:28.400]  例如在亞比米勒之後
[00:03:28.400 --> 00:03:31.600]  又例如在耶弗他之後
[00:03:31.600 --> 00:03:33.040]  都是一模一樣的公式
[00:03:33.040 --> 00:03:34.760]  還有一個特別的地方就是
[00:03:34.760 --> 00:03:37.240]  在第一組的大組別裡面
[00:03:37.240 --> 00:03:39.960]  第一個大士師 俄陀列
[00:03:39.960 --> 00:03:42.360]  和第二個士師 以弗之間
[00:03:42.360 --> 00:03:44.400]  是另小士師的
[00:03:44.400 --> 00:03:46.920]  而在第二位的士師 以弗
[00:03:46.920 --> 00:03:50.240]  和第三位的大士師 底波拉之間
[00:03:50.240 --> 00:03:52.400]  是有一位小士師的
[00:03:52.400 --> 00:03:56.240]  到了第二個大組別的時候
[00:03:56.240 --> 00:03:58.240]  就是第四位的士師 基殿
[00:03:58.240 --> 00:04:00.640]  到第五位的士師 耶弗他
[00:04:00.640 --> 00:04:03.480]  中間是有兩位的小士師
[00:04:03.480 --> 00:04:06.560]  而第五位的士師到第六位的士師
[00:04:06.560 --> 00:04:08.800]  就是由耶弗他到參孫
[00:04:08.800 --> 00:04:11.320]  中間又有三位小士師
[00:04:11.320 --> 00:04:15.160]  所以你可不可以看到是0、1、2、3這樣上去的
[00:04:15.160 --> 00:04:19.400]  所以我們看到這個這麼特別的結構
[00:04:19.400 --> 00:04:23.280]  就將大士師之間的距離越拉越遠
[00:04:23.280 --> 00:04:26.160]  再者從另一個寫作的技巧方法
[00:04:26.160 --> 00:04:28.480]  去突出了以色列人屬靈的情況
[00:04:28.480 --> 00:04:30.760]  他們會走下坡
[00:04:30.760 --> 00:04:34.760]  今天我們就看看其中一個的大士師
[00:04:34.760 --> 00:04:35.720]  就是以弗
[00:04:35.720 --> 00:04:36.480]  正如我所說
[00:04:36.480 --> 00:04:38.320]  今天我們會講第一集
[00:04:38.320 --> 00:04:41.040]  我們下次有機會再看第二集
[00:04:41.040 --> 00:04:42.680]  我們今天首先要學的就是
[00:04:42.680 --> 00:04:48.200]  從以弗的身上學習成為一個無能的大能者
[00:04:48.200 --> 00:04:51.120]  第一件事我們要學的就是他夠吉使
[00:04:51.120 --> 00:04:53.440]  他夠勇氣
[00:04:53.440 --> 00:04:55.840]  要夠吉使、要夠勇氣
[00:04:55.840 --> 00:04:57.720]  需要學習些什麼呢?
[00:04:57.720 --> 00:04:59.920]  我們從這一段聖經裡面
[00:04:59.920 --> 00:05:02.600]  特別是從第十二節到第十四節
[00:05:02.600 --> 00:05:06.280]  以弗的故事就搭建了一個當時大的環境
[00:05:06.280 --> 00:05:10.560]  但是以弗的勇氣沒有受到大的環境所影響
[00:05:10.560 --> 00:05:12.000]  所以留意聖經的作者
[00:05:12.000 --> 00:05:14.200]  如何講到當時這個大環境
[00:05:14.200 --> 00:05:16.720]  這個以色列面對的幾個情況
[00:05:16.720 --> 00:05:17.320]  第一
[00:05:17.320 --> 00:05:20.000]  就是他們又行惡
[00:05:20.000 --> 00:05:22.880]  第十二節以色列人又行惡
[00:05:22.880 --> 00:05:24.360]  眼中捍衛惡的事
[00:05:24.360 --> 00:05:27.440]  以弗就使摩訝王伊基倫強盛
[00:05:27.440 --> 00:05:29.000]  攻擊以色列人
[00:05:29.000 --> 00:05:30.080]  三章第十二節
[00:05:30.080 --> 00:05:31.520]  如果按照原文
[00:05:31.520 --> 00:05:35.680]  其實在攻擊以色列人之後
[00:05:35.680 --> 00:05:36.920]  還有一句短句
