
[00:00:00.000 --> 00:00:02.000]  (主席)各位大英姊妹午安
[00:00:02.000 --> 00:00:06.000]  不知道大家還有沒有去看新聞呢
[00:00:06.000 --> 00:00:08.000]  無論你打開電視也好
[00:00:08.000 --> 00:00:13.000]  或者用其他的媒體的方式去看新聞
[00:00:13.000 --> 00:00:15.000]  會不會好像我這樣去發現
[00:00:15.000 --> 00:00:19.000]  原來壞消息比好消息多
[00:00:19.000 --> 00:00:24.000]  我們看到俄烏戰爭還沒打完
[00:00:24.000 --> 00:00:27.000]  這個爾巴戰爭就打得更加慘烈
[00:00:27.000 --> 00:00:34.000]  那裡的戰爭更加擴散到不同的國家
[00:00:34.000 --> 00:00:39.000]  看到很多無辜的難民都不是死而是傷
[00:00:39.000 --> 00:00:43.000]  有很多都是無家可歸的慘況
[00:00:43.000 --> 00:00:49.000]  各處的地方都遭到這些炮火的破壞
[00:00:49.000 --> 00:00:57.000]  房屋甚至整個區域都被這些炮火夷為平地
[00:00:57.000 --> 00:01:00.000]  真的非常淒涼
[00:01:00.000 --> 00:01:02.000]  你看到也有點心酸
[00:01:02.000 --> 00:01:06.000]  加上現在世界各地惡劣的天氣
[00:01:06.000 --> 00:01:11.000]  很多地方都發生很嚴重的風災水災
[00:01:11.000 --> 00:01:16.000]  居民一夜之間什麼都沒有了
[00:01:16.000 --> 00:01:22.000]  真的很可憐 需要別人的幫助安慰和盼望
[00:01:22.000 --> 00:01:26.000]  以致他們才有能力繼續向前走
[00:01:26.000 --> 00:01:29.000]  我們身處在香港好像比較幸福了一點
[00:01:29.000 --> 00:01:32.000]  起碼我們沒有炮火的威脅
[00:01:32.000 --> 00:01:37.000]  天災也不是別人那麼厲害
[00:01:37.000 --> 00:01:40.000]  但是無論是我們自己
[00:01:40.000 --> 00:01:46.000]  或者我們身邊的人都面對不同的艱難
[00:01:46.000 --> 00:01:49.000]  例如經濟的難處
[00:01:49.000 --> 00:01:53.000]  或者患重病 失去健康 失業
[00:01:53.000 --> 00:01:55.000]  或者失去至親
[00:01:55.000 --> 00:01:57.000]  或者被人騙了錢
[00:01:57.000 --> 00:01:59.000]  或者被人陷害
[00:01:59.000 --> 00:02:01.000]  這些都會令我們的內心
[00:02:01.000 --> 00:02:07.000]  充滿了恐懼 憤怒 憂傷 或者難過
[00:02:07.000 --> 00:02:12.000]  我們都希望得到安慰和幫助
[00:02:12.000 --> 00:02:15.000]  不過我們最需要安慰的時候
[00:02:15.000 --> 00:02:19.000]  不等於馬上有一個很合適的人
[00:02:19.000 --> 00:02:22.000]  在我們身邊讓我們安慰
[00:02:22.000 --> 00:02:26.000]  我們認識耶穌基督的人是有福的
[00:02:26.000 --> 00:02:29.000]  因為我們可以從聖經裡面學習
[00:02:29.000 --> 00:02:32.000]  如何得到屬天的安慰
[00:02:32.000 --> 00:02:38.000]  詩篇119篇的作者他也是身處患難之中
[00:02:38.000 --> 00:02:42.000]  我們可以看看他如何得到安慰和盼望
[00:02:42.000 --> 00:02:46.000]  我們希望他的經歷都可以幫助我們
[00:02:46.000 --> 00:02:49.000]  在需要的時候都得到安慰
[00:02:49.000 --> 00:02:56.000]  我們一起看詩篇119篇49至56節
[00:02:56.000 --> 00:02:58.000]  這個就是他的第七段
[00:02:58.000 --> 00:03:02.000]  用希伯來字母的第七個字母Syan
[00:03:02.000 --> 00:03:04.000]  就是起頭的
[00:03:04.000 --> 00:03:08.000]  紅色的字就是Syan的起頭字
[00:03:08.000 --> 00:03:10.000]  不過翻譯成中文
[00:03:10.000 --> 00:03:13.000]  不一定是放在第一個字的意思
[00:03:13.000 --> 00:03:16.000]  我們請大家先讀一次
[00:03:16.000 --> 00:03:19.000]  看一看我們今天要看的經文
[00:03:19.000 --> 00:03:21.000]  1 2 3 起
[00:03:21.000 --> 00:03:25.000]  求你記念 向你僕人所應許的華
[00:03:25.000 --> 00:03:30.000]  叫我有盼望
[00:03:30.000 --> 00:03:33.000]  我在患難中因此得安慰
[00:03:33.000 --> 00:03:36.000]  驕傲的人甚武萬我
[00:03:36.000 --> 00:03:39.000]  我卻未曾偏離你的律法
[00:03:39.000 --> 00:03:44.000]  耶和華 我紀念你從古以來的典章
[00:03:44.000 --> 00:03:46.000]  就得了安慰
[00:03:46.000 --> 00:03:49.000]  我見惡人離棄你的律法
[00:03:49.000 --> 00:03:52.000]  就怒氣發作 猶如火燒
[00:03:52.000 --> 00:03:57.000]  我在世寄居 素來以你的律例為思覺
[00:03:57.000 --> 00:04:01.000]  耶和華 我夜間紀念你的名
[00:04:01.000 --> 00:04:03.000]  遵守你的律法
[00:04:03.000 --> 00:04:07.000]  我所以如此 是因我守你的訓詞
[00:04:07.000 --> 00:04:10.000]  這裡第50節就告訴我們
[00:04:10.000 --> 00:04:13.000]  斯人在身處患難的裡面
[00:04:13.000 --> 00:04:15.000]  原因是什麼呢
[00:04:15.000 --> 00:04:19.000]  第51節他遭受到一些驕傲的人
[00:04:19.000 --> 00:04:23.000]  極度 非常之厲害的武萬
[00:04:23.000 --> 00:04:27.000]  這裡驕傲的人應該是那些不敬虔的人
[00:04:27.000 --> 00:04:29.000]  他們心中就無神
[00:04:29.000 --> 00:04:31.000]  眼中就無人
[00:04:31.000 --> 00:04:34.000]  他們就嘲諷斯人 輕視他
[00:04:34.000 --> 00:04:37.000]  很可能就是侮辱他
[00:04:37.000 --> 00:04:39.000]  對於信仰那種執著
[00:04:39.000 --> 00:04:40.000]  或者是譏諷他
[00:04:40.000 --> 00:04:43.000]  為什麼你不和我同流合污
[00:04:43.000 --> 00:04:46.000]  幹一番大事
[00:04:46.000 --> 00:04:50.000]  在這樣的處境之下 我們看到斯人是難受的
[00:04:50.000 --> 00:04:52.000]  但是他並沒有妥協
[00:04:52.000 --> 00:04:54.000]  或者是感到絕望
[00:04:54.000 --> 00:04:59.000]  相反 他在神的話 神的典章裡面
[00:04:59.000 --> 00:05:01.000]  他得到安慰
[00:05:01.000 --> 00:05:04.000]  而且甚至是救活了他
[00:05:04.000 --> 00:05:08.000]  意思是他生命得到那份的復興
[00:05:08.000 --> 00:05:13.000]  他就不需要有灰心 氣餒
[00:05:13.000 --> 00:05:15.000]  他信心也不會動搖
[00:05:15.000 --> 00:05:17.000]  犯罪去得罪神
[00:05:17.000 --> 00:05:20.000]  反而是他的生命有那份的朝氣
[00:05:20.000 --> 00:05:22.000]  就像主耶穌用他的話
[00:05:22.000 --> 00:05:26.000]  把拉撒路從死裡復活一樣
[00:05:26.000 --> 00:05:28.000]  再生猛起來
[00:05:28.000 --> 00:05:29.000]  弟兄姊妹們
[00:05:29.000 --> 00:05:34.000]  神的話真的能夠帶給我們安慰和盼望
[00:05:34.000 --> 00:05:36.000]  我舉一些例子
[00:05:36.000 --> 00:05:38.000]  當我們感到孤單 迷惘
