
[00:00:00.000 --> 00:00:03.800]  今天講的是驚喜的開展
[00:00:03.800 --> 00:00:06.400]  驚喜 我不知道大家想起些什麼
[00:00:06.400 --> 00:00:08.600]  一般來說驚喜當然是
[00:00:08.600 --> 00:00:13.400]  發生的事比你預期更加好
[00:00:13.400 --> 00:00:15.800]  那就叫驚喜
[00:00:15.800 --> 00:00:19.500]  否則就叫驚恐
[00:00:19.500 --> 00:00:22.000]  就是發生的事比你預期差了
[00:00:22.000 --> 00:00:22.800]  就是驚恐
[00:00:22.800 --> 00:00:24.400]  那當然在香港人來說
[00:00:24.400 --> 00:00:27.600]  我們都可能尚算有很多驚喜的
[00:00:27.600 --> 00:00:30.200]  例如突然間加薪
[00:00:30.200 --> 00:00:33.300]  或者你期待嬰兒有了
[00:00:33.300 --> 00:00:36.500]  不過有時有些驚喜
[00:00:36.500 --> 00:00:39.900]  是普遍性一起都有的
[00:00:39.900 --> 00:00:42.900]  香港例如在暑假夏天
[00:00:42.900 --> 00:00:47.300]  當你下班的時候發現有三號風球
[00:00:47.300 --> 00:00:49.600]  你就可能開始期待有些驚喜
[00:00:49.600 --> 00:00:52.600]  第二天早上究竟會不會有八號呢
[00:00:52.600 --> 00:00:55.400]  或者八號會不會維持到兩天呢
[00:00:55.400 --> 00:01:00.100]  會不會當晚可以玩兒一點才回家呢
[00:01:00.100 --> 00:01:02.800]  我記得 當然我現在子女都大了
[00:01:02.800 --> 00:01:04.000]  是大學生了
[00:01:04.000 --> 00:01:09.300]  當我女兒初中或者應該是十二歲的時候
[00:01:09.300 --> 00:01:12.800]  有一次剛剛有一個風球打來
[00:01:12.800 --> 00:01:16.300]  打到來的時候放學就三號風球
[00:01:16.300 --> 00:01:17.300]  我女兒就很緊張
[00:01:17.300 --> 00:01:21.100]  我說爸爸 你覺得明天要不要上學呢
[00:01:21.100 --> 00:01:25.100]  我說女兒 這個問題全香港人都在問
[00:01:25.100 --> 00:01:27.000]  要麼要上學 要麼要上班
[00:01:27.000 --> 00:01:28.600]  通常如果打風
[00:01:28.600 --> 00:01:31.600]  我都會早一點六點多起床
[00:01:31.600 --> 00:01:33.000]  看看是否有風
[00:01:33.000 --> 00:01:36.000]  如果有 就會叫我子女不用上學了
[00:01:36.000 --> 00:01:38.700]  不過第二天早上有一個驚喜發生
[00:01:38.700 --> 00:01:39.800]  就是我還沒起床
