
[00:00:00.000 --> 00:00:05.600]  感謝上帝的恩典,讓我們今天有機會一同在這個這麼好的早上一同去敬拜
[00:00:05.600 --> 00:00:07.600]  讓我們先做一次同心的禱告
[00:00:07.600 --> 00:00:16.000]  愛我們並且在我們生命裏面作王的上帝
[00:00:16.000 --> 00:00:18.000]  我們要向你禱告
[00:00:18.000 --> 00:00:20.000]  因為你的恩典救我們勇
[00:00:20.000 --> 00:00:24.400]  你招聚我們今天在你的殿當中去敬拜你
[00:00:24.400 --> 00:00:27.200]  與我們一同去經歷你的豐富
[00:00:27.200 --> 00:00:30.800]  由願僕人口中的言語,弟兄姊妹之間的心思意念
[00:00:30.800 --> 00:00:33.200]  蒙聖靈的啟迪,蒙主的月立
[00:00:33.200 --> 00:00:35.200]  禱告奉耶穌基督的名
[00:00:35.200 --> 00:00:37.200]  Amen
[00:00:37.200 --> 00:00:41.200]  各位弟兄姊妹,在這一段日子或過去的一星期裏面
[00:00:41.200 --> 00:00:44.200]  你最關心的事是甚麼呢?
[00:00:44.200 --> 00:00:48.200]  最在你腦裏面或眼前出現的事是甚麼呢?
[00:00:48.200 --> 00:00:56.200]  可能有人擔心讀書,因為當中有些學生應該要面對放榜
[00:00:56.200 --> 00:00:58.200]  放暑假
[00:00:58.200 --> 00:01:02.200]  又或者有人很關心很多的新聞
[00:01:02.200 --> 00:01:07.200]  我們的特首新的政府破了紀錄
[00:01:07.200 --> 00:01:10.200]  上任不知多少天就有人要離任
[00:01:10.200 --> 00:01:12.200]  又或者我們看到很多的新聞
[00:01:12.200 --> 00:01:15.200]  甚至我們留意到國內一些你很關心的人士
[00:01:15.200 --> 00:01:21.200]  一些我們可能一直在想究竟他是自殺還是被自殺的消息的報告
[00:01:21.200 --> 00:01:25.200]  無論如何,可能過去這一個多星期你可能留意很多的新聞事跡
[00:01:25.200 --> 00:01:29.200]  你發覺可能很多事是令你覺得很奇怪,很獨特
[00:01:29.200 --> 00:01:34.200]  甚至可能令你有些氣憤,令你覺得這些事件不可思議
[00:01:34.200 --> 00:01:36.200]  今日想和大家分享一段聖經
[00:01:36.200 --> 00:01:38.200]  不知你覺不覺得不可思議?
[00:01:38.200 --> 00:01:40.200]  我都覺得頗不可思議
[00:01:40.200 --> 00:01:42.200]  這段經文剛才雙禮的姐妹和我們讀了
[00:01:42.200 --> 00:01:47.200]  就是馬克福音第六章十四至二十九節
[00:01:47.200 --> 00:01:49.200]  這段聖經裏面講一個故事
[00:01:49.200 --> 00:01:51.200]  一個我們熟悉的人物
[00:01:51.200 --> 00:01:54.200]  那個人物叫施洗約翰
[00:01:54.200 --> 00:01:57.200]  弟兄姊妹想起施洗約翰,你想起什麼?
[00:01:57.200 --> 00:02:01.200]  有人說想起施洗約翰,第一時間想起一個形象
[00:02:01.200 --> 00:02:05.200]  就是那個在曠野,穿著皮毛,吃著蜂蜜
[00:02:05.200 --> 00:02:09.200]  好像野人一樣大叫:上帝過來吧
[00:02:09.200 --> 00:02:13.200]  這是其中一個形象或你想好的畫面
[00:02:13.200 --> 00:02:18.200]  同樣地施洗約翰可能想起那一位為耶穌基督預備道路的那一位
[00:02:18.200 --> 00:02:21.200]  聖經裏面講施洗約翰是哪一個呢?
[00:02:21.200 --> 00:02:25.200]  如果你用心翻開聖經,只要在四福音書前面的位置
[00:02:25.200 --> 00:02:30.200]  就會講到施洗約翰的一些背景和出生
[00:02:30.200 --> 00:02:34.200]  最重要的是原來他說自己是為耶穌基督預備的
[00:02:34.200 --> 00:02:37.200]  他說他來到是要叫人悔改的
[00:02:37.200 --> 00:02:39.200]  他宣講的就是悔改的道
[00:02:39.200 --> 00:02:42.200]  跟人說:來吧,要悔改,要信福音
[00:02:42.200 --> 00:02:45.200]  並且在大河裏面跟人洗禮
[00:02:45.200 --> 00:02:49.200]  告訴人們要再一次在主裏重生
[00:02:49.200 --> 00:02:52.200]  這是施洗約翰的工作
[00:02:52.200 --> 00:02:55.200]  聖經裏面講完施洗約翰的工作後,當耶穌出來傳道
[00:02:55.200 --> 00:03:00.200]  當耶穌出來傳道,我們就慢慢看不見施洗約翰的描述
[00:03:00.200 --> 00:03:03.200]  原因很簡單,當你看這段經文你就知道
[00:03:03.200 --> 00:03:08.200]  原來當時施洗約翰已經被人捉拿,坐牢,困住了
[00:03:08.200 --> 00:03:11.200]  這段經文就是講施洗約翰的下場
[00:03:11.200 --> 00:03:15.200]  我們先再看一次這段經文,看看這故事究竟講了些甚麼
[00:03:15.200 --> 00:03:19.200]  這故事講施洗約翰在監獄裏面
[00:03:19.200 --> 00:03:24.200]  當時管治施洗約翰的人叫希律
[00:03:24.200 --> 00:03:26.200]  希律是怎樣的人呢?
[00:03:26.200 --> 00:03:29.200]  聖經裏面常常聽到這個字,希律究竟是誰呢?
[00:03:29.200 --> 00:03:34.200]  我們不要混亂,聖經裏面有幾個人都叫希律
[00:03:34.200 --> 00:03:39.200]  其實希律是一個家族,是當時管理猶太人的家族
[00:03:39.200 --> 00:03:46.200]  相傳歷史裏面講到,因為大希律王曾經對羅馬政府的大帝有幫忙
[00:03:46.200 --> 00:03:49.200]  所以就把分地分了給他去管理
[00:03:49.200 --> 00:03:53.200]  所以整個猶太地就由希律家族去管理
[00:03:53.200 --> 00:03:56.200]  希律家族就不只是一個人叫希律
[00:03:56.200 --> 00:04:01.200]  我們通常管理整個猶太地的那個叫大希律王
[00:04:01.200 --> 00:04:07.200]  然後他就把不同的地方分封給子女,不同的人去管理
[00:04:07.200 --> 00:04:12.200]  當時管理著這個加利利地的就是這個統治者希律
[00:04:12.200 --> 00:04:14.200]  就是這段經文裏面講的希律
