
[00:00:00.000 --> 00:00:01.000]  (聽節目早晨)
[00:00:01.000 --> 00:00:02.000]  弟兄姐妹早安
[00:00:02.000 --> 00:00:06.000]  (大家不知道會不會因為社會現在太多的偏案)
[00:00:06.000 --> 00:00:10.000]  大家不知道會不會因為社會現在太多的偏案
[00:00:10.000 --> 00:00:13.000]  (以致令到大家經常有懷疑人的習慣呢)
[00:00:13.000 --> 00:00:15.000]  以致大家經常有懷疑別人的習慣
[00:00:15.000 --> 00:00:18.000]  (有沒有)
[00:00:18.000 --> 00:00:19.000]  有沒有呢
[00:00:19.000 --> 00:00:23.000]  (無論大家的答案是有還是沒有都好)
[00:00:23.000 --> 00:00:25.000]  無論你們的答案是有或者沒有
[00:00:25.000 --> 00:00:27.000]  (我相信大家在日常生活裏面)
[00:00:27.000 --> 00:00:29.000]  我相信大家在日常的生活裏頭
[00:00:29.000 --> 00:00:31.000]  (每日都是大大小小的事情上)
[00:00:31.000 --> 00:00:34.000]  每日在大大小小的事情上
[00:00:34.000 --> 00:00:37.000]  (都會有不少可能產生懷疑的狀況)
[00:00:37.000 --> 00:00:40.000]  都會有不少產生懷疑的狀況
[00:00:40.000 --> 00:00:44.000]  (不管是有意或者是不經意之下)
[00:00:44.000 --> 00:00:46.000]  不管是有意或者是不經意之下
[00:00:46.000 --> 00:00:48.000]  (例如以前我收到一些電話)
[00:00:48.000 --> 00:00:50.000]  例如以前我收到一些電話
[00:00:50.000 --> 00:00:52.000]  (如果他說你是銀行職員)
[00:00:52.000 --> 00:00:54.000]  如果他說他是銀行職員
[00:00:54.000 --> 00:00:56.000]  (我就會相信他是銀行職員打電話給我)
[00:00:56.000 --> 00:00:58.000]  我就會相信他是銀行職員打電話給我
[00:00:58.000 --> 00:01:00.000]  (但是現在我收到他的電話)
[00:01:00.000 --> 00:01:02.000]  但是現在如果你打起電話
[00:01:02.000 --> 00:01:04.000]  (每個人都說你是銀行職員)
[00:01:04.000 --> 00:01:06.000]  每個人都說他是銀行職員
[00:01:06.000 --> 00:01:08.000]  (我試過有一次被他騙之後)
[00:01:08.000 --> 00:01:10.000]  我是說有一次被他騙了以後
[00:01:10.000 --> 00:01:13.000]  (我現在所有他說是銀行職員我都不相信)
[00:01:13.000 --> 00:01:17.000]  現在他們說是銀行職員我所有都不信
[00:01:17.000 --> 00:01:21.000]  (這兩三年大家都會發現一個問題)
[00:01:21.000 --> 00:01:23.000]  這兩三年大家都會發現一個問題
[00:01:23.000 --> 00:01:25.000]  (你一有喉嚨痛、頭痛)
[00:01:25.000 --> 00:01:27.000]  你有喉嚨痛、頭痛
[00:01:27.000 --> 00:01:29.000]  你就會懷疑自己確診
[00:01:29.000 --> 00:01:31.000]  (你就會懷疑自己確診)
[00:01:31.000 --> 00:01:33.000]  就會在家裡拿支東西撩一下鼻子
[00:01:33.000 --> 00:01:36.000]  (然後就會在家裡拿那些快車去)
[00:01:36.000 --> 00:01:39.000]  懷疑在日常生活裡是無可避免的元素
[00:01:39.000 --> 00:01:42.000]  (懷疑在日常生活當中是無可避免的元素)
[00:01:42.000 --> 00:01:44.000]  有人說懷疑是壞事
[00:01:44.000 --> 00:01:46.000]  (有人說懷疑是壞事)
[00:01:46.000 --> 00:01:48.000]  有人說懷疑是好事
[00:01:48.000 --> 00:01:50.000]  (有人說懷疑是好事)
[00:01:50.000 --> 00:01:52.000]  究竟哪樣是正確的呢
[00:01:52.000 --> 00:01:54.000]  (到底哪一個是正確的呢)
[00:01:54.000 --> 00:01:56.000]  懷疑固然有好處
[00:01:56.000 --> 00:01:59.000]  (但過分的懷疑就是壞事)
[00:01:59.000 --> 00:02:02.000]  但是過分的懷疑就可能是壞事
[00:02:02.000 --> 00:02:04.000]  (它可能會令我們對別人沒信心)
[00:02:04.000 --> 00:02:06.000]  它可能會令我們對別人沒信心
[00:02:06.000 --> 00:02:08.000]  (整天都提心吊膽)
[00:02:08.000 --> 00:02:09.000]  整天都提心吊膽
[00:02:09.000 --> 00:02:11.000]  (憂慮別人是騙我的)
[00:02:11.000 --> 00:02:13.000]  憂慮別人是騙我的
[00:02:13.000 --> 00:02:14.000]  (過分的懷疑)
[00:02:14.000 --> 00:02:15.000]  過分的懷疑
[00:02:15.000 --> 00:02:19.000]  (是會令你過分的分析和放大一些微小的東西)
