
[00:00:00.000 --> 00:00:06.000]  相信大家從新聞或者親戚朋友的消息裡
[00:00:06.000 --> 00:00:12.500]  都知道近日香港發生學生上街示威抗議的事
[00:00:12.500 --> 00:00:18.000]  我今天這一篇的訊息其實都是去回應這件事
[00:00:18.000 --> 00:00:26.000]  這班學生佔領了中環一些主要的街道和公眾的地方
[00:00:26.000 --> 00:00:30.000]  這個行動簡稱為「佔中行動」
[00:00:30.000 --> 00:00:36.500]  「佔中」的目的是要引起各方面的注意
[00:00:36.500 --> 00:00:44.500]  他們是要尋求達到2017年香港的特區首長
[00:00:44.500 --> 00:00:52.500]  是經由符合國際標準的民主選舉方式產生
[00:00:52.500 --> 00:00:56.500]  「佔中行動」已經持續了15天
[00:00:56.500 --> 00:01:02.500]  直至今天為止仍然繼續進行
[00:01:02.500 --> 00:01:13.500]  「佔中行動」這個抗議行動的確是引起了各方面的留意和反應
[00:01:13.500 --> 00:01:17.500]  有些人是贊成 有些人是反對
[00:01:17.500 --> 00:01:22.500]  有些人是支持 有些人是譴責
[00:01:22.500 --> 00:01:27.500]  有些人是用暴力 有些人是很和平
[00:01:27.500 --> 00:01:33.500]  我們從各方面的輿論和消息來看
[00:01:33.500 --> 00:01:40.500]  無論是支持的也好 反對的也好 或者是很中立的態度也好
[00:01:40.500 --> 00:01:44.500]  他們都各自有很充足的理由和資料
[00:01:44.500 --> 00:01:51.500]  來證明他們的論點是正確和合理的
[00:01:51.500 --> 00:01:54.500]  正正因為這樣
[00:01:54.500 --> 00:02:03.500]  在社會裏面 在各階層裏面就開始出現分裂和彼此對抗
[00:02:03.500 --> 00:02:14.500]  因著持有不同意見的原因就導致關係破裂
[00:02:14.500 --> 00:02:20.500]  不單止關係破裂 可能甚至會出現仇視
[00:02:20.500 --> 00:02:26.500]  這種現象出現在社會各階層裏面
[00:02:26.500 --> 00:02:32.500]  在政府的部門裏面 在學校 在機構 在教會裏面
[00:02:32.500 --> 00:02:41.500]  在家庭裏面都出現這種或多或少的非友即敵的這種對抗現象
[00:02:41.500 --> 00:02:52.500]  但是很感謝神 這種對抗的現象平微是去到一個很嚴重的地步
[00:02:52.500 --> 00:02:56.500]  在這個佔中的事件裏面
[00:02:56.500 --> 00:03:02.500]  我們想去分誰是誰非 想分對錯是極之困難
[00:03:02.500 --> 00:03:09.500]  是很難簡單地去評論說這樣是對的 這樣是錯的
[00:03:09.500 --> 00:03:16.500]  所以我也不打算在這裏去評個別的事情的對錯
[00:03:16.500 --> 00:03:19.500]  今天我只是想和大家講一下
[00:03:19.500 --> 00:03:22.500]  我們基督徒對事情的發生
[00:03:22.500 --> 00:03:27.500]  特別當社會上出現很多所謂公義或不公義的事情發生的時候
[00:03:27.500 --> 00:03:32.500]  我們基督徒怎樣看 怎樣回應呢?
[00:03:32.500 --> 00:03:38.500]  我們應該怎樣做才為之符合聖經的教導呢?
[00:03:38.500 --> 00:03:43.500]  在什麼情況之下我們應該服從某一些的命令或法例
[00:03:43.500 --> 00:03:50.500]  或者在什麼情況之下我們應該抗命呢?
[00:03:50.500 --> 00:03:54.500]  我希望今天藉著所選的經文
[00:03:54.500 --> 00:04:01.500]  能夠教導到我們在這方面的大原則
[00:04:01.500 --> 00:04:07.500]  所以我請大家一起和我用心去領受
[00:04:07.500 --> 00:04:16.500]  我們先看第一段的經文 就是羅馬書十三章一至七節
[00:04:16.500 --> 00:04:20.500]  我們剛才已經讀過了
[00:04:20.500 --> 00:04:26.500]  這一段的經文字面上的意思不難明白
[00:04:26.500 --> 00:04:32.500]  當我們一直讀的時候我們已經差不多可以明白大約的意思
[00:04:32.500 --> 00:04:40.500]  經文就是吩咐我們要服從所屬國家的管治和法例
[00:04:40.500 --> 00:04:42.500]  我們看第一節
[00:04:42.500 --> 00:04:48.500]  因為沒有權並不是出於神 凡掌權的都是神所命的
[00:04:48.500 --> 00:04:50.500]  第二節
[00:04:50.500 --> 00:04:56.500]  所以 抗拒掌權的就是抗拒神的命 抗拒的必自取刑罰
[00:04:56.500 --> 00:05:01.500]  這兩篇聖經很清楚地告訴我們這個意思
[00:05:01.500 --> 00:05:06.500]  這兩篇聖經的意思可以再演繹為
[00:05:06.500 --> 00:05:12.500]  遵守政府所定的法律 這是所有人民的責任
[00:05:12.500 --> 00:05:16.500]  因為政府是神所設立的
[00:05:16.500 --> 00:05:22.500]  所以不守法例就是抗拒神的命
[00:05:22.500 --> 00:05:26.500]  抗拒神的命 所以這是一個很嚴重的事情
[00:05:26.500 --> 00:05:30.500]  犯法的人必定要受到刑罰
[00:05:30.500 --> 00:05:34.500]  這是神賦予他們這種權柄
[00:05:34.500 --> 00:05:44.500]  我相信世界各地的人或者政府架構 法律架構都會是這樣
[00:05:44.500 --> 00:05:48.500]  我們要服從當地政府的法律
[00:05:48.500 --> 00:05:54.500]  但是大家不知道有沒有想到一個問題
[00:05:54.500 --> 00:06:01.500]  就是全世界每一個國家的人都會這樣做
[00:06:01.500 --> 00:06:08.500]  這樣的政制或者政治架構 法律架構
[00:06:08.500 --> 00:06:13.500]  人人都要守法 不是天經地義嗎?
[00:06:13.500 --> 00:06:18.500]  為什麼保羅在這裡要特別寫信告訴羅馬的信徒
[00:06:18.500 --> 00:06:25.500]  要他們守法呢?難道他們是不守法?
[00:06:25.500 --> 00:06:32.500]  是不是呢?或者有這樣的趨向
[00:06:32.500 --> 00:06:38.500]  有這樣的現象發生在當時羅馬的信徒或教會裡
[00:06:38.500 --> 00:06:46.500]  為什麼會這樣呢?原來因為當時有幾件事
[00:06:46.500 --> 00:06:50.500]  令到羅馬的信徒會有一種趨向
[00:06:50.500 --> 00:06:56.500]  一種趨向就是不服從羅馬的政府
[00:06:56.500 --> 00:07:04.500]  在鮑惠元牧師 鮑惠元牧師就是鮑維君博士的爸爸
[00:07:04.500 --> 00:07:07.500]  其實鮑惠元牧師也是博士
[00:07:07.500 --> 00:07:10.500]  鮑惠元牧師在他的《釋經書》裡
