
[00:00:00.000 --> 00:00:03.280]  今天我們所講的題目是
[00:00:03.280 --> 00:00:05.760]  「毀身建立關係」
[00:00:05.760 --> 00:00:09.800]  是我們信徒傳喚寶鑒的第二講
[00:00:09.800 --> 00:00:11.800]  「毀身建立關係」
[00:00:11.800 --> 00:00:15.440]  有幾個經文
[00:00:15.440 --> 00:00:17.840]  想先跟大家分享
[00:00:17.840 --> 00:00:23.320]  人際關係是破碎帶來的苦痛和傷害
[00:00:23.320 --> 00:00:24.400]  這裡說
[00:00:24.400 --> 00:00:25.840]  朋友眾多
[00:00:25.840 --> 00:00:28.120]  終必彼此破裂
[00:00:28.120 --> 00:00:32.520]  但有一位朋友比兄弟更親密
[00:00:32.520 --> 00:00:35.680]  在《針研》十八章二十四節
[00:00:35.680 --> 00:00:38.400]  在我們的生命當中
[00:00:38.400 --> 00:00:42.360]  我們發覺人與人的關係都是很微妙的
[00:00:42.360 --> 00:00:44.840]  但是當人際的關係
[00:00:44.840 --> 00:00:47.160]  人的關係破裂的時候
[00:00:47.160 --> 00:00:50.120]  是帶來給我們很多的苦痛
[00:00:50.120 --> 00:00:51.240]  這裡說
[00:00:51.240 --> 00:00:52.560]  朋友雖然很多
[00:00:52.560 --> 00:00:54.240]  但有時候會破裂了
[00:00:54.240 --> 00:00:57.360]  但如果有一位朋友能夠繼續的
[00:00:57.360 --> 00:01:00.840]  在我們生命當中與我們一起的話
[00:01:00.840 --> 00:01:03.880]  是一個很寶貴的經驗
[00:01:03.880 --> 00:01:06.440]  第二樣想跟大家分享的就是
[00:01:06.440 --> 00:01:09.720]  我們人的關係是直接反映出
[00:01:09.720 --> 00:01:11.720]  我們與神的關係
[00:01:11.720 --> 00:01:14.440]  如果我們說我們很愛神
[00:01:14.440 --> 00:01:16.440]  但又恨我們的弟兄
[00:01:16.440 --> 00:01:18.960]  我們知道是不可能的事
[00:01:18.960 --> 00:01:20.920]  好像火車軌一樣
[00:01:20.920 --> 00:01:22.040]  是兩條軌的
[00:01:22.040 --> 00:01:23.800]  你不可以靠一邊來走
[00:01:23.800 --> 00:01:25.120]  一邊是愛神
[00:01:25.120 --> 00:01:28.000]  一邊我們自然是會愛人的
[00:01:28.000 --> 00:01:31.520]  《約翰一書》第四章二十至二十一節
[00:01:31.520 --> 00:01:33.200]  我們大家一起讀好嗎?
[00:01:33.200 --> 00:01:34.800]  讀這一節的經文
[00:01:34.800 --> 00:01:36.000]  預備起
[00:01:36.000 --> 00:01:38.800]  「人若說我愛神
[00:01:38.800 --> 00:01:40.560]  卻恨他的弟兄
[00:01:40.560 --> 00:01:42.560]  就是說謊的」
[00:01:42.560 --> 00:01:44.320]  我們有快有慢
[00:01:44.320 --> 00:01:45.680]  我們一起再讀一次
[00:01:45.680 --> 00:01:46.480]  慢慢地讀
[00:01:46.480 --> 00:01:47.280]  預備起
[00:01:47.280 --> 00:01:49.840]  「人若說我愛神
