
[00:00:00.000 --> 00:00:05.720]  相信大家都聽過一句話叫「大難不死,必有後福」
[00:00:05.720 --> 00:00:08.300]  今天說的一個聖經人物
[00:00:08.300 --> 00:00:12.280]  就是他在生小孩的時候
[00:00:12.280 --> 00:00:19.400]  經歷過一次從死亡、死門關被人救出來
[00:00:19.400 --> 00:00:23.340]  以致後來成為一個皇帝
[00:00:23.340 --> 00:00:30.240]  這個皇帝的遭遇、他的命運是怎樣呢?
[00:00:30.240 --> 00:00:35.240]  是否都是有若神的福氣
[00:00:35.240 --> 00:00:37.680]  得到一個好的皇帝呢?
[00:00:37.680 --> 00:00:43.800]  還是另有一個結局呢?
[00:00:43.800 --> 00:00:45.600]  今天我講的講題是
[00:00:45.600 --> 00:00:49.280]  「有此無中的若亞斯」
[00:00:49.280 --> 00:00:52.880]  剛才主席都幫我們讀了很長的經文
[00:00:52.880 --> 00:00:58.640]  我相信大家都聽到在經文裡面所講的
[00:00:58.640 --> 00:01:05.280]  大概都知道若亞斯是一個怎樣的皇帝
[00:01:05.280 --> 00:01:11.920]  所以我用「有此無中的若亞斯」
[00:01:11.920 --> 00:01:16.920]  當然不能夠這樣一句說話去總結
[00:01:16.920 --> 00:01:25.600]  這個南國、猶太國的一個皇帝的生平
[00:01:25.600 --> 00:01:30.840]  但是在當間裡面是感受到
[00:01:30.840 --> 00:01:35.400]  好像一個漫長的人生的道路
[00:01:35.400 --> 00:01:41.600]  他作為一個皇帝都是神所揀選
[00:01:41.600 --> 00:01:47.940]  而我們被神揀選成為了基督徒之後
[00:01:47.940 --> 00:01:53.000]  我們也有一段漫長的人生的道路
[00:01:53.000 --> 00:01:59.000]  這段道路究竟我們是否貫徹始終
[00:01:59.000 --> 00:02:06.120]  能夠由開始堅守到這個信仰
[00:02:06.120 --> 00:02:10.880]  到我們走完人生的道路
[00:02:10.880 --> 00:02:17.740]  而若亞斯是「有此無中」
[00:02:17.740 --> 00:02:22.140]  中間是廢棄了耶和華神
[00:02:22.140 --> 00:02:26.860]  中間是忘恩負義
[00:02:26.860 --> 00:02:32.560]  中間是背道而行
