
[00:00:00.000 --> 00:00:03.680]  好 讓我們在聆聽上主的說話以先
[00:00:03.680 --> 00:00:05.940]  讓我們再次一起同心低頭
[00:00:05.940 --> 00:00:10.740]  將我們的新心靈交給主 我們的神
[00:00:10.740 --> 00:00:15.500]  父神 多謝你 讓我們再次回到你寶貴的啓示當中
[00:00:15.500 --> 00:00:17.900]  能夠一同去明白
[00:00:17.900 --> 00:00:22.780]  你的僕人 但以你如何在他的時代當中
[00:00:22.780 --> 00:00:25.920]  成爲上主你的見證
[00:00:25.920 --> 00:00:30.720]  也要如何在期間 以上主你的啓示
[00:00:30.720 --> 00:00:35.320]  過他每一天的屬靈生活
[00:00:35.320 --> 00:00:42.440]  雖然他身處在一個非猶太人爲主的外邦世界裏面
[00:00:42.440 --> 00:00:46.760]  但是他對上主你那份的認識和偉新
[00:00:46.760 --> 00:00:50.520]  從來沒有因爲外在環境而改變
[00:00:50.520 --> 00:00:53.640]  求主你也給我們有同樣的識見
[00:00:53.640 --> 00:00:57.600]  好使我們都能夠在 但以你的身上
[00:00:57.600 --> 00:01:03.560]  能夠幫助我們如何在今天的生命生活當中
[00:01:03.560 --> 00:01:10.040]  能夠活出一個 上帝你用得着我們的一個永恆的生命
[00:01:10.040 --> 00:01:15.200]  直到在永恆的當中 將最好的獻丞在上主裏面
[00:01:15.200 --> 00:01:17.800]  我們再次將這段時間的交上
[00:01:17.800 --> 00:01:21.160]  求聖靈你的光照和啓跡
[00:01:21.160 --> 00:01:24.200]  禱告奉靠主耶穌基督
[00:01:24.200 --> 00:01:28.160]  得聖的名字而求 阿門
[00:01:28.160 --> 00:01:30.200]  對於一般的人來這麼說
[00:01:30.200 --> 00:01:35.800]  很多時候都認爲人生是自己去掌握的
[00:01:35.800 --> 00:01:40.240]  每一樣東西都是握在自己的手上
[00:01:40.240 --> 00:01:45.440]  只要你努力 只要你用你自己的想法
[00:01:45.440 --> 00:01:54.600]  你就能夠滿足達致你所期盼的結果 是不是呢
[00:01:54.600 --> 00:01:56.680]  事實上好像不是
[00:01:56.680 --> 00:01:58.160]  因爲在這個世界裏面
[00:01:58.160 --> 00:02:02.440]  有很多人爲了用自己的方法去滿足
[00:02:02.440 --> 00:02:05.760]  達致自己的目的的時候
[00:02:05.760 --> 00:02:10.800]  我們發現到卻是失意重重
[00:02:10.800 --> 00:02:15.880]  有些人爲了要有更大的去滿足自己的願望
[00:02:15.880 --> 00:02:21.920]  於是乎他成爲王 成爲領袖 打生打死
[00:02:21.920 --> 00:02:25.880]  有些人他甚至在一間公司裏面
[00:02:25.880 --> 00:02:29.080]  利用各種的方法手段
[00:02:29.080 --> 00:02:33.960]  來去爭取自己成爲在公司裏面的華士人
[00:02:33.960 --> 00:02:38.360]  直至可以 認爲就可以掌握到自己的人生
[00:02:38.360 --> 00:02:42.280]  甚至自己所期望的成就
