
[00:00:00.000 --> 00:00:05.440]  今日和大家分享這個題目叫做「靈性修煉」
[00:00:05.440 --> 00:00:07.440]  「靈性修煉」
[00:00:07.440 --> 00:00:11.040]  中文可以翻譯成「靈修」
[00:00:11.040 --> 00:00:13.040]  有些聲音
[00:00:13.040 --> 00:00:15.040]  「苦」、「燥」、「孤」
[00:00:15.040 --> 00:00:17.040]  停了
[00:00:17.040 --> 00:00:22.800]  其實這個訊息是從何而來的呢?
[00:00:22.800 --> 00:00:26.800]  就是我自己每天早上都有一個做法
[00:00:26.800 --> 00:00:28.800]  我通常很早起床
[00:00:28.800 --> 00:00:30.800]  其實我睡眠質素不好
[00:00:30.800 --> 00:00:34.800]  我半夜很多時候都會醒的
[00:00:34.800 --> 00:00:36.800]  特別早前去了加拿大
[00:00:36.800 --> 00:00:38.800]  去了25天
[00:00:38.800 --> 00:00:40.800]  回來香港之後
[00:00:40.800 --> 00:00:42.800]  用了不止25天
[00:00:42.800 --> 00:00:46.800]  去回復那些所謂的jet lag
[00:00:46.800 --> 00:00:48.800]  我簡直是
[00:00:48.800 --> 00:00:50.800]  現在就真真正正地回復了
[00:00:50.800 --> 00:00:52.800]  早前真的
[00:00:52.800 --> 00:00:54.800]  每個小時都醒
[00:00:54.800 --> 00:00:56.800]  那我醒來幹什麼呢?
[00:00:56.800 --> 00:00:58.800]  就在床上
[00:00:58.800 --> 00:01:02.800]  通常我會祈禱
[00:01:02.800 --> 00:01:06.800]  其實有很多祈禱的需要
[00:01:06.800 --> 00:01:08.800]  我有一個過程的祈禱
[00:01:08.800 --> 00:01:10.800]  我有一個formula的
[00:01:10.800 --> 00:01:12.800]  我都和大家分享過
[00:01:12.800 --> 00:01:14.800]  在今天這個訊息裡
[00:01:14.800 --> 00:01:16.800]  都會和大家
[00:01:16.800 --> 00:01:18.800]  應該有一個分享的
[00:01:18.800 --> 00:01:20.800]  我用的祈禱就是pray
[00:01:20.800 --> 00:01:22.800]  pray
[00:01:22.800 --> 00:01:24.800]  我第一樣東西就是praise
[00:01:24.800 --> 00:01:26.800]  讚美praise god
[00:01:26.800 --> 00:01:28.800]  我用這個字來提醒自己
[00:01:28.800 --> 00:01:30.800]  不要亂了
[00:01:30.800 --> 00:01:32.800]  praise god
[00:01:32.800 --> 00:01:36.800]  讚美和感謝
[00:01:36.800 --> 00:01:38.800]  感謝神
[00:01:38.800 --> 00:01:40.800]  第二就是repent
[00:01:40.800 --> 00:01:42.800]  想想自己有些什麼
[00:01:42.800 --> 00:01:44.800]  是當天
[00:01:44.800 --> 00:01:46.800]  做錯了
[00:01:46.800 --> 00:01:48.800]  說錯了
[00:01:48.800 --> 00:01:50.800]  想錯了
[00:01:50.800 --> 00:01:54.800]  可能人覺得沒什麼
[00:01:54.800 --> 00:01:56.800]  這些很小事
[00:01:56.800 --> 00:01:58.800]  但在神的面前不是
[00:01:58.800 --> 00:02:00.800]  你不要以為一件事很小事
[00:02:00.800 --> 00:02:02.800]  但其實在神的面前
[00:02:02.800 --> 00:02:04.800]  不小事
