
[00:00:00.000 --> 00:00:03.700]  今天早上很高興能夠再次在主日崇拜的時間
[00:00:03.700 --> 00:00:06.000]  和大家一起分享神的說話
[00:00:06.000 --> 00:00:08.600]  能夠一起對上主更加的認識
[00:00:08.600 --> 00:00:10.400]  讓我們在聆聽主導儀先
[00:00:10.400 --> 00:00:12.300]  讓我們一起同心的禱告
[00:00:12.300 --> 00:00:15.900]  基督姐妹很高興能夠再次在主日崇拜的時間
[00:00:15.900 --> 00:00:19.400]  和大家一起來思想上帝的話語
[00:00:19.400 --> 00:00:21.500]  讓我們一起再次禱告禱告
[00:00:21.500 --> 00:00:26.400]  來把我們身心念紮在我們手上
[00:00:26.400 --> 00:00:29.800]  It is a great pleasure that I can have another day
[00:00:29.800 --> 00:00:32.200]  during the worship time to share the word of God
[00:00:32.200 --> 00:00:34.200]  with all the brothers and sisters
[00:00:34.200 --> 00:00:36.700]  So let us bow our head and then we pray
[00:00:36.700 --> 00:00:40.200]  and ask for the Holy Spirit to give us guidance
[00:00:40.200 --> 00:00:41.600]  throughout this sermon time
[00:00:41.600 --> 00:00:43.700]  讓我們同心的禱告
[00:00:43.700 --> 00:00:44.900]  慈悲天父多謝祢
[00:00:44.900 --> 00:00:46.800]  讓我們能夠再次回來
[00:00:46.800 --> 00:00:48.800]  在祢寶貴說話的面前
[00:00:48.800 --> 00:00:50.600]  一起同心仰望
[00:00:50.600 --> 00:00:52.300]  求祢的靈願同在
[00:00:52.300 --> 00:00:53.600]  讓我們認識祢
[00:00:53.600 --> 00:00:57.300]  到底祢是一個怎樣的上主
[00:00:57.300 --> 00:00:59.300]  讓我們能夠好好預備
[00:00:59.300 --> 00:01:02.300]  能夠在永恆的道路上與祢同沒
[00:01:02.300 --> 00:01:03.600]  求祢的幫助
[00:01:03.600 --> 00:01:05.500]  我們親愛的父神感謝祢
[00:01:05.500 --> 00:01:08.300]  讓我們能夠再次來到祢的跟前
[00:01:08.300 --> 00:01:11.200]  一起透過祢的話語
[00:01:11.200 --> 00:01:14.100]  來明白主祢是怎樣的一位主
[00:01:14.100 --> 00:01:15.500]  怎樣的一位神
[00:01:15.500 --> 00:01:17.600]  求祢的聖靈帶領我們
[00:01:17.600 --> 00:01:19.900]  使我們能夠好好的預備
[00:01:19.900 --> 00:01:23.600]  讓我們在這段聆聽祢的話語的時間
[00:01:23.600 --> 00:01:26.300]  完全在祢的引導當中
[00:01:26.300 --> 00:01:29.100]  對祢有一個更準確的了解
[00:01:29.100 --> 00:01:31.900]  我們的天父多謝祢
[00:01:31.900 --> 00:01:35.600]  讓我們有這個珍貴的時間
[00:01:35.600 --> 00:01:38.200]  讓我們可以在聖靈之下
[00:01:38.200 --> 00:01:42.700]  更加了解祢是誰
[00:01:42.700 --> 00:01:45.100]  所以我們要求祢的聖靈
[00:01:45.100 --> 00:01:47.300]  給我們一些指導
[00:01:47.300 --> 00:01:50.500]  讓我們知道我們對祢的了解
[00:01:50.500 --> 00:01:52.300]  是正確和準確的
[00:01:52.300 --> 00:01:55.000]  我們在耶穌基督的名字下祈禱
[00:01:55.000 --> 00:01:56.100]  我們同心的禱告
[00:01:56.100 --> 00:01:58.400]  奉靠主耶穌的德聖靈至教
[00:01:58.400 --> 00:02:00.100]  阿們
[00:02:00.100 --> 00:02:02.100]  今天與大家一起思想的經文
[00:02:02.100 --> 00:02:05.100]  是出自於加拉太書的第四章
[00:02:05.100 --> 00:02:08.000]  從第十七節至到第二十節
[00:02:08.000 --> 00:02:09.700]  今天的講題是
[00:02:09.700 --> 00:02:12.600]  孩子們 你們明白嗎?
[00:02:12.600 --> 00:02:17.000]  今天我們所講的經文是從加拉太書的四章
[00:02:17.000 --> 00:02:19.300]  從第十七節至二十節
[00:02:19.300 --> 00:02:20.700]  講題是
[00:02:20.700 --> 00:02:23.400]  孩子們 你們明白嗎?
[00:02:23.400 --> 00:02:27.400]  今天我們所講的經文是從加拉太書的四章
[00:02:27.400 --> 00:02:29.800]  從第十七節至二十節
[00:02:29.800 --> 00:02:31.900]  講題是
[00:02:31.900 --> 00:02:33.900]  我的親愛的孩子
[00:02:33.900 --> 00:02:35.700]  你們明白嗎?
[00:02:35.700 --> 00:02:36.900]  好 在開始之前
[00:02:36.900 --> 00:02:40.300]  讓我們先為大家讀一次這段經文
[00:02:40.300 --> 00:02:41.800]  不是太長的
[00:02:41.800 --> 00:02:43.300]  只是四節的經文
[00:02:43.300 --> 00:02:46.500]  大家也可以跟我一起打開聖經
[00:02:46.500 --> 00:02:48.500]  一起讀這段聖經
[00:02:48.500 --> 00:02:51.300]  從十七節至二十節
[00:02:51.300 --> 00:02:55.800]  我會和大家一起讀和合版本的廣東話
[00:02:55.800 --> 00:02:59.600]  然後你可以再聽我讀一次的普通話
[00:02:59.600 --> 00:03:03.900]  我會為大家讀出英語的版本
[00:03:03.900 --> 00:03:07.600]  加拉太書第四章十七至二十節
[00:03:07.600 --> 00:03:09.800]  那些人熱心待你們
[00:03:09.800 --> 00:03:11.300]  卻不是好意
[00:03:11.300 --> 00:03:13.100]  是要離間你們
[00:03:13.100 --> 00:03:15.600]  叫你們熱心待他們
[00:03:15.600 --> 00:03:20.400]  在善事上常用熱心待人是好的
[00:03:20.400 --> 00:03:25.400]  卻不但我與你們同在的時候才這樣
[00:03:25.400 --> 00:03:26.600]  我小知
[00:03:26.600 --> 00:03:29.600]  我為你們再受生產之苦
[00:03:29.600 --> 00:03:33.300]  直等到基督成形在你們心裡
[00:03:33.300 --> 00:03:37.800]  我巴不得現今在你們那裡改喚口氣
[00:03:37.800 --> 00:03:41.000]  因我為你們心裡作難
[00:03:41.000 --> 00:03:43.200]  那些人熱心待你們
[00:03:43.200 --> 00:03:44.600]  卻不是好意
[00:03:44.600 --> 00:03:46.400]  是要離間你們
[00:03:46.400 --> 00:03:48.700]  叫你們熱心待他們
[00:03:48.700 --> 00:03:53.200]  在善事上常用熱心待人原是好的
[00:03:53.200 --> 00:03:57.300]  卻不但我與你們同在的時候才這樣
[00:03:57.300 --> 00:03:58.900]  我小知
[00:03:58.900 --> 00:04:02.000]  我為你們再受生產之苦
[00:04:02.000 --> 00:04:07.400]  直等到基督成形在你們心裡
[00:04:07.400 --> 00:04:13.800]  我巴不得現今在你們那裡改喚口氣
[00:04:13.800 --> 00:04:16.500]  因我為你們心裡作難
[00:04:43.800 --> 00:04:46.300]  有一次我去做一次探訪
[00:04:46.300 --> 00:04:49.500]  去到一個弟兄的家裡
[00:04:49.500 --> 00:04:55.500]  其實這個弟兄當時已經是四、五十歲左右的年紀
[00:04:55.500 --> 00:04:59.500]  當他邀請我去他家探訪的時候
[00:04:59.500 --> 00:05:01.000]  我去到他就說
[00:05:01.000 --> 00:05:05.500]  牧師不如請你來探訪一下
[00:05:05.500 --> 00:05:09.200]  他就叫我去他家探訪
[00:05:09.200 --> 00:05:14.700]  我去到他就說牧師不如我帶你去我的客廳
[00:05:14.700 --> 00:05:17.200]  大家坐下來聊聊天好不好
[00:05:17.200 --> 00:05:20.700]  當我們一起走到這個客廳的時候
[00:05:20.700 --> 00:05:26.200]  通常在加拿大客廳都會有一個火爐
[00:05:26.200 --> 00:05:27.700]  有一個壁爐在那裡
[00:05:27.700 --> 00:05:34.200]  華人通常很少開這些壁爐去點炭或者燒柴
[00:05:34.200 --> 00:05:36.700]  因為很多灰燼要清理
[00:05:36.700 --> 00:05:39.700]  所以華人通常都不會來用
[00:05:39.700 --> 00:05:42.200]  但是那個地方變成了什麼地方呢?
[00:05:42.200 --> 00:05:46.200]  就是很多時候成為他們擺一些家庭照
[00:05:46.200 --> 00:05:53.200]  或者小朋友在各行的比賽裡面的獎杯、獎座等等
[00:05:53.200 --> 00:05:54.200]  就會擺在那裡
[00:05:54.200 --> 00:05:57.200]  我就經過他那個客廳的時候
[00:05:57.200 --> 00:06:01.200]  我說很多照片在你那個壁爐上面
[00:06:01.200 --> 00:06:04.200]  他說是啊,很多都是我家照
[00:06:04.200 --> 00:06:07.200]  可以看一下
[00:06:07.200 --> 00:06:10.200]  我就很細心地逐張逐張去看
[00:06:10.200 --> 00:06:14.200]  一看的時候就發覺有一張黑白照
[00:06:14.200 --> 00:06:21.200]  黑白照上面有一位女士抱著一個嬰兒
[00:06:21.200 --> 00:06:23.200]  一看的時候
[00:06:23.200 --> 00:06:29.200]  我就發覺這個女士不是這位弟兄的太太
[00:06:29.200 --> 00:06:32.200]  於是我就問一下這個弟兄
[00:06:32.200 --> 00:06:39.200]  他說:弟兄,這張照片裡面那個女士究竟是誰呢?
[00:06:39.200 --> 00:06:45.200]  我看他會不會給我一個我從未想過的答案
[00:06:45.200 --> 00:06:48.200]  因為那個女士根本就不是他太太
[00:06:48.200 --> 00:06:50.200]  究竟她是誰呢?
[00:06:50.200 --> 00:06:52.200]  這個弟兄聽到我這樣問
[00:06:52.200 --> 00:06:54.200]  突然打了個嗝
[00:06:54.200 --> 00:06:58.200]  然後臉色就突然沉一沉
