
[00:00:00.000 --> 00:00:07.000]  幾年前有人寫過一本書叫做《天水為十二師奶的故事》
[00:00:07.000 --> 00:00:10.000]  那裏有個副名的
[00:00:10.000 --> 00:00:16.000]  即是那個作者說其實那個名字就不是叫做《天水為十二師奶》
[00:00:16.000 --> 00:00:24.000]  亦都可以叫做《天水為衰男人的故事》
[00:00:24.000 --> 00:00:29.000]  事實上你看一看這個數字都令你打了個冷顫
[00:00:29.000 --> 00:00:34.000]  美國有個研究就是平均在美國
[00:00:34.000 --> 00:00:42.000]  每個爸爸每日只用了37秒的時間跟他的子女聊天
[00:00:42.000 --> 00:00:44.000]  37秒
[00:00:44.000 --> 00:00:48.000]  high and buy
[00:00:48.000 --> 00:00:56.000]  在美國超過一半的小朋友是沒有爸爸
[00:00:56.000 --> 00:00:58.000]  是一個單親家庭長大
[00:00:58.000 --> 00:01:01.000]  在香港就好些
[00:01:01.000 --> 00:01:07.000]  香港這十年來數字亦都增加了很多
[00:01:07.000 --> 00:01:14.000]  是大概10%的子女是不跟爸爸在一起
[00:01:14.000 --> 00:01:21.000]  其中8%是單親家庭其餘是其他原因
[00:01:21.000 --> 00:01:32.000]  亦都有人預計過大概有30萬的男人在內地有包二奶
[00:01:32.000 --> 00:01:37.000]  不少的香港人是去北上打工
[00:01:37.000 --> 00:01:46.000]  每個月回來香港跟家人團聚大概只是兩三人
[00:01:46.000 --> 00:01:53.000]  以往香港亦都有數以萬計的男人是太空人
[00:01:53.000 --> 00:01:56.000]  太太和子女在外國定居
[00:01:56.000 --> 00:02:02.000]  每年只有兩三個星期跟家人相聚
[00:02:02.000 --> 00:02:09.000]  男人當中以中年人問題似乎是最大的
[00:02:09.000 --> 00:02:14.000]  根據2004年的統計
[00:02:14.000 --> 00:02:23.000]  每十萬個香港的中年男人有17.85個男人是自殺死的
[00:02:23.000 --> 00:02:28.000]  而男人比女人自殺多一倍
[00:02:28.000 --> 00:02:32.000]  即是說香港和世界趨勢一樣
[00:02:32.000 --> 00:02:34.000]  男人自殺多於女人
[00:02:34.000 --> 00:02:36.000]  唯一一個國家是例外的
[00:02:36.000 --> 00:02:39.000]  就是中國
[00:02:39.000 --> 00:02:42.000]  中國女人自殺多於男人
[00:02:42.000 --> 00:02:53.000]  香港的離婚案是今年來說每100個人有34.6個人離婚
[00:02:53.000 --> 00:02:58.000]  香港的小學老師83%是女性
[00:02:58.000 --> 00:03:05.000]  我們教會的主學老師95%是女性
[00:03:05.000 --> 00:03:19.000]  我們教會的靈性團隊也差不多是80-90%是女性
[00:03:19.000 --> 00:03:28.000]  美國政府每年花費了162億美元換作沒有父母的子女
[00:03:28.000 --> 00:03:37.000]  這個數目相當於Bill Gates 全世界最有錢人的身家
[00:03:37.000 --> 00:03:43.000]  看一看我們周圍就會知道這個問題問得很恰當
[00:03:43.000 --> 00:03:46.000]  男人你在哪裡
[00:03:46.000 --> 00:03:49.000]  事實上當人犯了罪之後
[00:03:49.000 --> 00:03:55.000]  上帝第一個問人的問題就是在《創世紀》第三章
[00:03:55.000 --> 00:03:58.000]  他告訴你
[00:03:58.000 --> 00:04:04.000]  男人 男人你在哪裡
[00:04:04.000 --> 00:04:10.000]  我有一本叫做American Girl的雜誌看到一篇令人心碎的文章
[00:04:10.000 --> 00:04:14.000]  是一個叫做Vicky的14歲女孩寫的故事
[00:04:14.000 --> 00:04:17.000]  她這樣說 當我10歲那一年
[00:04:17.000 --> 00:04:20.000]  我爸爸媽媽就決定離婚
[00:04:20.000 --> 00:04:24.000]  有一天爸爸對我說我要走了
