
[00:00:00.000 --> 00:00:02.940]  剛剛Ada和我們讀了一段聖經
[00:00:02.940 --> 00:00:05.020]  是《哥倫多後書》第九章
[00:00:05.020 --> 00:00:06.260]  在講奉獻
[00:00:06.260 --> 00:00:07.560]  明明是在繼續
[00:00:07.560 --> 00:00:08.400]  當然是的
[00:00:08.400 --> 00:00:10.000]  如果你深水清知道
[00:00:10.000 --> 00:00:12.860]  其實第八章、第九章是在連續同一個題目的
[00:00:12.860 --> 00:00:16.760]  仍然是在繼續講哥倫多教會的奉獻的事
[00:00:16.760 --> 00:00:18.540]  不過另一件事就是
[00:00:18.540 --> 00:00:22.460]  其實當天和哥倫多教會在講金錢的奉獻
[00:00:22.460 --> 00:00:25.740]  因爲他們答應了的事不完成一年
[00:00:25.740 --> 00:00:27.260]  就是一直拖
[00:00:27.260 --> 00:00:28.100]  但是另一件事
[00:00:28.100 --> 00:00:30.060]  如果你仔細看回保羅的序述
[00:00:30.060 --> 00:00:34.300]  他真的不是純粹在講奉獻金錢的問題
[00:00:34.300 --> 00:00:36.380]  更加是講多一點
[00:00:36.380 --> 00:00:38.040]  你看看第八節
[00:00:38.040 --> 00:00:39.700]  神能將各樣
[00:00:39.700 --> 00:00:41.800]  當他講了你樂意奉獻的時候是怎樣的?
[00:00:41.800 --> 00:00:45.440]  神能將各樣的恩惠多多地加給你們
[00:00:45.440 --> 00:00:48.300]  使你們凡事嚐嚐充足
[00:00:48.300 --> 00:00:49.220]  能夠怎樣?
[00:00:49.220 --> 00:00:51.820]  行各樣善事
[00:00:51.820 --> 00:00:53.460]  各樣的善行
[00:00:53.460 --> 00:00:54.660]  義公會不會是?
[00:00:54.660 --> 00:00:55.420]  可以是
[00:00:55.420 --> 00:00:56.600]  不是義公可不可以?
[00:00:56.600 --> 00:00:57.500]  也可以是
[00:00:57.500 --> 00:00:58.980]  接着他還引用詩篇說
[00:00:58.980 --> 00:01:00.440]  他在講那些義人是怎樣的
[00:01:00.440 --> 00:01:02.200]  義人是施捨錢財
[00:01:02.200 --> 00:01:03.900]  洲際貧窮的
[00:01:03.900 --> 00:01:05.240]  不是純粹在講錢的
[00:01:05.240 --> 00:01:08.140]  是在講有很多很有建設性
[00:01:08.140 --> 00:01:10.860]  有意思的東西都做了出來的
[00:01:10.860 --> 00:01:12.940]  當然
[00:01:12.940 --> 00:01:14.100]  當天的處境
[00:01:14.100 --> 00:01:16.020]  就是在講哥倫多教會
[00:01:16.020 --> 00:01:16.700]  剛剛也提過
[00:01:16.700 --> 00:01:18.200]  如果上個星期記得
[00:01:18.200 --> 00:01:20.340]  說奉獻了一年
[00:01:20.340 --> 00:01:21.820]  第六號都沒有奉獻
[00:01:21.820 --> 00:01:23.140]  保羅要追他
[00:01:23.140 --> 00:01:25.020]  甚至看第九章的開始
[00:01:25.020 --> 00:01:26.140]  你應該get到更多的東西
[00:01:26.140 --> 00:01:29.500]  第一保羅仍然是繼續客氣
[00:01:29.500 --> 00:01:30.420]  你應該知道爲什麼
[00:01:30.420 --> 00:01:32.340]  因爲之前跟哥倫多教會吵架嘛
[00:01:32.340 --> 00:01:34.820]  免得又爛起火頭了
[00:01:34.820 --> 00:01:35.540]  但是
[00:01:35.540 --> 00:01:36.700]  繼續客氣得來
[00:01:36.700 --> 00:01:38.780]  一點都不讓步的
[00:01:38.780 --> 00:01:39.900]  都挺利的
[00:01:39.900 --> 00:01:41.820]  但是客氣得來都很利的
[00:01:41.820 --> 00:01:42.780]  在講什麼呢?
[00:01:42.780 --> 00:01:45.500]  如果你仔細留意
[00:01:45.500 --> 00:01:46.980]  你可以這樣想的
[00:01:46.980 --> 00:01:51.180]  保羅將這件事掌握
[00:01:51.180 --> 00:01:52.460]  將它反轉一點
[00:01:52.460 --> 00:01:53.380]  你會知道的
[00:01:53.380 --> 00:01:54.380]  例如什麼呢?
[00:01:54.380 --> 00:01:56.300]  在第九章一節開始
[00:01:56.300 --> 00:01:57.780]  論到供給聖徒的事
[00:01:57.780 --> 00:01:59.500]  供給聖徒就是之前所講的
[00:01:59.500 --> 00:02:01.740]  其實那是他們本分
[00:02:01.740 --> 00:02:04.460]  去支持哥倫多教會的本分
[00:02:04.460 --> 00:02:06.780]  支持在耶路撒冷教會里面
[00:02:06.780 --> 00:02:09.260]  給貧窮人服侍的
[00:02:09.260 --> 00:02:10.420]  所以他要奉獻
[00:02:10.420 --> 00:02:11.260]  他說什麼呢?
[00:02:11.260 --> 00:02:12.460]  我就不用寫信給你了
[00:02:12.460 --> 00:02:13.060]  第二節
[00:02:13.060 --> 00:02:15.500]  因爲我知道你們樂意的心
[00:02:15.500 --> 00:02:16.580]  你很喜歡的
