
[00:00:00.000 --> 00:00:05.680]  現在這一陣子感冒很多啊 請大家注意身體
[00:00:05.680 --> 00:00:09.480]  最近感冒流感非常之多 所以大家注意身體
[00:00:09.480 --> 00:00:11.720]  好 我們有一個簡短的禱告
[00:00:11.720 --> 00:00:13.680]  我們開始一個簡短的禱告
[00:00:13.680 --> 00:00:16.280]  親愛的阿爸父神
[00:00:16.280 --> 00:00:20.960]  謝謝你讓我們在七日的頭一日聚集在你的聖殿當中
[00:00:20.960 --> 00:00:25.680]  感謝你讓我們在七日的頭一日能夠聚集在聖殿當中
[00:00:25.680 --> 00:00:28.280]  求你的靈降臨在我們中間
[00:00:28.280 --> 00:00:30.120]  求你的靈降臨在我們中間
[00:00:30.120 --> 00:00:32.400]  讓我們講得清楚 聽得明白
[00:00:32.400 --> 00:00:34.760]  讓我們講的清楚 聽的也明白
[00:00:34.760 --> 00:00:39.520]  讓我們聽到這些道以後 能夠在我們的生活中醒出來
[00:00:39.520 --> 00:00:43.520]  讓我們聽到這些道之後 我們能夠在生命當中走出來
[00:00:43.520 --> 00:00:44.600]  感謝主
[00:00:44.600 --> 00:00:45.160]  感謝主
[00:00:45.160 --> 00:00:47.320]  以上禱告奉我主耶穌基督的名
[00:00:47.320 --> 00:00:48.040]  阿們
[00:00:48.040 --> 00:00:50.840]  以上禱告奉我主耶穌基督的名祈求
[00:00:50.840 --> 00:00:52.000]  阿們
[00:00:52.000 --> 00:00:56.840]  好 大家知道在英文裡有一個很有趣的詞叫做hint
[00:00:56.840 --> 00:01:00.760]  好 大家知道在英文裡有一個很有趣的詞叫做hint
[00:01:00.760 --> 00:01:04.040]  我們凡是看電影 讀小說
[00:01:04.040 --> 00:01:06.080]  我們都會有這樣的感覺
[00:01:06.080 --> 00:01:08.400]  凡是我們看電影或者看小說
[00:01:08.400 --> 00:01:09.880]  我們都會有這種感覺的
[00:01:09.880 --> 00:01:12.520]  我記得我在小的時候看電影
[00:01:12.520 --> 00:01:14.400]  這個中國的電影
[00:01:14.400 --> 00:01:18.760]  在表現人物心情很複雜很低落的時候
[00:01:18.760 --> 00:01:22.040]  它就有一個火車進入這個隧道
[00:01:22.040 --> 00:01:24.280]  當我想起小時候我看電影
[00:01:24.280 --> 00:01:29.240]  就當描述這個人物他是很低沉的情緒的時候
[00:01:29.240 --> 00:01:31.920]  就好像會進入一個隧道裡面一樣
[00:01:31.920 --> 00:01:34.480]  那我們一看到這個火車進入隧道
[00:01:34.480 --> 00:01:36.600]  我們就知道這個主人公的心情
[00:01:36.600 --> 00:01:38.920]  一定是很憂鬱很沮喪
[00:01:38.920 --> 00:01:42.160]  而且有一些什麼很重要的事情要發生了
[00:01:42.160 --> 00:01:44.600]  當我們看見這個火車進入這個隧道的時候
[00:01:44.600 --> 00:01:46.360]  我們就會體會到這個主人翁
[00:01:46.360 --> 00:01:48.720]  可能他是很憂鬱很沮喪
[00:01:48.720 --> 00:01:51.320]  或者有些很重要的事情會發生
[00:01:51.320 --> 00:01:54.200]  那我們知道有一個很有名的偵探
[00:01:54.200 --> 00:01:56.320]  小說叫做《福爾摩斯》是嗎
[00:01:56.320 --> 00:02:00.280]  我們知道有一個很有名的偵探小說叫《福爾摩斯》
[00:02:00.280 --> 00:02:02.280]  他去偵探的時候
[00:02:02.280 --> 00:02:05.680]  在這個兇殺案謀殺案發生之後
[00:02:05.680 --> 00:02:09.360]  每一個房間每一個細小的地方
[00:02:09.360 --> 00:02:13.440]  以後都會有相對應的事情發生
[00:02:13.440 --> 00:02:19.000]  好像這個福爾摩斯他去查這個兇殺案的時候
[00:02:19.000 --> 00:02:21.400]  他進到每一個房間看到很多的細節
[00:02:21.400 --> 00:02:25.440]  其實都是在之後發現有關聯的
[00:02:25.440 --> 00:02:29.360]  那我們知道作者在這個時候描述這個細節
[00:02:29.360 --> 00:02:32.720]  一定不是沒有用意的一定不是白白的
[00:02:32.720 --> 00:02:35.240]  我們都明白到這個作者在這個描述上面
[00:02:35.240 --> 00:02:37.840]  一定是有他的意義不是白白的寫出來的
[00:02:37.840 --> 00:02:42.400]  果然在後面的結論當中推理當中我們就能看到
[00:02:42.400 --> 00:02:45.080]  果然我們在後面的推理和結論當中
[00:02:45.080 --> 00:02:46.960]  我們就能夠看得見了
[00:02:46.960 --> 00:02:52.640]  那麼在聖經當中就有這樣一個關於彌賽亞的寓言
