
[00:00:00.000 --> 00:00:02.000]  福音師父讓我們先聽一層道義
[00:00:02.000 --> 00:00:03.000]  讓我們先和神父說
[00:00:03.000 --> 00:00:06.000]  聽怎麼樣?我們聽神道之前先同心打交
[00:00:06.000 --> 00:00:10.000]  慈悲的貫臣多謝你
[00:00:10.000 --> 00:00:13.000]  讓我們能夠在主理的道理的略上
[00:00:13.000 --> 00:00:16.000]  仍然去緊緊的去依靠
[00:00:16.000 --> 00:00:22.000]  讓我們這個在永恆生命的接觸點
[00:00:22.000 --> 00:00:24.000]  能夠不住的繼續的持守
[00:00:24.000 --> 00:00:26.000]  我們再次致上感恩
[00:00:26.000 --> 00:00:29.000]  讓我們對你的說話不離不棄
[00:00:29.000 --> 00:00:31.000]  正如我們對主人蘇
[00:00:31.000 --> 00:00:34.000]  成就這個救恩也不離不棄
[00:00:34.000 --> 00:00:35.000]  我們願為同床
[00:00:35.000 --> 00:00:37.000]  我們親愛的父神感謝你
[00:00:37.000 --> 00:00:41.000]  讓我們每個星期能夠依然打開你的說話
[00:00:41.000 --> 00:00:44.000]  能夠讀你的話語
[00:00:44.000 --> 00:00:49.000]  讓我們知道在這個永恆的生命的連繫上面
[00:00:49.000 --> 00:00:54.000]  我們從今天依然去繼續跟你連繫
[00:00:54.000 --> 00:00:59.000]  從你的幫助使我們能夠有心靠的心
[00:00:59.000 --> 00:01:01.000]  就在主你應許的裡面
[00:01:01.000 --> 00:01:04.000]  我們為大家奉祝耶穌的名俗
[00:01:04.000 --> 00:01:05.000]  Amen
[00:01:05.000 --> 00:01:11.000]  從小到大我媽媽就經常教我兩句說話
[00:01:11.000 --> 00:01:13.000]  從小到大我媽媽只教我兩句話
[00:01:13.000 --> 00:01:16.000]  我想大家聽過,大家都聽過
[00:01:16.000 --> 00:01:19.000]  一句就叫先甜後苦
[00:01:19.000 --> 00:01:21.000]  一句就叫先甜後苦
[00:01:21.000 --> 00:01:24.000]  另一句就叫先苦後甜
[00:01:24.000 --> 00:01:26.000]  另外一句就叫先苦後甜
[00:01:26.000 --> 00:01:31.000]  這兩句說話對我的做人有很深的影響
[00:01:31.000 --> 00:01:34.000]  這兩句話對我做人有很深刻的影響
[00:01:34.000 --> 00:01:37.000]  特別當我去做基督徒之後
[00:01:37.000 --> 00:01:39.000]  開始明白上帝的說話
[00:01:39.000 --> 00:01:42.000]  當我接觸明白上帝的說話
[00:01:42.000 --> 00:01:45.000]  我終於就明白到原來先苦後甜
[00:01:45.000 --> 00:01:50.000]  這個說法其實是罪背後的推動力
[00:01:50.000 --> 00:01:52.000]  就是說先苦後甜
[00:01:52.000 --> 00:01:55.000]  在聖經裡面是罪的推動力
[00:01:55.000 --> 00:01:58.000]  我有沒有說錯?先甜後苦,對不起
[00:01:58.000 --> 00:01:59.000]  對不起,先甜後苦
[00:01:59.000 --> 00:02:04.000]  先甜後苦原來是罪的很大的推動力
[00:02:04.000 --> 00:02:07.000]  先甜後苦是罪的很大的推動力
[00:02:07.000 --> 00:02:09.000]  我為什麼這樣說呢?
[00:02:09.000 --> 00:02:10.000]  我為什麼這麼講呢?
[00:02:10.000 --> 00:02:12.000]  因為當我再去看聖經的時候
[00:02:12.000 --> 00:02:14.000]  當我再去看聖經的時候
[00:02:14.000 --> 00:02:16.000]  我就發現到
[00:02:16.000 --> 00:02:18.000]  原來在聖經當中
[00:02:18.000 --> 00:02:19.000]  原來在聖經當中
[00:02:19.000 --> 00:02:22.000]  為什麼人會犯罪呢?
[00:02:22.000 --> 00:02:24.000]  為什麼人會犯罪呢?
[00:02:24.000 --> 00:02:26.000]  因為發現到每一次犯罪
[00:02:26.000 --> 00:02:29.000]  都能夠給你很開心的經歷
[00:02:29.000 --> 00:02:33.000]  因為每次犯罪都給你很開心的經歷
[00:02:33.000 --> 00:02:35.000]  有很開心的感受
[00:02:35.000 --> 00:02:36.000]  有很開心的感受
[00:02:36.000 --> 00:02:39.000]  讓你覺得心滿意足的時候
[00:02:39.000 --> 00:02:41.000]  讓你感到心滿意足的時候
[00:02:41.000 --> 00:02:44.000]  你就很自然會去犯罪了
[00:02:44.000 --> 00:02:46.000]  你就很自然會去犯罪
[00:02:46.000 --> 00:02:47.000]  不如看一下創世紀吧
[00:02:47.000 --> 00:02:49.000]  不如看一下創世紀
