
[00:00:00.000 --> 00:00:02.780]  今天早上跟大家分享
[00:00:02.780 --> 00:00:04.280]  也是我的慣例
[00:00:04.280 --> 00:00:07.520]  就是我們這個月的主題是經文
[00:00:07.520 --> 00:00:11.220]  是來自《馬太福音》第十章
[00:00:11.220 --> 00:00:15.180]  這段經文相信大家都是熟悉的
[00:00:15.180 --> 00:00:17.720]  想跟大家說說
[00:00:17.720 --> 00:00:19.720]  你人生裡面的經驗
[00:00:19.720 --> 00:00:24.060]  有沒有試過接待一些三不認識七的朋友
[00:00:24.060 --> 00:00:26.060]  三不認識七的朋友
[00:00:26.060 --> 00:00:28.700]  三不認識七但又是你的朋友
[00:00:28.700 --> 00:00:30.040]  沒什麼可能的
[00:00:30.040 --> 00:00:32.040]  朋友是不會三不認識七的
[00:00:32.040 --> 00:00:35.040]  你又不會接受一些三不認識七的人
[00:00:35.040 --> 00:00:37.840]  多多少少都是應該
[00:00:37.840 --> 00:00:39.840]  某一個程度上是你的朋友
[00:00:39.840 --> 00:00:41.840]  但你又真的不認識他
[00:00:41.840 --> 00:00:43.840]  為什麼會這樣呢
[00:00:43.840 --> 00:00:45.840]  我不知道你有沒有
[00:00:45.840 --> 00:00:48.560]  應該可能都會有吧
[00:00:48.560 --> 00:00:50.560]  就算你有
[00:00:50.560 --> 00:00:52.560]  你會怎樣去接待他
[00:00:52.560 --> 00:00:54.560]  你用些什麼的
[00:00:54.560 --> 00:00:58.720]  你有沒有用心去接待
[00:00:58.720 --> 00:01:00.720]  怎樣去接待呢
[00:01:00.720 --> 00:01:02.720]  今天我們看這段經文裡面
[00:01:02.720 --> 00:01:04.720]  剛才文修跟我們讀了一段經文
[00:01:04.720 --> 00:01:07.400]  耶穌就吩咐我們要接待一些人
[00:01:07.400 --> 00:01:09.400]  分別有幾種人
[00:01:09.400 --> 00:01:11.400]  實際上來說
[00:01:11.400 --> 00:01:13.400]  如果用我們的經驗去看
[00:01:13.400 --> 00:01:15.400]  你接待的人
[00:01:15.400 --> 00:01:17.400]  接待的時候是怎樣的呢
[00:01:17.400 --> 00:01:19.400]  今天跟大家分享三點
[00:01:19.400 --> 00:01:21.400]  第一點就是
[00:01:21.400 --> 00:01:25.400]  當我們根據聖經所講的
[00:01:25.400 --> 00:01:27.400]  我們要接待的
[00:01:27.400 --> 00:01:29.400]  是因為我們
[00:01:29.400 --> 00:01:31.400]  去回應
[00:01:31.400 --> 00:01:33.400]  神給我們的呼召
[00:01:33.400 --> 00:01:37.400]  正如我剛才開始問的時候
[00:01:37.400 --> 00:01:39.400]  在生活上你有沒有接待過一些
[00:01:39.400 --> 00:01:41.400]  其實你不認識的人
[00:01:41.400 --> 00:01:43.400]  我試過
[00:01:43.400 --> 00:01:45.400]  你不認識為何會接待他
[00:01:45.400 --> 00:01:48.400]  是因為有人將他轉介給我
[00:01:48.400 --> 00:01:50.400]  引薦或引介給我
[00:01:50.400 --> 00:01:52.400]  我不認識他
[00:01:52.400 --> 00:01:54.400]  我認識他的朋友
[00:01:54.400 --> 00:01:56.400]  所以某個程度
[00:01:56.400 --> 00:01:58.400]  你心甘也好
[00:01:58.400 --> 00:02:00.400]  不心甘也好
[00:02:00.400 --> 00:02:02.400]  你難以推卻也好
[00:02:02.400 --> 00:02:04.400]  你會去接待他
[00:02:04.400 --> 00:02:06.400]  那你接待成怎樣呢
[00:02:06.400 --> 00:02:08.400]  就很在乎你跟那個
