
[00:00:00.000 --> 00:00:01.360]  各位頂智媒平安
[00:00:01.360 --> 00:00:02.660]  平安
[00:00:02.660 --> 00:00:05.540]  每次我們能夠在神的殿當中一起
[00:00:05.540 --> 00:00:08.000]  和頂智媒一起實體地敬拜
[00:00:08.000 --> 00:00:10.340]  每次我們都要感恩
[00:00:10.340 --> 00:00:12.600]  我剛剛從美國回來
[00:00:12.600 --> 00:00:14.840]  在香港一段短的時間
[00:00:14.840 --> 00:00:16.840]  但是就感受到
[00:00:16.840 --> 00:00:20.640]  能夠可以和頂智媒一起敬拜
[00:00:20.640 --> 00:00:22.660]  絕對不是必然的
[00:00:22.660 --> 00:00:24.340]  每次我們能夠可以
[00:00:24.340 --> 00:00:27.540]  和頂智媒同心地來在殿當中敬拜
[00:00:27.540 --> 00:00:29.500]  我們都要感謝上帝
[00:00:29.500 --> 00:00:30.920]  所以我想在下一次
[00:00:30.920 --> 00:00:32.860]  和大家一起有感恩、祈禱
[00:00:32.860 --> 00:00:35.160]  再將一段聽到的時間
[00:00:35.160 --> 00:00:40.560]  一起交託給主
[00:00:40.560 --> 00:00:43.400]  親愛的主我們感謝你
[00:00:43.400 --> 00:00:46.200]  在幾年的疫情裡面
[00:00:46.200 --> 00:00:48.700]  主 很多時候我們不能夠
[00:00:48.700 --> 00:00:50.500]  在你的殿中
[00:00:50.500 --> 00:00:53.820]  和頂智媒一同地去敬拜
[00:00:53.820 --> 00:00:55.100]  但是今次我們可以
[00:00:55.100 --> 00:00:57.420]  這樣來到去敬拜的時候
[00:00:57.420 --> 00:01:00.060]  我們心中充滿感謝
[00:01:00.060 --> 00:01:02.100]  我們可以更加專注
[00:01:02.100 --> 00:01:04.420]  我們更加可以集體
[00:01:04.420 --> 00:01:07.860]  和頂智媒同心地來敬拜
[00:01:07.860 --> 00:01:10.360]  天父說願你自己繼續帶領我們
[00:01:10.360 --> 00:01:13.420]  在這個變幻的世界裡面
[00:01:13.420 --> 00:01:16.100]  保守我們那份專注
[00:01:16.100 --> 00:01:18.460]  專一敬畏你的心
[00:01:18.460 --> 00:01:20.260]  讓我們在人生的路上
[00:01:20.260 --> 00:01:23.060]  能夠一直行在光明的路
[00:01:23.060 --> 00:01:24.860]  主啊我們今天在你面前
[00:01:24.860 --> 00:01:26.360]  同心敬拜你
[00:01:26.360 --> 00:01:30.120]  也感謝你賜下你自己聖經的說話
[00:01:30.120 --> 00:01:31.620]  我們等候主
[00:01:31.620 --> 00:01:33.460]  藉由你寶貴的聖靈
[00:01:33.460 --> 00:01:35.460]  引導我們的心思
[00:01:35.460 --> 00:01:37.860]  讓我們能夠進入你的真理
[00:01:37.860 --> 00:01:40.460]  又行在你的真理中
[00:01:40.460 --> 00:01:42.160]  我們同心仰望
[00:01:42.160 --> 00:01:44.620]  奉耶穌基督聖名祈求
[00:01:44.620 --> 00:01:47.700]  阿彌陀佛
[00:01:47.700 --> 00:01:49.120]  我們今天也會繼續思想
[00:01:49.120 --> 00:01:50.720]  《楊一書》的經文
[00:01:50.720 --> 00:01:53.020]  特別思想到聖經所提及的
[00:01:53.020 --> 00:01:54.820]  如何辨別真理的靈
[00:01:54.820 --> 00:01:58.020]  和欺騙的靈
[00:01:58.020 --> 00:01:59.020]  大家都會留意到
[00:01:59.020 --> 00:02:00.500]  我們過去一段時間
[00:02:00.500 --> 00:02:02.500]  讀到《楊一書》的時候
[00:02:02.500 --> 00:02:04.620]  聖經不斷地鼓勵我們
[00:02:04.620 --> 00:02:07.320]  更加知道去感恩
[00:02:07.320 --> 00:02:09.920]  因為神何等地愛我們
[00:02:09.920 --> 00:02:12.620]  稱我們為祂的兒女
[00:02:12.620 --> 00:02:15.820]  我們都真實的是神的兒女
[00:02:15.820 --> 00:02:17.060]  聖經又不斷鼓勵我們
[00:02:17.060 --> 00:02:18.900]  要聽眾神的命令
[00:02:18.900 --> 00:02:20.660]  我們彼此的相愛
[00:02:20.660 --> 00:02:24.300]  是實踐真正愛人的生命
[00:02:24.300 --> 00:02:25.700]  當我們讀遠點聖經的時候
[00:02:25.700 --> 00:02:28.160]  你會發覺聖經一直在說愛
[00:02:28.160 --> 00:02:30.560]  但是聖經同時在《楊一書》裡面
[00:02:30.560 --> 00:02:33.220]  很清楚提出一個方向
[00:02:33.220 --> 00:02:36.960]  就是「遵行真理」
[00:02:36.960 --> 00:02:38.760]  「分辨真理」
[00:02:38.760 --> 00:02:41.520]  又「行在真理中」
[00:02:41.520 --> 00:02:43.400]  你會發覺聖經裡面很清楚
[00:02:43.400 --> 00:02:47.820]  沒有將愛和真理分割開的
