
[00:00:00.000 --> 00:00:02.680]  各位北愛爾蘭的弟兄姊妹你們好
[00:00:02.680 --> 00:00:05.120]  很高興和大家在崇拜裏面
[00:00:05.120 --> 00:00:07.120]  一起分享神的話語
[00:00:07.120 --> 00:00:09.640]  上一次教會邀請我來講
[00:00:09.640 --> 00:00:12.000]  《尼希米記》第四章
[00:00:12.000 --> 00:00:14.360]  在聖經裏面我看到
[00:00:14.360 --> 00:00:18.960]  尼希米要帶領子民重建聖殿的時候
[00:00:18.960 --> 00:00:23.880]  承詳他們所面對的挑戰和誘惑
[00:00:23.880 --> 00:00:25.080]  請大家記住
[00:00:25.080 --> 00:00:26.920]  我們為神工作的時候
[00:00:26.920 --> 00:00:28.920]  一定不會順利的
[00:00:28.920 --> 00:00:32.440]  因為仇直達但一定會攻擊我們
[00:00:32.440 --> 00:00:34.440]  要破壞神的事工
[00:00:34.440 --> 00:00:38.200]  尼希米回國帶領子民重建城牆的時候
[00:00:38.200 --> 00:00:40.520]  他可以說是四面楚歌
[00:00:40.520 --> 00:00:43.920]  他受著很多敵人來帶去入侵
[00:00:43.920 --> 00:00:46.600]  他們先用言語去侮辱他們
[00:00:46.600 --> 00:00:47.960]  恐嚇他們
[00:00:47.960 --> 00:00:50.680]  然後繼續派人混入他們當中
[00:00:50.680 --> 00:00:53.200]  然後做搞亂的工作
[00:00:53.200 --> 00:00:54.880]  甚至要殺害一些人
[00:00:54.880 --> 00:00:56.880]  使他們來到驚恐
[00:00:56.880 --> 00:01:01.800]  沒辦法能夠專心的去工作
[00:01:01.800 --> 00:01:04.600]  使他們的工作停頓
[00:01:04.600 --> 00:01:08.080]  但尼希米他專心仰望神
[00:01:08.080 --> 00:01:09.320]  不為所動
[00:01:09.320 --> 00:01:13.440]  所以很快城牆已經建好一半了
[00:01:13.440 --> 00:01:16.800]  這就是我們上次看第四章的
[00:01:16.800 --> 00:01:20.520]  但今天我們會看敵人改變策略了
[00:01:20.520 --> 00:01:25.160]  今次他們重點是攻擊尼希米本人
[00:01:25.160 --> 00:01:30.000]  第六章我們看到敵人是用不同的詭計
[00:01:30.000 --> 00:01:33.920]  甚至是用詭計詭怪的詭人
[00:01:33.920 --> 00:01:36.240]  是魔鬼的政策
[00:01:36.240 --> 00:01:38.440]  來攻擊尼希米
[00:01:38.440 --> 00:01:44.720]  而尼希米又如何用智慧去分析這些詭計和回應呢?
[00:01:44.720 --> 00:01:46.720]  就是我們今天所學的
[00:01:46.720 --> 00:01:48.000]  第一點
[00:01:48.000 --> 00:01:50.760]  我們看看擒賊先擒王
[00:01:50.760 --> 00:01:52.440]  古語有云
[00:01:52.440 --> 00:01:56.080]  「射人先射馬,擒賊先擒王」
[00:01:56.080 --> 00:01:58.440]  如果打倒了領袖的時候
[00:01:58.440 --> 00:02:01.760]  群眾就很容易被擊敗了
[00:02:01.760 --> 00:02:03.280]  主耶穌曾經說
[00:02:03.280 --> 00:02:07.080]  大家看看馬福音第十四章第27節
[00:02:07.080 --> 00:02:09.200]  「你們都要跌倒了」
[00:02:09.200 --> 00:02:11.200]  因為經上記著說
[00:02:11.200 --> 00:02:15.560]  「我要擊打牧人,羊就分散了」
[00:02:15.560 --> 00:02:20.480]  我們如果好好地守望我們的領袖、牧者
[00:02:20.480 --> 00:02:23.840]  他們積極、正面會影響我們
[00:02:23.840 --> 00:02:25.240]  但很可惜
[00:02:25.240 --> 00:02:29.200]  牧者或者我們正面的影響是很有限的
[00:02:29.200 --> 00:02:33.040]  但如果牧者跌倒、軟弱、失敗
[00:02:33.040 --> 00:02:35.040]  當然他要自己負責
[00:02:35.040 --> 00:02:38.200]  但影響層面就很大了
[00:02:38.200 --> 00:02:40.640]  所以今天我們要記住
