
[00:00:00.000 --> 00:00:02.000]  認罪真的很難
[00:00:02.000 --> 00:00:05.300]  要約伯認罪其實真的很難
[00:00:05.300 --> 00:00:08.700]  聖經明明講約伯是一個義人
[00:00:08.700 --> 00:00:10.700]  公開講約伯是一個義人
[00:00:10.700 --> 00:00:13.200]  約伯是一個德高望重的人
[00:00:13.200 --> 00:00:15.600]  約伯是一個被人所尊重的人
[00:00:15.600 --> 00:00:18.100]  約伯同樣在上帝的眼中
[00:00:18.100 --> 00:00:22.300]  上帝親口來講他是我的僕人
[00:00:22.300 --> 00:00:23.600]  如果用今天來說
[00:00:23.600 --> 00:00:25.900]  他的確是一個德高望重
[00:00:25.900 --> 00:00:27.200]  個個都會尊重
[00:00:27.200 --> 00:00:29.800]  亦都是一位願意在教會當中
[00:00:29.800 --> 00:00:32.400]  給心機很熱心的
[00:00:32.400 --> 00:00:34.900]  侍奉的一個好的弟兄
[00:00:34.900 --> 00:00:36.200]  要一個這麼好的弟兄
[00:00:36.200 --> 00:00:39.400]  來認罪悔改的確不容易
[00:00:39.400 --> 00:00:41.300]  特別在當時一個所謂
[00:00:41.300 --> 00:00:44.700]  報應論的一個神學觀底下
[00:00:44.700 --> 00:00:46.900]  罪就帶來苦難
[00:00:46.900 --> 00:00:48.800]  究竟是不是罪是唯一一個原因
[00:00:48.800 --> 00:00:50.000]  帶來苦難裏面
[00:00:50.000 --> 00:00:52.000]  他所爭拗的裏面
[00:00:52.000 --> 00:00:54.100]  以致要他認罪悔改
[00:00:54.100 --> 00:00:56.200]  的確是不容易
[00:00:56.200 --> 00:00:58.300]  他曾經很理直氣壯的跟上帝講
[00:00:58.300 --> 00:01:01.300]  上帝我和祢要在法庭見
[00:01:01.300 --> 00:01:04.900]  祢要讓我去表白我自己的無辜
[00:01:04.900 --> 00:01:07.100]  當你聽完我所表白之後
[00:01:07.100 --> 00:01:09.400]  你都會相信我真是無辜
[00:01:09.400 --> 00:01:12.000]  我是一個無辜的受苦者
[00:01:12.000 --> 00:01:13.800]  但一位這麼理直氣壯的人
[00:01:13.800 --> 00:01:16.900]  忽然之間在四十二章第六節
[00:01:16.900 --> 00:01:18.600]  他講了這個說話
[00:01:18.600 --> 00:01:21.400]  他說因此厭惡我自己
[00:01:21.400 --> 00:01:25.100]  在塵土和爐灰中懊悔
[00:01:25.100 --> 00:01:26.500]  他忽然間跟上帝講
[00:01:26.500 --> 00:01:28.900]  關於上帝我真是錯的
[00:01:28.900 --> 00:01:30.100]  請祢原諒我
[00:01:30.100 --> 00:01:31.900]  我知道我自己錯在哪裏
