
[00:00:00.000 --> 00:00:05.000]  讓我們在港道聽道以詩 我們同心的禱告
[00:00:05.000 --> 00:00:09.000]  差的恩主 我們謙卑來到你的跟前
[00:00:09.000 --> 00:00:15.000]  我們感謝主 差派你的獨生兒子 耶穌基督成就寶貴的救恩
[00:00:15.000 --> 00:00:18.000]  感謝你賜下寶貴的話語
[00:00:18.000 --> 00:00:22.000]  感謝你賜下寶貴的聖靈 引導我們進入真理
[00:00:22.000 --> 00:00:25.000]  願你的靈在我們當中自由運行
[00:00:25.000 --> 00:00:27.000]  去釋放你自己的信息
[00:00:27.000 --> 00:00:32.000]  以致無論講的 聽的 一同去蒙受你的恩典
[00:00:32.000 --> 00:00:34.000]  生命可以給你去建立
[00:00:34.000 --> 00:00:39.000]  聽我們的禱告 奉教我救主 耶穌基督 寶貴聖名去求
[00:00:39.000 --> 00:00:41.000]  阿們
[00:00:41.000 --> 00:00:44.000]  今天要問大家 你有沒有永生的確懼
[00:00:44.000 --> 00:00:48.000]  我想大部份的弟兄姊妹可能很快 不難就回答到我 有
[00:00:48.000 --> 00:00:51.000]  我信耶穌基督是神的兒子為我們聚焙
[00:00:51.000 --> 00:00:53.000]  在十字架上 三秒後復活 戰勝死亡
[00:00:53.000 --> 00:00:57.000]  接受耶穌基督做我的救主生命的主等等
[00:00:57.000 --> 00:01:01.000]  不過 假如我繼續問下去
[00:01:01.000 --> 00:01:03.000]  有了永生的確懼把握
[00:01:03.000 --> 00:01:07.000]  我們現在仍然存活在地上的日子
[00:01:07.000 --> 00:01:13.000]  可以怎樣進入一個很豐盛永恆的生命
[00:01:13.000 --> 00:01:16.000]  我們可能要靜下來
[00:01:16.000 --> 00:01:20.000]  認真想想怎樣回答
[00:01:20.000 --> 00:01:28.000]  苦心自問 我們的生命是否真的感到很豐盛
[00:01:28.000 --> 00:01:31.000]  很多年前 有機會和我的一位同學
[00:01:31.000 --> 00:01:35.000]  和她媽媽一起去北海道旅行 跟團
[00:01:35.000 --> 00:01:37.000]  有一晚吃火鍋
[00:01:37.000 --> 00:01:40.000]  同學很疼媽媽 指揮
[00:01:40.000 --> 00:01:43.000]  叫了一客很貴的燒和牛
[00:01:43.000 --> 00:01:45.000]  來到的時候 我口水流下來了
[00:01:45.000 --> 00:01:48.000]  當然一塊也不敢吃 因為是給伯母吃的
[00:01:48.000 --> 00:01:50.000]  當天伯母吃了一塊
[00:01:50.000 --> 00:01:53.000]  她說「有點生的」
[00:01:53.000 --> 00:01:56.000]  正在帶火鍋 你猜她怎樣做
[00:01:56.000 --> 00:01:58.000]  放在火鍋裡煮
[00:01:58.000 --> 00:02:01.000]  不是三秒那一隻 只是煮一煮
[00:02:01.000 --> 00:02:03.000]  拿回來說「不太好」
[00:02:03.000 --> 00:02:05.000]  「你這樣吃當然不太好」
[00:02:05.000 --> 00:02:08.000]  一塊又一塊 到我不作聲
[00:02:08.000 --> 00:02:10.000]  我忍不住說
[00:02:10.000 --> 00:02:13.000]  「伯母不是這樣吃的 很浪費」
[00:02:13.000 --> 00:02:15.000]  伯母生的又不敢吃
[00:02:15.000 --> 00:02:17.000]  煮的又不敢吃 真慘
[00:02:17.000 --> 00:02:20.000]  是吃了 但是很浪費
[00:02:20.000 --> 00:02:23.000]  回到我們剛才的問題
[00:02:23.000 --> 00:02:25.000]  信徒有永生的確據
[00:02:25.000 --> 00:02:27.000]  但是我們有沒有進入永生
[00:02:27.000 --> 00:02:30.000]  帶來豐盛的生命 有沒有浪費呢
[00:02:30.000 --> 00:02:33.000]  很想藉著今天的經文
[00:02:33.000 --> 00:02:35.000]  我們一起去思想
[00:02:35.000 --> 00:02:37.000]  我們進入了約翰一書
[00:02:37.000 --> 00:02:40.000]  最後一個結語的段落
[00:02:40.000 --> 00:02:42.000]  首先我們簡單的
[00:02:42.000 --> 00:02:45.000]  看一下上文的總綱
[00:02:45.000 --> 00:02:47.000]  當時教會面對有
[00:02:47.000 --> 00:02:49.000]  假教師的出現 捏造謬論
[00:02:49.000 --> 00:02:51.000]  引來教會裡的紛爭
[00:02:51.000 --> 00:02:53.000]  信徒受到傷害
[00:02:53.000 --> 00:02:55.000]  這些謬論說邪惡是因為
[00:02:55.000 --> 00:02:57.000]  接觸物質世界而產生的
[00:02:57.000 --> 00:03:00.000]  所以神的兒子耶穌基督
[00:03:00.000 --> 00:03:02.000]  不可能真是人
[00:03:02.000 --> 00:03:04.000]  而得救與你的道德生活
[00:03:04.000 --> 00:03:06.000]  愛不愛人無關
[00:03:06.000 --> 00:03:08.000]  簡單來說我們看到在教義上
[00:03:08.000 --> 00:03:10.000]  在道德行為
