
[00:00:00.000 --> 00:00:02.820]  我哋人生都總係會做一啲計劃
[00:00:02.820 --> 00:00:06.740]  唔知大家有冇聽過呢個人
[00:00:06.740 --> 00:00:12.400]  前日本首富軟體銀行即係softbank
[00:00:12.400 --> 00:00:13.820]  一個創辦人
[00:00:13.820 --> 00:00:15.980]  佢叫做孫正義
[00:00:15.980 --> 00:00:19.900]  佢人生做咗個50年嘅計劃
[00:00:19.900 --> 00:00:20.900]  咁樣嘅係咁
[00:00:20.900 --> 00:00:22.560]  我搵張powerpoint
[00:00:22.560 --> 00:00:24.800]  佢係一個韓裔
[00:00:24.800 --> 00:00:26.180]  即係日本嘅商人
[00:00:26.180 --> 00:00:28.680]  所以佢嗰個介紹就係咁
[00:00:28.680 --> 00:00:31.720]  19歲嘅時候佢做咗個50年嘅計劃
[00:00:31.720 --> 00:00:33.080]  咁你20歲去做咩呢
[00:00:33.080 --> 00:00:34.500]  咁你唔識睇嗰啲字㗎
[00:00:34.500 --> 00:00:38.440]  上一張上一張
[00:00:38.440 --> 00:00:39.660]  係冇翻譯㗎
[00:00:39.660 --> 00:00:42.860]  佢講緊20歲嘅時候
[00:00:42.860 --> 00:00:44.460]  佢19歲預備做計劃啦
[00:00:44.460 --> 00:00:45.660]  20歲佢未講
[00:00:45.660 --> 00:00:46.400]  跟住講咩呢
[00:00:46.400 --> 00:00:49.400]  30歲佢就要創一番嘅成績
[00:00:49.400 --> 00:00:51.000]  到40歲之前
[00:00:51.000 --> 00:00:55.820]  佢就要累積至少1000億嘅日圓資金
[00:00:55.820 --> 00:00:58.440]  50歲嘅時候佢要決定勝負
[00:00:58.440 --> 00:01:00.400]  佢人生入面要贏
[00:01:00.400 --> 00:01:01.520]  佢想贏一啲嘢
[00:01:01.520 --> 00:01:02.400]  佢冇講贏咩
[00:01:02.400 --> 00:01:03.640]  但佢要贏
[00:01:03.640 --> 00:01:07.120]  60歲之前佢要擁有成功嘅企業
[00:01:07.120 --> 00:01:09.520]  70歲之前有哂事業啦
[00:01:09.520 --> 00:01:10.280]  有哂錢啦
[00:01:10.280 --> 00:01:10.880]  咁點呀
[00:01:10.880 --> 00:01:11.960]  佢好叻喎
[00:01:11.960 --> 00:01:13.200]  佢要交盤
[00:01:13.200 --> 00:01:15.320]  希望你有下一代嚟對佢接手
[00:01:15.320 --> 00:01:16.320]  結果係點呢
[00:01:16.320 --> 00:01:17.600]  結果
[00:01:17.600 --> 00:01:19.320]  喺佢24歲嘅時候
[00:01:19.320 --> 00:01:23.840]  佢就成立咗日本嘅軟體銀行softbank
[00:01:23.840 --> 00:01:25.800]  38歲嘅時候
[00:01:25.800 --> 00:01:28.120]  佢公司股票就上市啦
[00:01:28.120 --> 00:01:31.880]  40歲佢成為美國雅虎最大嘅股東
[00:01:31.880 --> 00:01:35.000]  42歲佢就成為大家聽過呢隻股份
[00:01:35.000 --> 00:01:36.680]  阿里巴巴主要嘅股東
[00:01:36.680 --> 00:01:38.120]  51歲
[00:01:38.120 --> 00:01:40.720]  佢有45家上市公司
[00:01:40.720 --> 00:01:42.520]  54歲
[00:01:42.520 --> 00:01:46.600]  佢有81億美金嘅資產
[00:01:46.600 --> 00:01:49.800]  佢成為日本最富有嘅人
[00:01:49.800 --> 00:01:51.560]  佢今年幾歲呢
[00:01:51.560 --> 00:01:54.880]  佢1957年出世
[00:01:54.880 --> 00:01:57.360]  今年幾多歲呀
[00:01:57.360 --> 00:01:59.520]  佢57歲
