
[00:00:00.000 --> 00:00:05.800]  做主中心的管家,是我們在教會裡面耳熟能詳的一個名詞。
[00:00:05.800 --> 00:00:08.900]  這些年我越來越思想到,
[00:00:08.900 --> 00:00:15.800]  聖經所說的中心,其實跟我們一般人所想的中心是不大一樣。
[00:00:15.800 --> 00:00:20.800]  一般來講,當我們提到中心的時候,我們所想到的是,
[00:00:20.800 --> 00:00:26.200]  一個人如果能夠原封不動,把別人所交託給他的東西,
[00:00:26.200 --> 00:00:31.400]  交還回去的話,那他就算是個中心的人,不是嗎?
[00:00:31.400 --> 00:00:37.600]  事實上這種中心的觀念,跟耶穌所教導的相差非常遙遠。
[00:00:37.600 --> 00:00:43.000]  在馬太福音25章,主在用這個比喻講到中心的觀念的時候,
[00:00:43.000 --> 00:00:47.400]  他特別講到那個領一千銀子的僕人,
[00:00:47.400 --> 00:00:54.400]  他把主人所給他的一千銀子,原封不動地還給主人的時候,
[00:00:54.400 --> 00:00:57.800]  按照我們現在的角度來看的話,
[00:00:57.800 --> 00:01:00.200]  這個人是蠻中心的,不是嗎?
[00:01:00.200 --> 00:01:03.800]  你給他一千,他還你一千,是蠻中心的。
[00:01:03.800 --> 00:01:08.600]  但主耶穌卻說這個人是又餓又懶的僕人,
[00:01:08.600 --> 00:01:14.800]  反而他說那個拿五千銀子,又去賺了另外五千的那一位,
[00:01:14.800 --> 00:01:19.800]  以及那個拿兩千兩銀子,又賺回兩千兩的那一位,
[00:01:19.800 --> 00:01:24.400]  他們才是真正中心的人。
[00:01:24.400 --> 00:01:31.000]  可見得主所說的中心,是有一種賺取的含義在其中。
[00:01:31.000 --> 00:01:36.800]  既然是賺取,就表示其中一定會有風險的存在。
[00:01:36.800 --> 00:01:40.800]  換句話說,一個神國的管家是怎麼樣呢?
[00:01:40.800 --> 00:01:45.000]  他必須是憑信心去冒險,
[00:01:45.000 --> 00:01:51.000]  他必須要在看不到結果的時候,就勇敢地去投資。
[00:01:51.000 --> 00:01:56.600]  這個樣子他才能夠得到精力道神應許的祝福。
[00:01:56.600 --> 00:01:59.800]  所以當我們在講這個中心的管家的時候,
[00:01:59.800 --> 00:02:04.000]  其實有一個更正確的名詞應該說什麼呢?
[00:02:04.000 --> 00:02:06.800]  是神國的冒險家。
[00:02:06.800 --> 00:02:11.800]  跟你們說,你要做個神國冒險家,跟他說。
[00:02:11.800 --> 00:02:14.800]  你知道我們中國人一向非常會做生意,
[00:02:14.800 --> 00:02:20.800]  在矽谷我們也多多少少都參與一種投資跟買賣。
[00:02:20.800 --> 00:02:25.600]  而所謂這種風險的觀念對我們來講不應該很陌生。
