
[00:00:00.000 --> 00:00:04.080]  頂指每月主內蒙恩 聖誕快樂
[00:00:04.080 --> 00:00:06.280]  聖誕節就快到了
[00:00:06.280 --> 00:00:08.000]  往年大概在十一月的時間
[00:00:08.000 --> 00:00:10.400]  香港已經準備寬度聖誕
[00:00:10.400 --> 00:00:13.240]  小時候的我們會期待聖誕節
[00:00:13.240 --> 00:00:17.080]  因為有家房 有食物 有氣氛 有禮物
[00:00:17.080 --> 00:00:19.480]  我想大家現在就快放假
[00:00:19.480 --> 00:00:21.000]  有些學校已經放假
[00:00:21.000 --> 00:00:24.120]  不過疫情令到你經常在家
[00:00:24.120 --> 00:00:27.200]  對放假的期待都會大減
[00:00:27.200 --> 00:00:30.720]  說到吃 要吃慶祝聖誕的食品
[00:00:30.720 --> 00:00:33.800]  看來今年都是要叫外賣
[00:00:33.800 --> 00:00:36.520]  氣氛有沒有? 都有的
[00:00:36.520 --> 00:00:39.440]  最起碼你還可以在街上或者商店
[00:00:39.440 --> 00:00:41.880]  看到一些聖誕的裝飾
[00:00:41.880 --> 00:00:45.080]  只不過你看到絕大部份的裝飾
[00:00:45.080 --> 00:00:48.240]  其實不太關聖誕事
[00:00:48.240 --> 00:00:52.800]  聖誕路人? 聖誕樹? 聖誕鹿?
[00:00:52.800 --> 00:00:57.400]  不知道你又怎樣看今年疫情當中的聖誕呢?
[00:00:57.400 --> 00:01:01.720]  今年的聖誕正好讓我們一起去重設
[00:01:01.720 --> 00:01:07.720]  再去想一想聖誕最重要的原因是什麼呢?
[00:01:07.720 --> 00:01:11.360]  四個字 以馬奈里
[00:01:11.360 --> 00:01:14.200]  以馬奈里? 什麼馬?
[00:01:14.200 --> 00:01:16.520]  是不是和馬槽有關?
[00:01:16.520 --> 00:01:18.840]  有些人可能害怕不到
[00:01:18.840 --> 00:01:20.640]  以馬奈里 給你一個英文
[00:01:20.640 --> 00:01:23.760]  Emmanuel 老老實實說
[00:01:23.760 --> 00:01:26.440]  都還是可以不知道是什麼
