
[00:00:00.000 --> 00:00:02.500]  這個禮拜和下個禮拜講到的內容
[00:00:02.500 --> 00:00:07.500]  是來自這本書叫做《教會動力大轉化》這本書的內容
[00:00:07.500 --> 00:00:09.000]  我們知道
[00:00:09.000 --> 00:00:11.200]  在美國這本書的作者
[00:00:11.200 --> 00:00:12.800]  是藉着一個機構
[00:00:12.800 --> 00:00:16.800]  去到美國不同的教會進行一些訓練
[00:00:16.800 --> 00:00:18.800]  這些訓練是trainer trainer的
[00:00:18.800 --> 00:00:21.500]  就是訓練一些教務童工
[00:00:21.500 --> 00:00:26.800]  往往在他們開訓練會議的時候
[00:00:26.800 --> 00:00:30.100]  在第一堂這個作者都會問在座的教務
[00:00:30.100 --> 00:00:34.800]  究竟是教會存在的目的是什麼呢?
[00:00:34.800 --> 00:00:37.800]  今天我們知道無論公司或者政府
[00:00:37.800 --> 00:00:41.100]  我們都會有寫了我們的vision and mission
[00:00:41.100 --> 00:00:43.800]  我們的使命和我們的意向
[00:00:43.800 --> 00:00:46.500]  但是教會的意向和使命
[00:00:46.500 --> 00:00:49.100]  不應該由人自己來定
[00:00:49.100 --> 00:00:50.800]  必須要由耶穌基督來定
[00:00:50.800 --> 00:00:52.800]  因爲他是教會的元首
[00:00:52.800 --> 00:00:54.800]  是不是?很清楚地
[00:00:54.800 --> 00:00:58.800]  所以這些教務童工在上課的時候
[00:00:58.800 --> 00:01:01.800]  都是很一致地說了答案
[00:01:01.800 --> 00:01:05.800]  就是教會是要來訓練門徒的
[00:01:05.800 --> 00:01:06.800]  但是問題是
[00:01:06.800 --> 00:01:09.800]  當作者問第二個問題的時候
[00:01:09.800 --> 00:01:11.800]  如果是訓練門徒的話
[00:01:11.800 --> 00:01:13.800]  那什麼叫做門徒呢?
[00:01:13.800 --> 00:01:15.800]  門徒的定義是什麼呢?
[00:01:15.800 --> 00:01:18.300]  當第二個問題發問的時候
[00:01:18.300 --> 00:01:19.800]  在不同的省份
[00:01:19.800 --> 00:01:22.300]  不同的州的教務童工
[00:01:22.300 --> 00:01:26.300]  就算在不同的課程裏面
[00:01:26.300 --> 00:01:27.800]  只要坐在一起
[00:01:27.800 --> 00:01:31.300]  不同的教務童工就對門徒有不同的定義
[00:01:31.300 --> 00:01:34.300]  這是一個危機
[00:01:34.300 --> 00:01:37.300]  因爲我們同講一個字
[00:01:37.300 --> 00:01:38.800]  但是定義不一樣
[00:01:38.800 --> 00:01:39.800]  那就是大問題
[00:01:39.800 --> 00:01:41.300]  回到國內
[00:01:41.300 --> 00:01:42.800]  很多時候的矛盾就是
[00:01:42.800 --> 00:01:46.800]  我們的用詞和他用詞是同一個字
[00:01:46.800 --> 00:01:48.800]  但是定義可以不一樣
[00:01:48.800 --> 00:01:50.800]  你想想如果你在餐廳買蛋撻
[00:01:50.800 --> 00:01:53.800]  拿出來的蛋撻不是你所期望的蛋撻
[00:01:53.800 --> 00:01:55.300]  那你就很奇怪
[00:01:55.300 --> 00:01:56.800]  所以同樣地
[00:01:56.800 --> 00:01:59.800]  這些訓練裏面產生了一個問題就是
[00:01:59.800 --> 00:02:02.800]  原來有不同的教務童工
[00:02:02.800 --> 00:02:05.800]  甚至同一間教會的教務童工
[00:02:05.800 --> 00:02:08.800]  都會對門徒的定義不一樣的時候
[00:02:08.800 --> 00:02:14.800]  難怪今天我們各人儘自己的努力去做訓練
[00:02:14.800 --> 00:02:19.300]  但是出來的效果或者出來的品種不一樣
[00:02:19.300 --> 00:02:23.800]  所以作者就在這裏想提出兩件事情
