
[00:00:00.000 --> 00:00:00.840]  姐妹們 早安
[00:00:00.840 --> 00:00:04.340]  很高興能夠再次和大家同心敬拜主
[00:00:04.340 --> 00:00:06.400]  一起聆聽主的說話
[00:00:06.400 --> 00:00:08.700]  學習認識我們的主更多
[00:00:08.700 --> 00:00:10.480]  讓我們一起再次透過禱告
[00:00:10.480 --> 00:00:11.400]  將我們的身心靈
[00:00:11.400 --> 00:00:13.340]  交給我們的主 我們的神
[00:00:13.340 --> 00:00:16.280]  隔世根基宗姐妹能夠再次來到伊統
[00:00:16.280 --> 00:00:18.480]  來學習神的話語
[00:00:18.480 --> 00:00:19.820]  讓我們再次透過大家
[00:00:19.820 --> 00:00:25.320]  把心靈交在我們主的手上
[00:00:25.320 --> 00:00:26.400]  是一個很大的榮幸
[00:00:26.400 --> 00:00:29.100]  我可以再次有這個機會
[00:00:29.100 --> 00:00:32.560]  讓我們能夠一起學習神的話語
[00:00:32.560 --> 00:00:34.940]  並且可以教會我們的主
[00:00:34.940 --> 00:00:36.100]  所以讓我們把頭放在前面
[00:00:36.100 --> 00:00:37.640]  並且把心靈準備好
[00:00:37.640 --> 00:00:40.940]  透過聖靈
[00:00:40.940 --> 00:00:41.980]  差異恩主 多謝祢
[00:00:41.980 --> 00:00:43.640]  讓我們能夠再次回來
[00:00:43.640 --> 00:00:45.680]  在祢寶貴的說話的面前
[00:00:45.680 --> 00:00:47.080]  一起學習
[00:00:47.080 --> 00:00:48.640]  求祢與我們同在
[00:00:48.640 --> 00:00:52.580]  讓我們的心能夠更加靠近祢
[00:00:52.580 --> 00:00:54.080]  如果能夠在
[00:00:54.080 --> 00:00:56.320]  聆聽主的說話的過程當中
[00:00:56.320 --> 00:00:58.020]  得蒙聖靈的引導
[00:00:58.020 --> 00:01:01.200]  讓我們能夠更全盤地認識到
[00:01:01.200 --> 00:01:02.960]  上帝是怎樣為我們駐守
[00:01:02.960 --> 00:01:06.760]  怎樣為我們鋪排這條拯救的道路
[00:01:06.760 --> 00:01:09.100]  我們的聖父 多謝祢
[00:01:09.100 --> 00:01:12.480]  讓我們有這個機會
[00:01:12.480 --> 00:01:14.380]  不僅可以一起拜祭
[00:01:14.380 --> 00:01:17.440]  還可以一起學習祢的話語
[00:01:17.440 --> 00:01:20.540]  讓我們能夠靠近祢的心
[00:01:20.540 --> 00:01:22.380]  同時我們也能夠知道
[00:01:22.380 --> 00:01:28.720]  如何走在祢在我們面前的道路
[00:01:28.720 --> 00:01:30.360]  向著永恆
[00:01:30.360 --> 00:01:31.900]  所以我們祈求祢
[00:01:31.900 --> 00:01:35.120]  祈求祢的聖靈給我們指導
[00:01:35.120 --> 00:01:36.400]  我們親愛的父神跟聖靈
[00:01:36.400 --> 00:01:38.560]  給我們今天能夠再次來到
[00:01:38.560 --> 00:01:40.440]  祢的寶貴話語跟前
[00:01:40.440 --> 00:01:42.040]  一起來的研讀
[00:01:42.040 --> 00:01:44.000]  求祢的聖靈帶領我們
[00:01:44.000 --> 00:01:46.040]  能夠準確把握上帝
[00:01:46.040 --> 00:01:47.900]  祢在當中的教訓
[00:01:47.900 --> 00:01:49.640]  支援帶領我們走這條
[00:01:49.640 --> 00:01:50.940]  屬靈的道路
[00:01:50.940 --> 00:01:52.180]  求祢的帶領
[00:01:52.180 --> 00:01:54.080]  由我們求祢的聖靈
[00:01:54.080 --> 00:01:56.820]  也讓我們能夠不但
[00:01:56.820 --> 00:01:59.020]  能夠準確領受當中的教訓
[00:01:59.020 --> 00:02:00.460]  也讓我們知道
[00:02:00.460 --> 00:02:02.160]  如何來到火處
[00:02:02.160 --> 00:02:04.160]  有主祢的樣式
[00:02:04.160 --> 00:02:05.320]  求祢的帶領
[00:02:05.320 --> 00:02:06.300]  我們禱告
[00:02:06.300 --> 00:02:08.000]  封主耶穌的名臣
