
[00:00:00.000 --> 00:00:02.900]  在華人教會裏面 我相信大家一定聽過
[00:00:02.900 --> 00:00:05.900]  藤近輝牧師這位德高望重的前輩
[00:00:05.900 --> 00:00:10.900]  在他的喪禮一個追思的序號裏面
[00:00:10.900 --> 00:00:13.900]  另外一位我們大家熟悉的蔡元文醫生
[00:00:13.900 --> 00:00:19.900]  就在一個追悼的他公開的演論裏面
[00:00:19.900 --> 00:00:24.900]  他就說有一次他跟藤牧師就在台灣
[00:00:24.900 --> 00:00:26.900]  一起去主領序會
[00:00:26.900 --> 00:00:31.900]  不知道大家有沒有聽過或者出席過蔡醫的講法
[00:00:31.900 --> 00:00:36.900]  他就發現跟藤牧師很近距離接觸
[00:00:36.900 --> 00:00:38.900]  跟他一起住在一間房
[00:00:38.900 --> 00:00:40.900]  藤牧師就真是很厲害的
[00:00:40.900 --> 00:00:42.900]  一年領五六個序會
[00:00:42.900 --> 00:00:46.900]  講五六篇道好像面絕無倦容
[00:00:46.900 --> 00:00:50.900]  我們一個禮拜一晚講一篇序會好像想死一樣
[00:00:50.900 --> 00:00:54.900]  但藤牧師就真是一日講四五篇道
[00:00:54.900 --> 00:00:58.900]  所以蔡醫生就忍不住就問藤牧師
[00:00:58.900 --> 00:01:01.900]  為什麼你可以講這麼多篇道理都不累的呢
[00:01:01.900 --> 00:01:03.900]  有什麼秘訣呢
[00:01:03.900 --> 00:01:08.900]  藤牧師就說講道是我最好休息的時間
[00:01:08.900 --> 00:01:10.900]  有多高境界呢
[00:01:10.900 --> 00:01:13.900]  講道是我最好休息的時間
[00:01:13.900 --> 00:01:15.900]  跟著蔡醫就補充多一句
[00:01:15.900 --> 00:01:19.900]  他說你講道就是你最好休息的時間
[00:01:19.900 --> 00:01:23.900]  不過我講道就是匯眾最好休息的時間
[00:01:23.900 --> 00:01:31.900]  今晚或許你會更體會蔡醫這句說話
[00:01:31.900 --> 00:01:34.900]  因為今晚講一段經文是相當相當複雜的
[00:01:34.900 --> 00:01:36.900]  或者很坦白講
[00:01:36.900 --> 00:01:39.900]  很多細節到現在我都未能完全掌握
[00:01:39.900 --> 00:01:43.900]  《羅莫書第五章》十二到二十一節的經文
[00:01:43.900 --> 00:01:45.900]  很多時我們被稱為
[00:01:45.900 --> 00:01:48.900]  談論到聖經裡面講到原罪的教義
[00:01:48.900 --> 00:01:51.900]  是一段最透徹的聖經
[00:01:51.900 --> 00:01:54.900]  這段經文的複雜性
[00:01:54.900 --> 00:01:55.900]  我想我不需要多講了
[00:01:55.900 --> 00:01:56.900]  如果你有興趣的話
[00:01:56.900 --> 00:02:01.900]  你去看一些比較好的聖經書
[00:02:01.900 --> 00:02:03.900]  什麼叫比較好的聖經書呢
[00:02:03.900 --> 00:02:06.900]  大體上比較厚一點就是比較好的
[00:02:06.900 --> 00:02:08.900]  不一定不過很多時都是
[00:02:08.900 --> 00:02:09.900]  你看一下你就知道
[00:02:09.900 --> 00:02:12.900]  只是這段經文的解釋
[00:02:12.900 --> 00:02:16.900]  可以說是數以幾十頁上過百頁的地方
[00:02:16.900 --> 00:02:18.900]  去解釋這段短短的經文
[00:02:18.900 --> 00:02:20.900]  你就見到這段經文的複雜性
[00:02:20.900 --> 00:02:22.900]  我希望今晚能夠提高見領
[00:02:22.900 --> 00:02:26.900]  在中間把結論和大家一起分享
[00:02:26.900 --> 00:02:29.900]  我覺得是一段相當重要的聖經
[00:02:29.900 --> 00:02:34.900]  今日我們的題目是亞當與基督
[00:02:34.900 --> 00:02:39.900]  很感謝我們當中的一些守禦區弟兄姊妹
[00:02:39.900 --> 00:02:41.900]  他們很忠心很早就來到
[00:02:41.900 --> 00:02:43.900]  亦都有我們很忠心的翻譯
[00:02:43.900 --> 00:02:45.900]  今晚希望我們的投影片
