
[00:00:00.000 --> 00:00:02.560]  剛才所讀的經文
[00:00:02.560 --> 00:00:05.200]  大家是否都覺得很熟悉呢
[00:00:05.200 --> 00:00:06.360]  主禱文
[00:00:06.360 --> 00:00:09.560]  很熟悉的經文
[00:00:09.560 --> 00:00:12.360]  我們有時寫 有時講
[00:00:12.360 --> 00:00:14.240]  有時背誦
[00:00:14.240 --> 00:00:16.040]  有時作為我們的禱告
[00:00:16.040 --> 00:00:17.760]  非常地熟悉
[00:00:17.760 --> 00:00:21.080]  但是我不知道大家知不知道
[00:00:21.080 --> 00:00:26.160]  主禱文最精粹的地方在哪裡呢
[00:00:26.160 --> 00:00:28.640]  我們這麼熟悉的一段經文
[00:00:28.640 --> 00:00:31.360]  究竟最聚焦
[00:00:31.360 --> 00:00:33.960]  最值得我們把握的一點
[00:00:33.960 --> 00:00:37.320]  是什麼呢
[00:00:37.320 --> 00:00:38.960]  如果你問我的話
[00:00:38.960 --> 00:00:42.320]  我的答案就是今天的講題
[00:00:42.320 --> 00:00:46.400]  尊主為大
[00:00:46.400 --> 00:00:48.560]  認識主禱文 閱心
[00:00:48.560 --> 00:00:50.240]  你發現
[00:00:50.240 --> 00:00:52.200]  原來很重視的
[00:00:52.200 --> 00:00:54.880]  是我們信徒 基督門徒
[00:00:54.880 --> 00:00:58.720]  我們要尊主為大
[00:00:58.720 --> 00:01:00.720]  我們為什麼會這樣講呢
[00:01:00.720 --> 00:01:02.720]  因為如果我們有機會
[00:01:02.720 --> 00:01:04.960]  從主禱文的結構
[00:01:04.960 --> 00:01:07.120]  鋪排去看的時候
[00:01:07.120 --> 00:01:12.000]  你就會發現這一點是非常清楚的
[00:01:12.000 --> 00:01:13.000]  結構
[00:01:13.000 --> 00:01:15.640]  我們看回這段經文
[00:01:15.640 --> 00:01:19.920]  我們嘗試從四個層面去看一看
[00:01:19.920 --> 00:01:22.080]  耶穌基督告訴我們
[00:01:22.080 --> 00:01:24.280]  你們禱告要這樣講
[00:01:24.280 --> 00:01:25.400]  那怎麼說呢
[00:01:25.400 --> 00:01:26.840]  一開始的時候
[00:01:26.840 --> 00:01:29.040]  我們在天上的符
[00:01:29.040 --> 00:01:30.720]  我們祈禱是有一個對象的
[00:01:30.720 --> 00:01:32.840]  就是天上的符
[00:01:32.840 --> 00:01:35.280]  所以祈禱不是喃喃自語
[00:01:35.280 --> 00:01:37.280]  祈禱不是說一些話就算了
[00:01:37.280 --> 00:01:38.680]  那些不是祈禱
[00:01:38.680 --> 00:01:43.480]  祈禱是向著天父去禱告
[00:01:43.480 --> 00:01:45.320]  所以有一個對象的
[00:01:45.320 --> 00:01:46.800]  好了 耶穌教我們禱告的時候
[00:01:46.800 --> 00:01:48.360]  一開始的時候我們說
[00:01:48.360 --> 00:01:50.080]  我們在天上的符
[00:01:50.080 --> 00:01:52.000]  這個是屬於什麼層面呢
[00:01:52.000 --> 00:01:54.960]  或者有什麼層次呢
[00:01:54.960 --> 00:01:55.640]  如果你問我
[00:01:55.640 --> 00:01:56.440]  很簡單的
[00:01:56.440 --> 00:01:58.240]  是天
[00:01:58.240 --> 00:02:00.440]  是天的層次
[00:02:00.440 --> 00:02:03.120]  是代表著我們的心靈走向上帝
[00:02:03.120 --> 00:02:05.520]  禱告就是一個很重要的意義
[00:02:05.520 --> 00:02:06.800]  所以我們一祈禱的時候
[00:02:06.800 --> 00:02:08.640]  我們的心靈就轉向上帝
[00:02:08.640 --> 00:02:09.440]  這個是天
[00:02:09.440 --> 00:02:12.080]  但是耶穌接著還說話
[00:02:12.080 --> 00:02:13.440]  當我們講完了
[00:02:13.440 --> 00:02:16.240]  將我們要祈禱的對象說了出來之後
[00:02:16.240 --> 00:02:16.920]  接著祂說
[00:02:16.920 --> 00:02:18.920]  願人都尊你的名為聖
[00:02:18.920 --> 00:02:20.080]  願你的國降臨
[00:02:20.080 --> 00:02:21.720]  願你的旨意行在地上
[00:02:21.720 --> 00:02:23.240]  如同行在天上
[00:02:23.240 --> 00:02:24.200]  我們有沒有留意到
[00:02:24.200 --> 00:02:26.240]  接著我們說的是什麼呢
[00:02:26.240 --> 00:02:29.600]  是願望的東西
[00:02:29.600 --> 00:02:32.200]  很多時候我們一講祈禱就是求
[00:02:32.200 --> 00:02:34.000]  但是在這裡不是
[00:02:34.000 --> 00:02:34.800]  是願望
[00:02:34.800 --> 00:02:36.360]  而且所願望的東西
[00:02:36.360 --> 00:02:40.640]  是願望眾人都尊神的名為聖的
[00:02:40.640 --> 00:02:41.280]  第一個願望
[00:02:41.280 --> 00:02:43.440]  第二個願望是願望神的國度
[00:02:43.440 --> 00:02:44.600]  就是神的主權
[00:02:44.600 --> 00:02:47.680]  臨在地上的彰顯出來的
[00:02:47.680 --> 00:02:49.840]  祂的旨意成就出來的
[00:02:49.840 --> 00:02:52.080]  然後第三個願望就是怎樣
[00:02:52.080 --> 00:02:54.480]  第三個願望就是祂的旨意成就在地上
[00:02:54.480 --> 00:02:56.280]  如同在天上
[00:02:56.280 --> 00:03:00.320]  我們發現是三個願望的出現
[00:03:00.320 --> 00:03:01.160]  所以一祈禱
[00:03:01.160 --> 00:03:04.040]  原來心就走上去天
[00:03:04.040 --> 00:03:05.560]  所以第二個層次是什麼呢
[00:03:05.560 --> 00:03:08.200]  第二個層次就是天
[00:03:08.200 --> 00:03:10.440]  我們的對象是在天
[00:03:10.440 --> 00:03:12.200]  講的內容一開始
[00:03:12.200 --> 00:03:13.520]  三個願望是在天
[00:03:13.520 --> 00:03:14.040]  好了
[00:03:14.040 --> 00:03:14.640]  講完之後
[00:03:14.640 --> 00:03:16.560]  耶穌接著教我們怎樣祈禱
[00:03:16.560 --> 00:03:17.560]  第十一節那裡說
[00:03:17.560 --> 00:03:19.320]  我們日用的飲食
[00:03:19.320 --> 00:03:20.840]  今日賜給我們
[00:03:20.840 --> 00:03:21.720]  免我們的債
[00:03:21.720 --> 00:03:23.280]  如同我們免了人的債
[00:03:23.280 --> 00:03:25.200]  不叫我們遇見試探
[00:03:25.200 --> 00:03:26.840]  救我們脫離凶惡
[00:03:26.840 --> 00:03:31.000]  接著是三個祈求
[00:03:31.000 --> 00:03:34.840]  現在才是為自己去求一些東西
[00:03:34.840 --> 00:03:37.240]  是不是
[00:03:37.240 --> 00:03:38.320]  為自己求什麼呢
[00:03:38.320 --> 00:03:38.880]  第一
[00:03:38.880 --> 00:03:40.040]  我們的飲食
[00:03:40.040 --> 00:03:41.320]  我們真的要活的
[00:03:41.320 --> 00:03:42.080]  要生存的
