
[00:00:00.000 --> 00:00:06.560]  過去二十多年,韓國教會有一個特別的營會
[00:00:06.560 --> 00:00:11.840]  每一年七月都會在韓國有一個祈禱山上的聚會
[00:00:11.840 --> 00:00:15.120]  他們稱之為「訪韓聖會」
[00:00:15.120 --> 00:00:17.520]  當中差不多二十多年
[00:00:17.520 --> 00:00:22.400]  過去十年,在香港越來越多弟兄姊妹
[00:00:22.400 --> 00:00:26.400]  很願意去到韓國,有幾天的時間
[00:00:26.400 --> 00:00:31.520]  當然他們之前之後可能會有些旅遊
[00:00:31.520 --> 00:00:34.880]  或者去參觀那邊的教會
[00:00:34.880 --> 00:00:38.480]  但主要是有三天的時間在祈禱山
[00:00:38.480 --> 00:00:40.240]  他們有一個地方叫做祈禱山
[00:00:40.240 --> 00:00:42.960]  在山上他們有三天的時間
[00:00:42.960 --> 00:00:46.800]  是禁食三天,即是不吃七餐
[00:00:46.800 --> 00:00:51.520]  在當中他們是專心聽牧者的教導
[00:00:51.520 --> 00:00:54.400]  專心去祈禱,有三天的時間
[00:00:54.400 --> 00:01:01.040]  過去幾年,當中我有兩次機會被應邀去港島
[00:01:01.040 --> 00:01:05.520]  而今年七月,我也是再一次被應邀去到祈禱山那邊
[00:01:05.520 --> 00:01:07.680]  來分享上帝的訊息
[00:01:07.680 --> 00:01:12.800]  我這樣說的原因不是讓大家知道我其實有去過韓國港島
[00:01:12.800 --> 00:01:14.080]  我不是這個意思
[00:01:14.080 --> 00:01:17.040]  而是我們很深信每一個活動
[00:01:17.040 --> 00:01:20.320]  我們都需要弟兄姊妹彼此之間能夠代禱
[00:01:20.320 --> 00:01:26.000]  為我祈禱,因為這次也是當韓國有一個牧者
[00:01:26.000 --> 00:01:31.040]  趙鎔基牧師,當他面對刑事的訴訟之後
[00:01:31.040 --> 00:01:34.160]  第一次有這樣的聚會
[00:01:34.160 --> 00:01:36.400]  所以祈求天父也給我們
[00:01:36.400 --> 00:01:39.840]  我也知道今年的人數是少過以往的
[00:01:39.840 --> 00:01:41.920]  是少了,沒有以前那麼多人
[00:01:41.920 --> 00:01:46.400]  不過不要緊,人數多或少不是我們最重要
[00:01:46.400 --> 00:01:51.520]  反而我自己心裏想,原來人生的侍奉路上
[00:01:51.520 --> 00:01:56.160]  或許不多不少都可能有我們的挫折
[00:01:56.160 --> 00:01:59.600]  都有我們的不謹慎、不小心
[00:01:59.600 --> 00:02:02.320]  可能都會做錯一些事情
[00:02:02.320 --> 00:02:05.600]  對於趙牧師,他過去五十多年的侍奉當中
[00:02:05.600 --> 00:02:11.200]  我們都知道他有很多的機會是祝福了全世界
[00:02:11.200 --> 00:02:15.200]  去到不同的角落,他都能夠祝福很多的牧者
[00:02:15.200 --> 00:02:18.880]  縱然很多的牧者有不同的觀點對他
[00:02:18.880 --> 00:02:22.560]  但另一方面,我也深信上帝的僕人
[00:02:22.560 --> 00:02:25.920]  我們沒有資格去審判他
[00:02:25.920 --> 00:02:28.880]  甚至我們沒有資格去審判任何的信徒
[00:02:28.880 --> 00:02:32.880]  唯一審判是來自我們所信的耶穌基督
[00:02:32.880 --> 00:02:36.880]  另一方面,我們也明白在人生的路上
[00:02:36.880 --> 00:02:38.880]  我們侍奉的路上
[00:02:38.880 --> 00:02:43.520]  我們都會面對很多的挑戰、很多的掙扎
[00:02:43.520 --> 00:02:45.520]  甚至很多的試探
[00:02:45.520 --> 00:02:50.720]  甚至可能今天我們正在面對一些的情景
[00:02:50.720 --> 00:02:52.720]  是我們不想遇到的
[00:02:52.720 --> 00:02:57.280]  甚至沒有想過為什麼會發生在我們身上
[00:02:57.280 --> 00:02:59.760]  所以當我們面對趙牧師
[00:02:59.760 --> 00:03:02.960]  他在所謂晚年的旅邊
[00:03:02.960 --> 00:03:05.440]  他要面對一個訴訟
[00:03:05.440 --> 00:03:09.520]  而在訴訟當中,他是贏了的,是輸了的
[00:03:09.520 --> 00:03:15.280]  但另一方面,也帶給我自己,帶給我們每一個侍奉的人
[00:03:15.280 --> 00:03:17.280]  一個很深的反省
[00:03:17.280 --> 00:03:22.400]  這個反省就是,我們不是去彼此的咒罵
[00:03:22.400 --> 00:03:26.160]  彼此說看他死的,也說他不要驕傲
[00:03:26.160 --> 00:03:30.560]  驕傲的就是,我們不希望一個這樣的環境
[00:03:30.560 --> 00:03:32.080]  去到彼此的咒罵
[00:03:32.080 --> 00:03:36.800]  我們很希望能夠更多的彼此的待討
[00:03:36.800 --> 00:03:38.800]  所以弟兄姊妹,真的
[00:03:38.800 --> 00:03:43.120]  今天我作為牧者,我都需要大家來為我禱告
[00:03:43.120 --> 00:03:44.640]  我都侍奉主三十多年
[00:03:44.640 --> 00:03:47.280]  我都很快可能去到四十年
[00:03:47.280 --> 00:03:51.440]  但祈求天父繼續給我自己在人生路上
[00:03:51.440 --> 00:03:54.320]  不是我沒有試探
[00:03:54.320 --> 00:03:56.320]  不是我沒有難處
[00:03:56.320 --> 00:03:58.320]  不是我沒有試過跌倒
[00:03:58.320 --> 00:04:00.320]  我都試過很多這樣的情景
[00:04:00.320 --> 00:04:04.240]  但上帝仍然給我有機會繼續走這條路的時候
[00:04:04.240 --> 00:04:06.240]  我只能夠感謝神
[00:04:06.240 --> 00:04:09.920]  第二,希望弟兄姊妹繼續為教會祈禱
[00:04:09.920 --> 00:04:10.880]  為我祈禱
[00:04:10.880 --> 00:04:12.880]  我們有信心走完這條路
[00:04:12.880 --> 00:04:14.880]  在香港這個環境裡
[00:04:14.880 --> 00:04:18.400]  不多不少,每一年都可能會有一些潮語
[00:04:18.400 --> 00:04:20.400]  所謂潮語可能是一個電視劇
[00:04:20.400 --> 00:04:23.120]  有些說話是帶動到整個香港人
[00:04:23.120 --> 00:04:24.560]  都會說一些說話
[00:04:24.560 --> 00:04:26.560]  當然我年紀越來越大
[00:04:26.560 --> 00:04:27.920]  我都不知道什麼叫做潮語
[00:04:27.920 --> 00:04:29.120]  或者現在你說的東西
[00:04:29.120 --> 00:04:30.560]  我都未必明白都不出奇
[00:04:30.560 --> 00:04:32.160]  可能你會說牧師這麼胖
[00:04:32.160 --> 00:04:33.600]  現在都不太明白我們說什麼
