
[00:00:00.000 --> 00:00:02.000]  請我們一起再次禱告
[00:00:02.000 --> 00:00:05.000]  天父,我們將這時間交給祢
[00:00:05.000 --> 00:00:08.500]  求主祢,藉著祢的話語去幫助我們
[00:00:08.500 --> 00:00:12.500]  使我們一個淑寧的生命更加去豐足
[00:00:12.500 --> 00:00:13.500]  幫助我們
[00:00:13.500 --> 00:00:16.500]  祈禱奉主耶穌基督的名,阿門
[00:00:16.500 --> 00:00:22.000]  陳耀南教授是一個很認識中國文化
[00:00:22.000 --> 00:00:25.000]  很認識中國文學的一位老師
[00:00:25.000 --> 00:00:28.500]  他在香港大學都有做過教授
[00:00:28.500 --> 00:00:32.500]  他寫了一本書叫從自力到他力
[00:00:32.500 --> 00:00:38.500]  裡面講到中國人都覺得自己的良心很重要
[00:00:38.500 --> 00:00:41.500]  一個人的心是半別是非的
[00:00:41.500 --> 00:00:42.500]  所以很重要
[00:00:42.500 --> 00:00:47.500]  他又覺得中國人覺得良心很重要
[00:00:47.500 --> 00:00:50.500]  我們經常說憑著良心做人
[00:00:50.500 --> 00:00:52.500]  我不是大奸大惡
[00:00:52.500 --> 00:00:54.500]  所以人如果有好的良心
[00:00:54.500 --> 00:00:55.500]  其實神都不需要
[00:00:55.500 --> 00:00:57.500]  在中國人的眼裡很多時候
[00:00:57.500 --> 00:01:03.500]  特別中國人不喜歡聽到聖經裡面說人有罪
[00:01:03.500 --> 00:01:07.500]  聖經裡面更加有一個講到亞當夏娃犯罪
[00:01:07.500 --> 00:01:09.500]  我們每個人都有原罪
[00:01:09.500 --> 00:01:14.500]  這個就更加不是很容易接受到
[00:01:14.500 --> 00:01:17.500]  其實陳教授就跟我們講一件事
[00:01:17.500 --> 00:01:19.500]  他說沒錯良知是重要
[00:01:19.500 --> 00:01:22.500]  但是人的良心良知這些
[00:01:22.500 --> 00:01:24.500]  有時會傾側了
[00:01:24.500 --> 00:01:25.500]  有時會歪曲了
[00:01:25.500 --> 00:01:28.500]  譬如有很多人都有很多的大道理
[00:01:28.500 --> 00:01:32.500]  很多哲學很多主義政治的理念
[00:01:32.500 --> 00:01:34.500]  他覺得很崇高
[00:01:34.500 --> 00:01:36.500]  但是曾幾何時
[00:01:36.500 --> 00:01:39.500]  當他覺得自己很自以為是自以為意的時候
[00:01:39.500 --> 00:01:41.500]  去建立這些王國的時候
[00:01:41.500 --> 00:01:44.500]  我們發覺很多的爭鬥很多的傷害
[00:01:44.500 --> 00:01:47.500]  還有人的一些
[00:01:47.500 --> 00:01:50.500]  沒錯是有這個良知知道什麼是對錯
[00:01:50.500 --> 00:01:54.500]  不過走起來我們還能做到多少呢
[00:01:54.500 --> 00:01:56.500]  他就講到陳教授就說
[00:01:56.500 --> 00:01:58.500]  人很多的慾望很多的情緒
[00:01:58.500 --> 00:02:02.500]  往往高過我們自己的良知所能夠控制的
[00:02:02.500 --> 00:02:05.500]  或者我們的理性能夠控制
[00:02:05.500 --> 00:02:07.500]  這個就是一個衝突
[00:02:07.500 --> 00:02:08.500]  我們中國人很講良知
[00:02:08.500 --> 00:02:11.500]  但是我們發覺有很多不足之處
[00:02:11.500 --> 00:02:12.500]  反而陳教授就說
[00:02:12.500 --> 00:02:15.500]  不如看看聖經裡面的人怎麼講
[00:02:15.500 --> 00:02:18.500]  保羅說其實這些罪惡的標準
[00:02:18.500 --> 00:02:20.500]  律法是叫人知罪
[00:02:20.500 --> 00:02:24.500]  反而一個人真正有良知是看到自己有罪
[00:02:24.500 --> 00:02:26.500]  並且看到人的不足
[00:02:26.500 --> 00:02:28.500]  立志行善由得我
[00:02:28.500 --> 00:02:30.500]  但是行出來由不得我
[00:02:30.500 --> 00:02:33.500]  這個才是真正看到我們自己的良心
[00:02:33.500 --> 00:02:35.500]  我們自己知道自己
[00:02:35.500 --> 00:02:38.500]  所以如果一個人能夠去看看
[00:02:38.500 --> 00:02:40.500]  從另一個角度就說
[00:02:40.500 --> 00:02:42.500]  為什麼人有良知呢
[00:02:42.500 --> 00:02:45.500]  其實我們可不可能就說我們都忘記了
[00:02:45.500 --> 00:02:48.500]  其實持良知的是我們這位創造者
[00:02:48.500 --> 00:02:50.500]  若然我們將他拿開
[00:02:50.500 --> 00:02:52.500]  我們就會將神給我們的恩賜
[00:02:52.500 --> 00:02:54.500]  當作自己的力量
[00:02:54.500 --> 00:02:56.500]  其實這個是很不智的
[00:02:56.500 --> 00:02:58.500]  所以如果有良知
[00:02:58.500 --> 00:03:00.500]  一個人聖經都講良知
[00:03:00.500 --> 00:03:01.500]  不過我們能夠謙卑
[00:03:01.500 --> 00:03:03.500]  有神那種力量
[00:03:03.500 --> 00:03:05.500]  我們就會看到
[00:03:05.500 --> 00:03:08.500]  我們從自力到他力
[00:03:08.500 --> 00:03:11.500]  我們基督徒的生命又如何呢
[00:03:11.500 --> 00:03:12.500]  我們每個人
[00:03:12.500 --> 00:03:15.500]  當我們在未信主或者現在信主都是
[00:03:15.500 --> 00:03:17.500]  我們很渴望一個屬靈的生命
[00:03:17.500 --> 00:03:18.500]  或者人生
