
[00:00:00.000 --> 00:00:02.040]  今天想和大家分享一段經文
[00:00:02.040 --> 00:00:05.320]  相信這段經文大家都耳熟能詳
[00:00:05.320 --> 00:00:07.440]  如果你回教會一段時間的話
[00:00:07.440 --> 00:00:09.140]  不單止聽過
[00:00:09.140 --> 00:00:11.580]  可能還會背也說不定
[00:00:11.580 --> 00:00:14.520]  不過我們也在開始分享上帝的導之先
[00:00:14.520 --> 00:00:17.320]  讓我們一起去中讀這段經文,好嗎?
[00:00:17.320 --> 00:00:19.380]  詩篇二十三篇
[00:00:19.380 --> 00:00:21.720]  詩篇二十三篇,一至六節
[00:00:21.720 --> 00:00:24.220]  如果看到經文的話,我們一起去中讀
[00:00:24.220 --> 00:00:25.960]  好,準備,一、二、三
[00:00:25.960 --> 00:00:30.220]  耶和華是我的牧者,我必不自缺乏
[00:00:30.220 --> 00:00:33.500]  他使我躺臥在青草地上
[00:00:33.500 --> 00:00:36.160]  令我在可安潔的水邊
[00:00:36.160 --> 00:00:38.560]  他使我的靈魂甦醒
[00:00:38.560 --> 00:00:41.740]  為自己的名引導我走易路
[00:00:41.740 --> 00:00:44.580]  我雖然行過死任的幽谷
[00:00:44.580 --> 00:00:46.280]  也不怕遭害
[00:00:46.280 --> 00:00:48.280]  因為你與我同在
[00:00:48.280 --> 00:00:51.720]  你的醬,你的肝都安慰我
[00:00:51.720 --> 00:00:55.520]  在我的人面前,你為我擺設筵席
[00:00:55.520 --> 00:00:57.760]  你擁有高了我的頭
[00:00:57.760 --> 00:00:59.760]  使我的福杯滿溢
[00:00:59.760 --> 00:01:04.160]  我一生一世,必有恩惠慈愛隨著我
[00:01:04.160 --> 00:01:08.800]  我且要住在耶和華的殿中直到永遠
[00:01:08.800 --> 00:01:12.100]  每個地方的文字都有它獨特的文化
[00:01:12.100 --> 00:01:15.040]  譬如我們說危機這個詞語
[00:01:15.040 --> 00:01:17.040]  很多時候我們都會把它拆開
[00:01:17.040 --> 00:01:18.440]  有危有機
[00:01:18.440 --> 00:01:21.360]  這個是用中文我們可以拆到
[00:01:21.360 --> 00:01:24.360]  其他語文我們未必可以拆得到
[00:01:24.360 --> 00:01:27.880]  不同的語文有它獨特的文化底蘊
[00:01:27.880 --> 00:01:30.600]  譬如我還在讀中學的時候
[00:01:30.600 --> 00:01:32.600]  我還背過一篇
[00:01:32.600 --> 00:01:34.600]  那時候讀中國文學這一科
[00:01:34.600 --> 00:01:37.040]  我背過一篇詩詞
[00:01:37.040 --> 00:01:39.040]  這篇詩詞是來自曹操
[00:01:39.040 --> 00:01:44.400]  一首叫《短歌行》
[00:01:44.400 --> 00:01:46.400]  《短歌行》裏面有一句說話
[00:01:46.400 --> 00:01:50.840]  叫做「何以解憂,惟有道康」
[00:01:50.840 --> 00:01:52.840]  如果我們不知道的話
[00:01:52.840 --> 00:01:54.840]  我們就以為「何以解憂」
[00:01:54.840 --> 00:01:56.840]  即是我的憂悶應該怎樣解呢
[00:01:56.840 --> 00:02:01.840]  最好找一個好老友道康來跟我聊聊天
[00:02:01.840 --> 00:02:03.840]  解一下悶
[00:02:03.840 --> 00:02:05.840]  後來讀書的時候
[00:02:05.840 --> 00:02:07.840]  老師就教我們提醒我們
[00:02:07.840 --> 00:02:09.840]  道康的確是一個人物
[00:02:09.840 --> 00:02:16.840]  不過以前相傳是發明釀酒的一個人物
[00:02:16.840 --> 00:02:19.840]  道康是在曹操時代之前
[00:02:19.840 --> 00:02:21.840]  如果真實存在過的話
[00:02:21.840 --> 00:02:24.840]  已經超越了曹操的時代
[00:02:24.840 --> 00:02:26.840]  已經不存在這個人物
[00:02:26.840 --> 00:02:28.840]  所以「何以解憂,惟有道康」
[00:02:28.840 --> 00:02:31.840]  這個道康不是說這個人物
[00:02:31.840 --> 00:02:33.840]  而是一個借代
[00:02:33.840 --> 00:02:35.840]  將道康的代表走
[00:02:35.840 --> 00:02:37.840]  即是我的憂悶
[00:02:37.840 --> 00:02:40.840]  曹操就說我的憂悶怎樣去解決呢
[00:02:40.840 --> 00:02:43.840]  唯有去借酒消愁
[00:02:43.840 --> 00:02:45.840]  所以不同的時候
[00:02:45.840 --> 00:02:49.840]  我們說詩歌很多時候是一些很精煉的文字
[00:02:49.840 --> 00:02:54.840]  去透過一些簡短濃縮的詞語
[00:02:54.840 --> 00:02:56.840]  去將一些豐富的詞彙
[00:02:56.840 --> 00:02:58.840]  一些豐富的內容
[00:02:58.840 --> 00:03:00.840]  希望表達出來
[00:03:00.840 --> 00:03:02.840]  譬如我們會說
[00:03:02.840 --> 00:03:05.840]  有些時候形容打仗的場面
[00:03:05.840 --> 00:03:07.840]  千軍萬馬
[00:03:07.840 --> 00:03:08.840]  我們一定不可以
[00:03:08.840 --> 00:03:10.840]  我們自己中國人就會明白
[00:03:10.840 --> 00:03:13.840]  但其實我們就不可以直字面去解
[00:03:13.840 --> 00:03:16.840]  即是一千個士兵一萬隻馬
[00:03:16.840 --> 00:03:18.840]  即是一個士兵要騎十隻馬
[00:03:18.840 --> 00:03:20.840]  我們就會覺得很奇怪
[00:03:20.840 --> 00:03:24.840]  但其實是在說戰爭的場面
