
[00:00:00.000 --> 00:00:06.000]  當我們一個人處於一種亢奮的情況之下,
[00:00:06.000 --> 00:00:14.500]  我們就很容易忽略了其實我們在做的事的主旨是什麼。
[00:00:14.500 --> 00:00:21.000]  從今天開始,我們踏入了復活節的節期,
[00:00:21.000 --> 00:00:25.500]  直到復活節那天為止。
[00:00:25.500 --> 00:00:31.000]  我希望透過路加福音第十九章二十八節至第四十八節,
[00:00:31.000 --> 00:00:35.500]  和大家一起去思想這個拯救救恩的意義。
[00:00:35.500 --> 00:00:42.000]  我希望透過路加福音十九章二十八到四十八節來分享這個救恩的意義。
[00:00:42.000 --> 00:00:48.000]  明白主耶穌基督究竟祂來的目的是什麼原因。
[00:00:48.000 --> 00:00:50.500]  明白主耶穌來的目的是為了什麼。
[00:00:50.500 --> 00:00:54.000]  當我們看回這段聖經的時候,
[00:00:54.000 --> 00:00:59.500]  其實那段主耶穌基督在臨於最後一個如月節之前,
[00:00:59.500 --> 00:01:02.500]  進入到耶路撒冷城的其中一個景象,
[00:01:02.500 --> 00:01:10.500]  就是這裏描述了主耶穌在最後一個如月節的時候進入耶路撒冷城的景象。
[00:01:10.500 --> 00:01:14.000]  如果我們看回前一點,我們再往前看一點,
[00:01:14.000 --> 00:01:19.500]  從第十八十九章的開頭,我們知道,
[00:01:19.500 --> 00:01:26.000]  耶穌和門徒從耶利哥城,
[00:01:26.000 --> 00:01:31.500]  也就是耶路撒冷以東的地方,
[00:01:31.500 --> 00:01:37.500]  一路向西進入耶路撒冷城,
[00:01:37.500 --> 00:01:41.500]  他們要攀山越嶺,
[00:01:41.500 --> 00:01:47.500]  經過了一個地區,其中有兩個城市,叫做伯蓋尼和伯伯奇,
[00:01:47.500 --> 00:01:53.500]  其實不容易的,只是不容易。
[00:01:53.500 --> 00:01:58.000]  如果大家認識以色列的地勢的結構,
[00:01:58.000 --> 00:02:01.500]  如果大家認識以色列的地理結構的話,
[00:02:01.500 --> 00:02:05.500]  耶利哥是處於約旦河的河邊,
[00:02:05.500 --> 00:02:09.000]  就是耶利哥是在約旦河的河邊,
[00:02:09.000 --> 00:02:11.500]  是一個平原地帶,
[00:02:11.500 --> 00:02:16.500]  耶路撒冷是一個山城,
[00:02:16.500 --> 00:02:22.500]  是海拔相差幾百公尺的,
